first_name,last_name,committee,subcommittee,bioguide_id,bioguide,name,party,title,rank,committee_code,committee_name,subcommittee_code,subcommittee_name,display_name,chamber,thomas_id,subcommittee_id,parent_code
"Eric A. ""Rick""",Crawford,House Permanent Select Committee on Intelligence,,C001087,C001087,"Eric A. ""Rick"" Crawford",majority,Chairman,1,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
James A.,Himes,House Permanent Select Committee on Intelligence,,H001047,H001047,James A. Himes,minority,Ranking Member,1,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
André,Carson,House Permanent Select Committee on Intelligence,,C001072,C001072,André Carson,minority,,2,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Elise M.,Stefanik,House Permanent Select Committee on Intelligence,,S001196,S001196,Elise M. Stefanik,majority,,2,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Joaquin,Castro,House Permanent Select Committee on Intelligence,,C001091,C001091,Joaquin Castro,minority,,3,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Trent,Kelly,House Permanent Select Committee on Intelligence,,K000388,K000388,Trent Kelly,majority,,3,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Raja,Krishnamoorthi,House Permanent Select Committee on Intelligence,,K000391,K000391,Raja Krishnamoorthi,minority,,4,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Darin,LaHood,House Permanent Select Committee on Intelligence,,L000585,L000585,Darin LaHood,majority,,4,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Jason,Crow,House Permanent Select Committee on Intelligence,,C001121,C001121,Jason Crow,minority,,5,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Brian K.,Fitzpatrick,House Permanent Select Committee on Intelligence,,F000466,F000466,Brian K. Fitzpatrick,majority,,5,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Ami,Bera,House Permanent Select Committee on Intelligence,,B001287,B001287,Ami Bera,minority,,6,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Austin,Scott,House Permanent Select Committee on Intelligence,,S001189,S001189,Austin Scott,majority,,6,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
J. French,Hill,House Permanent Select Committee on Intelligence,,H001072,H001072,J. French Hill,majority,,7,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
Stacey E.,Plaskett,House Permanent Select Committee on Intelligence,,P000610,P000610,Stacey E. Plaskett,minority,,7,HLIG,House Permanent Select Committee on Intelligence,,,House Permanent Select Committee on Intelligence,house,HLIG,,
