code,parent_code,chamber,committee_name,subcommittee_name,display_name,thomas_id,subcommittee_id,house_committee_id,senate_committee_id,joint_committee_id,url,minority_url
HLIG,,house,House Permanent Select Committee on Intelligence,,House Permanent Select Committee on Intelligence,HLIG,,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG01,HLIG,house,House Permanent Select Committee on Intelligence,Central Intelligence Agency,House Permanent Select Committee on Intelligence - Central Intelligence Agency,HLIG,01,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG02,HLIG,house,House Permanent Select Committee on Intelligence,National Security Agency and Cyber,House Permanent Select Committee on Intelligence - National Security Agency and Cyber,HLIG,02,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG04,HLIG,house,House Permanent Select Committee on Intelligence,Defense Intelligence and Overhead Architecture,House Permanent Select Committee on Intelligence - Defense Intelligence and Overhead Architecture,HLIG,04,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG06,HLIG,house,House Permanent Select Committee on Intelligence,National Intelligence Enterprise,House Permanent Select Committee on Intelligence - National Intelligence Enterprise,HLIG,06,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG09,HLIG,house,House Permanent Select Committee on Intelligence,Oversight and Investigations,House Permanent Select Committee on Intelligence - Oversight and Investigations,HLIG,09,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HLIG11,HLIG,house,House Permanent Select Committee on Intelligence,Open Source Intelligence,House Permanent Select Committee on Intelligence - Open Source Intelligence,HLIG,11,IG,,,https://intelligence.house.gov/,https://republicans-intelligence.house.gov/
HSAG,,house,House Committee on Agriculture,,House Committee on Agriculture,HSAG,,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG03,HSAG,house,House Committee on Agriculture,Nutrition and Foreign Agriculture,House Committee on Agriculture - Nutrition and Foreign Agriculture,HSAG,03,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG14,HSAG,house,House Committee on Agriculture,"Conservation, Research, and Biotechnology","House Committee on Agriculture - Conservation, Research, and Biotechnology",HSAG,14,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG15,HSAG,house,House Committee on Agriculture,Forestry and Horticulture,House Committee on Agriculture - Forestry and Horticulture,HSAG,15,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG16,HSAG,house,House Committee on Agriculture,"General Farm Commodities, Risk Management, and Credit","House Committee on Agriculture - General Farm Commodities, Risk Management, and Credit",HSAG,16,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG22,HSAG,house,House Committee on Agriculture,"Commodity Markets, Digital Assets, and Rural Development","House Committee on Agriculture - Commodity Markets, Digital Assets, and Rural Development",HSAG,22,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAG29,HSAG,house,House Committee on Agriculture,"Livestock, Dairy, and Poultry","House Committee on Agriculture - Livestock, Dairy, and Poultry",HSAG,29,AG,,,https://agriculture.house.gov/,https://republicans-agriculture.house.gov
HSAP,,house,House Committee on Appropriations,,House Committee on Appropriations,HSAP,,AP,,,https://appropriations.house.gov/,https://republicans-appropriations.house.gov/
