bioguide_id,cid,first_name,last_name,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
A000370,N00035451,Alma,Adams,https://www.opensecrets.org/members-of-congress/adams-alma/summary?cid=N00035451&cycle=2024,"Duke Energy ($10,350); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000); American Federation of Teachers ($10,000); Blue Cross & Blue Shield Assn ($10,000)","Commercial Banks ($48,245); Public Sector Unions ($44,000); Insurance ($41,280); Building Trade Unions ($40,500); Health Professionals ($37,860)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000055,N00003028,Robert,Aderholt,https://www.opensecrets.org/members-of-congress/robert-b-aderholt/summary?cid=N00003028,"American Israel Public Affairs Cmte ($34,804); Eo Solutions ($19,800); Trideum Corp ($18,200); Drummond Co ($16,492); Protective Life Corp ($13,300)","Misc Defense ($142,593); Lawyers/Law Firms ($67,511); Defense Aerospace ($64,300); Lobbyists ($64,125); Real Estate ($55,342)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000371,N00033997,Pete,Aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,"American Israel Public Affairs Cmte ($620,903); Wells Fargo ($51,300); General Atomics ($44,600); JStreetPAC ($39,350); DaVita Inc ($36,800)","Pro-Israel ($673,468); Lawyers/Law Firms ($287,743); Securities & Investment ($269,838); Lobbyists ($269,412); Real Estate ($234,417)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000379,N00049617,Mark,Alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,"Plz Aeroscience ($26,400); Ward Enterprises (Kansas) ($26,400); Max Motors ($21,800); Rmjk Enterprises ($21,800); Poet LLC ($16,600)","Crop Production & Basic Processing ($84,625); Retired ($77,010); Securities & Investment ($62,600); Leadership PACs ($57,769); Agricultural Services/Products ($54,850)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000372,N00033720,Rick,Allen,https://www.opensecrets.org/members-of-congress/richard-w-allen/summary?cid=N00033720,"American Israel Public Affairs Cmte ($25,550); Pollard Lumber ($15,200); Yancey Brothers ($13,200); Coca-Cola Co ($12,000); Comcast Corp ($11,000)","Retired ($101,536); Health Professionals ($63,968); Crop Production & Basic Processing ($63,200); Insurance ($55,250); Telecom Services ($49,500)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000382,N00053033,Angela,Alsobrooks,https://www.opensecrets.org/members-of-congress/angela-alsobrooks/summary?cid=N00053033,"EMILY's List ($241,099); JStreetPAC ($162,838); US Government ($98,016); Medstar Health ($89,705); University of Maryland ($89,050)","Retired ($3,611,028); Lawyers/Law Firms ($1,877,321); Democratic/Liberal ($1,308,915); Education ($1,153,075); Civil Servants/Public Officials ($1,035,166)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
A000380,N00052615,Gabe,Amo,https://www.opensecrets.org/members-of-congress/amo-gabe/summary?cid=N00052615&cycle=2024,"American Israel Public Affairs Cmte ($82,963); Operating Engineers Local 57 ($16,000); Cornish Assoc ($15,900); Capitol City Group ($15,350); Narragansett Bay PAC ($15,000)","Lawyers/Law Firms ($178,449); Securities & Investment ($177,434); Lobbyists ($154,745); Democratic/Liberal ($124,301); Leadership PACs ($102,950)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000369,N00031177,Mark,Amodei,https://www.opensecrets.org/members-of-congress/amodei-mark/summary?cid=N00031177&cycle=2024,"Sierra Nevada Corp ($20,900); Meruelo Group ($19,800); American Israel Public Affairs Cmte ($13,750); Bodines Casino ($13,200); Kerrigan Advisors ($13,200)","Casinos/Gambling ($101,942); Real Estate ($64,850); Retired ($64,150); Securities & Investment ($63,600); Lobbyists ($54,450)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000381,N00033997,Yassamin,Ansari,https://www.opensecrets.org/members-of-congress/yassamin-ansari/summary?cid=N00052497&cycle=2024,"Cds International Holdings ($26,400); True North Holdings ($26,400); Winklevoss Capital Management ($26,400); Home Creations ($20,500); Bijan Capital Management ($19,800)","Real Estate ($280,529); Retired ($154,602); Securities & Investment ($133,559); Lawyers/Law Firms ($132,213); Health Professionals ($115,170)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000375,N00038285,Jodey,Arrington,https://www.opensecrets.org/members-of-congress/arrington-jodey/summary?cid=N00038285&cycle=2024,"GRAIL Inc ($33,200); Charter Brokerage LLC ($28,800); American Israel Public Affairs Cmte ($22,358); Simflo ($19,800); Madera Residential ($15,650)","Oil & Gas ($215,096); Real Estate ($212,168); Securities & Investment ($191,800); Crop Production & Basic Processing ($174,700); Insurance ($172,370)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
A000148,N00045506,Jake,Auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,"American Israel Public Affairs Cmte ($444,480); RA Capital Management ($47,450); Bain Capital ($39,600); Deerfield Management ($37,000); Berkshire Partners ($36,550)","Securities & Investment ($738,438); Pro-Israel ($501,140); Real Estate ($235,930); Pharmaceuticals/Health Products ($221,215); Non-Profit Institutions ($102,631)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001291,N00005736,Brian,Babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,"Trans-Global Solutions ($32,700); Nash Real Estate ($19,800); Bulldog PAC ($15,999); American Dental Assn ($10,000); SpaceX ($10,000)","Health Professionals ($119,605); Retired ($78,852); Real Estate ($57,450); Oil & Gas ($57,150); Air Transport ($44,491)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001298,N00037049,Don,Bacon,https://www.opensecrets.org/members-of-congress/bacon-donald-john/summary?cid=N00037049,"American Israel Public Affairs Cmte ($697,837); No Labels Problem Solvers ($309,748); National Assn of Realtors ($111,000); Tenaska Inc ($56,800); Cox Enterprises ($30,000)","Pro-Israel ($795,420); Retired ($497,820); Securities & Investment ($496,820); Leadership PACs ($494,900); Real Estate ($356,160)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001307,N00041954,James,Baird,https://www.opensecrets.org/members-of-congress/jim-baird/summary?cid=N00041954,"American Crystal Sugar ($10,000); Farm Credit Council ($10,000); National Auto Dealers Assn ($10,000); American Council of Engineering Cos ($9,000); National Assn of Realtors ($9,000)","Agricultural Services/Products ($61,000); Crop Production & Basic Processing ($51,052); Leadership PACs ($27,300); Retired ($16,397); Real Estate ($15,050)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001306,N00042194,Troy,Balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,"American Israel Public Affairs Cmte ($26,550); Kimble Companies ($20,700); Coler Healthcare ($20,300); Nationwide ($20,200); Primary Aim LLC ($19,800)","Oil & Gas ($146,850); Real Estate ($119,074); Health Professionals ($115,400); Pharmaceuticals/Health Products ($107,550); Lobbyists ($105,200)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001230,N00004367,Tammy,Baldwin,https://www.opensecrets.org/members-of-congress/baldwin-tammy/summary?cid=N00004367&cycle=2024,"University of Wisconsin/Madison ($344,857); JStreetPAC ($221,291); EMILY's List ($199,074); University Of Wisconsin ($178,365); Google Inc ($102,969)","Retired ($12,000,601); Democratic/Liberal ($2,563,303); Education ($2,522,910); Lawyers/Law Firms ($2,252,714); Securities & Investment ($1,617,259)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
B001318,N00049900,Becca,Balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,"State of Vermont ($19,702); JStreetPAC ($14,150); Northlane Capital Partners ($13,200); Invariant LLC ($11,400); American Assn for Justice ($10,000)","Retired ($142,053); Democratic/Liberal ($131,014); Human Rights ($104,811); Leadership PACs ($58,500); Lawyers/Law Firms ($55,095)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001299,N00037185,Jim,Banks,https://www.opensecrets.org/members-of-congress/jim-banks/summary?cid=N00037185,"American Israel Public Affairs Cmte ($205,242); Blackstone Group ($52,400); Club for Growth ($51,685); AM General Corp ($30,801); Poet LLC ($29,200)","Retired ($980,496); Securities & Investment ($616,809); Republican/Conservative ($483,027); Leadership PACs ($471,000); Pro-Israel ($323,685)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001282,N00031233,Andy,Barr,https://www.opensecrets.org/members-of-congress/andy-barr/summary?cid=N00031233,"American Israel Public Affairs Cmte ($140,097); Banc of California ($60,082); Apollo Global Management ($42,600); Wells Fargo ($39,932); Blackstone Group ($39,204)","Securities & Investment ($763,255); Commercial Banks ($428,385); Retired ($423,978); Real Estate ($304,123); Insurance ($298,884)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001300,N00037019,Nanette Diaz,Barragán,https://www.opensecrets.org/members-of-congress/barragan-nanette/summary?cid=N00037019&cycle=2024,"American Israel Public Affairs Cmte ($49,522); theGroup DC ($14,750); Amgen Inc ($12,500); Eli Lilly & Co ($10,800); America's Credit Unions ($10,000)","Pharmaceuticals/Health Products ($172,115); Health Professionals ($109,390); Lobbyists ($68,900); Lawyers/Law Firms ($60,215); Pro-Israel ($49,522)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001261,N00006236,John,Barrasso,https://www.opensecrets.org/members-of-congress/barrasso-john/summary?cid=N00006236&cycle=2024,"Welsh, Carson et al ($73,032); Delta Air Lines ($61,673); DISH Network ($51,700); Constellation Energy ($48,977); Neurological Surgery Pc ($46,000)","Securities & Investment ($1,145,594); Retired ($986,192); Oil & Gas ($787,388); Real Estate ($600,108); Health Professionals ($530,067)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
B001321,N00049596,Tom,Barrett,https://www.opensecrets.org/members-of-congress/tom-barrett/summary?cid=N00049596,"Huron Capital Partners ($26,400); Haworth Inc ($20,050); Rdv Corp ($19,875); Starkey Hearing Technologies ($16,500); Mid-American Gunite ($13,602)","Republican/Conservative ($659,480); Retired ($511,818); Leadership PACs ($384,100); Securities & Investment ($301,388); Real Estate ($209,692)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
B001322,N00030608,Michael,Baumgartner,https://www.opensecrets.org/members-of-congress/bennet-michael/summary?cid=N00030608&cycle=2024,"American Israel Public Affairs Cmte ($116,850); Blackstone Group ($85,100); Paul, Weiss et al ($61,200); University of Colorado ($55,771); State of Colorado ($53,841)","Retired ($3,041,304); Securities & Investment ($2,023,363); Lawyers/Law Firms ($1,486,953); Real Estate ($882,712); Education ($602,115)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
B001314,N00051369,Aaron,Bean,https://www.opensecrets.org/members-of-congress/aaron-bean/summary?cid=N00051369,"American Israel Public Affairs Cmte ($20,374); Amelia Capital ($13,200); Republican Main Street Partnership ($12,000); Matrix Resources ($11,200); Alkermes Inc ($11,000)","Real Estate ($101,253); Lobbyists ($101,150); Retired ($93,179); Health Professionals ($82,550); Leadership PACs ($79,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
