bioguide_id,first_name,last_name,middle_name,net_worth_estimate,normalized_net_worth,top_holdings,top_traded_sectors,strategy_return,spy_return,strategy_start_date
A000370,Alma,Adams,S.,407500.00,"$408,000",Pensions: $407.5K,,,,
A000055,Robert,Aderholt,B.,10339544.36,"$10,340,000","Real Property: $5.6M; Ownership Interest (Trade or Business): $3.2M; Bank Accts, Money Market Accts & CDs: $623.5K; IRA (Held in Cash): $207.5K; Other: $175.0K",Health Care: 1; Consumer Discretionary: 1; Information Technology: 1,,,
A000371,Pete,Aguilar,,218000.00,"$218,000","Mutual Funds: $153.5K; Whole/Universal Insurance: $32.5K; Bank Accts, Money Market Accts & CDs: $24.0K; Fixed Annuity: $8.0K",,,,
A000379,Mark,Alford,,466761.50,"$467,000",Exchange Traded Funds (ETF): $249.0K; Corporate Securities (Bonds & Notes): $80.5K; Mutual Funds: $48.5K; Stock: $24.0K; Govt Securities & Agency Debt: $16.0K,,,,
A000372,Rick,Allen,W.,23101256.67,"$23,101,000",Real Property: $6.8M; Ownership Interest (Trade or Business): $6.3M; Exchange Traded Funds (ETF): $2.8M; Stock: $2.8M; Whole/Universal Insurance: $1.6M,Financials: 38; Industrials: 30; Health Care: 23; Communication Services: 20; Consumer Discretionary: 17,,,
A000382,Angela,Alsobrooks,D.,558000.00,"$558,000","Real Estate, Residential: $750.0K; Retirement Plans, Benefit Pension: $350.0K; Bank Deposit: $16.0K",,,,
A000380,Gabe,Amo,,74661.78,"$75,000","Mutual Funds: $48.0K; Exchange Traded Funds (ETF): $16.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
A000369,Mark,Amodei,E.,415500.00,"$416,000","Real Property: $375.0K; Bank Accts, Money Market Accts & CDs: $40.5K",,,,
A000381,Yassamin,Ansari,,4389000.00,"$4,389,000","Bank Accts, Money Market Accts & CDs: $3.3M; Real Property: $1.1M",,,,
A000375,Jodey,Arrington,C.,833000.00,"$833,000","Mutual Funds: $553.0K; Stock (Not Publicly Traded): $175.0K; Intellectual Property & Royalties: $32.5K; Real Estate Invest. Trust (REIT): $32.5K; Bank Accts, Money Market Accts & CDs: $32.0K",,,,
A000148,Jake,Auchincloss,,3967166.46,"$3,967,000","Exchange Traded Funds (ETF): $1.9M; Mutual Funds: $1.2M; Bank Accts, Money Market Accts & CDs: $535.5K",Financials: 5,,,
B001291,Brian,Babin,,3624498.34,"$3,624,000","Bank Accts, Money Market Accts & CDs: $1.3M; IRA (Held in Cash): $869.5K; Real Property: $750.0K; Stock: $294.0K; Mutual Funds: $210.0K",Industrials: 3; Materials: 2,,,
B001298,Don,Bacon,J.,1706000.00,"$1,706,000","Whole/Universal Insurance: $482.5K; Bank Accts, Money Market Accts & CDs: $408.5K; Farms: $375.0K; Mutual Funds: $375.0K; 529 Prepaid Tuition Plan: $32.5K",,,,
B001307,James,Baird,R.,30925000.00,"$30,925,000","Farms: $30.0M; Bank Accts, Money Market Accts & CDs: $750.0K; Defined Benefit Pension: $175.0K",,,,
B001306,Troy,Balderson,,382500.00,"$382,000","Real Property: $175.0K; Mutual Funds: $175.0K; Bank Accts, Money Market Accts & CDs: $32.5K",,,,
B001230,Tammy,Baldwin,,933000.00,"$933,000","Trust, Blind: $750.0K; Bank Deposit: $183.0K",,,,
B001318,Becca,Balint,,1640376.33,"$1,640,000","Mutual Funds: $1.2M; Exchange Traded Funds (ETF): $164.0K; Bank Accts, Money Market Accts & CDs: $83.0K; 5F: $65.0K; Pensions: $32.5K",,,,
