BioGuideID,first_name,last_name,representative,house,party,transaction,ticker,ticker_type,description,range,amount,excess_return,price_change,spy_change,report_date,transaction_date,last_modified
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Sale,AMGN,ST,,1001.0,1001.0,-8.01955876428181,-7.93526721093163,0.0842915533501873,2025-12-05,2025-12-03,2025-12-08
T000490,David J.,Taylor,David J. Taylor,Representatives,R,Purchase,V,ST,,1001.0,1001.0,-0.757814808105816,-0.673523254755628,0.0842915533501873,2025-12-05,2025-12-03,2025-12-08
M001236,Tim,Moore,Tim Moore,Representatives,R,Sale,CBRL,ST,,15001.0,15001.0,-3.65495369207453,-3.51332641052267,0.141627281551851,2025-12-02,2025-11-28,2025-12-03
M001236,Tim,Moore,Tim Moore,Representatives,R,Sale,HOG,ST,,15001.0,15001.0,-9.81904663639055,-9.6774193548387,0.141627281551851,2025-12-02,2025-11-28,2025-12-03
W000797,Debbie Wasserman,Schultz,Debbie Wasserman Schultz,Representatives,D,Sale,INVX,ST,DEPENDENT CHILD C,1140.0,1140.0,1.51730710188375,2.90937361172811,1.39206650984436,2025-12-08,2025-11-25,2025-12-09
M001243,David H.,McCormick,David H. McCormick,Senate,R,Purchase,BITB,Stock,,15001.0,15001.0,4.84213736547157,6.23420387531592,1.39206650984436,2025-11-27,2025-11-25,2025-11-27
D000624,Debbie,Dingell,Debbie Dingell,Representatives,D,Sale,GOOG,ST,,15001.0,15001.0,-3.67597280403195,-1.34078563129966,2.33518717273228,2025-12-06,2025-11-24,2025-12-08
D000624,Debbie,Dingell,Debbie Dingell,Representatives,D,Sale,HON,ST,,15001.0,15001.0,-0.27327685788016,2.06191031485212,2.33518717273228,2025-12-06,2025-11-24,2025-12-08
D000624,Debbie,Dingell,Debbie Dingell,Representatives,D,Sale,SOLS,ST,,1001.0,1001.0,2.83305562471659,5.16824279744887,2.33518717273228,2025-12-06,2025-11-24,2025-12-08
D000624,Debbie,Dingell,Debbie Dingell,Representatives,D,Sale,AAPL,ST,,50001.0,50001.0,-1.62846058531564,0.706726587416638,2.33518717273228,2025-12-06,2025-11-24,2025-12-08
M001243,David H.,McCormick,David H. McCormick,Senate,R,Purchase,BITB,Stock,,50001.0,50001.0,1.77213996865058,4.10732714138286,2.33518717273228,2025-11-27,2025-11-24,2025-11-27
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),EIPI,Stock,,1001.0,1001.0,-3.05778070811443,0.799100449775097,3.85688115788953,2025-12-08,2025-11-21,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),LLY,Stock,,1001.0,1001.0,-9.39618473437344,-5.53930357648391,3.85688115788953,2025-12-08,2025-11-21,2025-12-08
B001236,John,Boozman,John Boozman,Senate,R,Sale (Partial),FISV,Stock,,1001.0,1001.0,5.04351331942801,8.90039447731754,3.85688115788953,2025-12-08,2025-11-21,2025-12-08
