bioguide_id,first_name,last_name,party,state,chamber,committee_assignments
A000370,Alma,Adams,Democrat,NC,House,Agriculture | Education and Workforce
A000055,Robert,Aderholt,Republican,AL,House,Appropriations
A000371,Pete,Aguilar,Democrat,CA,House,Appropriations
A000379,Mark,Alford,Republican,MO,House,Appropriations | Small Business
A000372,Rick,Allen,Republican,GA,House,Education and Workforce | Energy and Commerce
A000382,Angela,Alsobrooks,Democrat,MD,Senate,"Committee on Banking, Housing, and Urban Affairs: Subcommittee on Financial Institutions and Consumer Protection; Subcommittee on Housing, Transportation, and Community Development; Subcommittee on Securities, Insurance, and Investment | Committee on Environment and Public Works: Subcommittee on Fisheries, Wildlife, and Water; Subcommittee on Transportation and Infrastructure (Ranking) | Committee on Health, Education, Labor, and Pensions: Subcommittee on Education and the American Family; Subcommittee on Employment and Workplace Safety | Special Committee on Aging"
A000380,Gabe,Amo,Democrat,RI,House,"Budget | Foreign Affairs | Science, Space, and Technology"
A000369,Mark,Amodei,Republican,NV,House,Appropriations | Natural Resources
A000381,Yassamin,Ansari,Democrat,AZ,House,Education and Workforce | Oversight and Government Reform | Natural Resources
A000375,Jodey,Arrington,Republican,TX,House,Budget | Ways and Means
A000148,Jake,Auchincloss,Democrat,MA,House,Energy and Commerce
B001291,Brian,Babin,Republican,TX,House,"Transportation and Infrastructure | Science, Space, and Technology"
B001298,Don,Bacon,Republican,NE,House,Agriculture | Armed Services
B001307,James,Baird,Republican,IN,House,"Agriculture | Foreign Affairs | Science, Space, and Technology"
B001306,Troy,Balderson,Republican,OH,House,Energy and Commerce
B001230,Tammy,Baldwin,Democrat,WI,Senate,"Committee on Appropriations: Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; Subcommittee on Department of Defense; Subcommittee on Department of Interior, Environment, and Related Agencies; Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies (Ranking); Subcommittee on Energy and Water Development; Subcommittee on Military Construction, Veterans Affairs, and Related Agencies | Committee on Commerce, Science, and Transportation: Subcommittee on Coast Guard, Maritime, and Fisheries; Subcommittee on Consumer Protection, Technology, and Data Privacy; Subcommittee on Science, Manufacturing, and Competitiveness (Ranking); Subcommittee on Telecommunications and Media | Committee on Health, Education, Labor, and Pensions: Subcommittee on Employment and Workplace Safety; Subcommittee on Primary Health and Retirement Security"
B001318,Becca,Balint,Democrat,VT,House,Budget | Judiciary
B001299,Jim,Banks,Republican,IN,Senate,"Committee on Armed Services: Subcommittee on Personnel; Subcommittee on Seapower; Subcommittee on Strategic Forces | Committee on Banking, Housing, and Urban Affairs: Subcommittee on Economic Policy; Subcommittee on National Security and International Trade and Finance; Subcommittee on Securities, Insurance, and Investment | Committee on Health, Education, Labor, and Pensions: Subcommittee on Education and the American Family; Subcommittee on Employment and Workplace Safety; Subcommittee on Primary Health and Retirement Security | Committee on Veterans' Affairs"
B001282,Andy,Barr,Republican,KY,House,Financial Services | Foreign Affairs | Select Comm on the Strategic Competition US and China
B001300,Nanette Diaz,Barragán,Democrat,CA,House,Energy and Commerce
B001261,John,Barrasso,Republican,WY,Senate,"Committee on Energy and Natural Resources: Subcommittee on Energy; Subcommittee on National Parks; Subcommittee on Public Lands, Forests, and Mining (Chairman) | Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure; Subcommittee on Health Care; Subcommittee on Taxation and IRS Oversight (Chairman) | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy; Subcommittee on Europe and Regional Security Cooperation; Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy; Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development"
B001321,Tom,Barrett,Republican,MI,House,Transportation and Infrastructure | Veterans' Affairs
B001322,Michael,Baumgartner,Republican,WA,House,Education and Workforce | Foreign Affairs | Judiciary
B001314,Aaron,Bean,Republican,FL,House,Ways and Means
B001281,Joyce,Beatty,Democrat,OH,House,Financial Services
B001323,Nicholas,Begich,Republican,AK,House,"Natural Resources | Transportation and Infrastructure | Science, Space, and Technology"
B001324,Wesley,Bell,Democrat,MO,House,Armed Services | Oversight and Government Reform
B001267,Michael,Bennet,Democrat,CO,Senate,"Committee on Agriculture, Nutrition, and Forestry: Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology (Ranking); Subcommittee on Rural Development, Energy, and Credit | Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure; Subcommittee on International Trade, Customs, and Global Competitiveness; Subcommittee on Taxation and IRS Oversight (Ranking) | Committee on Rules and Administration | Select Committee on Intelligence"
B000668,Cliff,Bentz,Republican,OR,House,Energy and Commerce | Natural Resources
B001287,Ami,Bera,Democrat,CA,House,Foreign Affairs | Intelligence
B001301,Jack,Bergman,Republican,MI,House,Armed Services | Budget | Veterans' Affairs
B001292,Donald,Beyer,Democrat,VA,House,Ways and Means
B000740,Stephanie,Bice,Republican,OK,House,Appropriations | House Administration
B001302,Andy,Biggs,Republican,AZ,House,Oversight and Government Reform | Judiciary
B001325,Sheri,Biggs,Republican,SC,House,"Foreign Affairs | Homeland Security | Science, Space, and Technology"
