bioguide_id,first_name,last_name,middle_name,net_worth_estimate,top_holdings
A000370,Alma,Adams,S.,407500.00,"Pensions: $407,500"
A000055,Robert,Aderholt,B.,10332116.02,"Real Property: $5,625,000; Ownership Interest (Trade or Business): $3,250,000; Bank Accnts, Money Market Accnts & CDs: $623,500; IRA (Held in Cash): $207,500; Whole/Universal Insurance: $175,000"
A000371,Pete,Aguilar,,218000.00,"Mutual Funds: $153,500; Whole/Universal Insurance: $32,500; Bank Accnts, Money Market Accnts & CDs: $24,000; Fixed Annuity: $8,000"
A000379,Mark,Alford,,457635.18,"Exchange Traded Funds (ETF): $249,000; Corporate Securities (Bonds & Notes): $80,500; Mutual Funds: $48,500; Stock: $24,000; Govt Securities & Agency Debt: $16,000"
A000372,Rick,Allen,W.,22991428.55,"Real Property: $6,750,000; Ownership Interest (Trade or Business): $6,350,000; Exchange Traded Funds (ETF): $2,816,500; Stock: $2,796,000; Whole/Universal Insurance: $1,590,000"
A000382,Angela,Alsobrooks,D.,558000.00,"Real Estate, Residential: $750,000; Retirement Plans, Defined Benefit Pension: $350,000; Bank Deposit: $16,000"
A000380,Gabe,Amo,,74215.60,"Mutual Funds: $48,000; Exchange Traded Funds (ETF): $16,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
A000369,Mark,Amodei,E.,415500.00,"Real Property: $375,000; Bank Accnts, Money Market Accnts & CDs: $40,500"
A000381,Yassamin,Ansari,,4389000.00,"Bank Accnts, Money Market Accnts & CDs: $3,264,000; Real Property: $1,125,000"
A000375,Jodey,Arrington,C.,833000.00,"Mutual Funds: $553,000; Stock (Not Publicly Traded): $175,000; Intellectual Property & Royalties: $32,500; Real Estate Invest. Trust (REIT): $32,500; Bank Accnts, Money Market Accnts & CDs: $32,000"
A000148,Jake,Auchincloss,,3944359.10,"Exchange Traded Funds (ETF): $1,892,500; Mutual Funds: $1,240,000; Bank Accnts, Money Market Accnts & CDs: $535,500"
B001291,Brian,Babin,,3608161.70,"Bank Accnts, Money Market Accnts & CDs: $1,315,500; IRA (Held in Cash): $869,500; Real Property: $750,000; Stock: $294,000; Mutual Funds: $210,000"
B001298,Don,Bacon,J.,1706000.00,"Whole/Universal Insurance: $482,500; Bank Accnts, Money Market Accnts & CDs: $408,500; Farms: $375,000; Mutual Funds: $375,000; Pensions: $32,500"
B001307,James,Baird,R.,30925000.00,"Farms: $30,000,000; Bank Accnts, Money Market Accnts & CDs: $750,000; Defined Benefit Pension: $175,000"
B001306,Troy,Balderson,,382500.00,"Real Property: $175,000; Mutual Funds: $175,000; Bank Accnts, Money Market Accnts & CDs: $32,500"
B001230,Tammy,Baldwin,,933000.00,"Trust, Blind: $750,000; Bank Deposit: $183,000"
B001318,Becca,Balint,,1640822.59,"Mutual Funds: $1,244,500; Exchange Traded Funds (ETF): $164,000; Bank Accnts, Money Market Accnts & CDs: $83,000; 5F: $65,000; Pensions: $32,500"
B001299,Jim,Banks,,3402708.16,"Real Estate, Residential: $3,000,000; Life Insurance, Universal: $175,000; Mutual Funds: $107,000; Mutual Funds, Exchange Traded Fund: $73,000; Corporate Securities, Stock: $24,000"
B001282,Andy,Barr,,1902680.62,"Exchange Traded Funds (ETF): $771,000; Bank Accnts, Money Market Accnts & CDs: $598,000; Mutual Funds: $396,000; Defined Benefit Pension: $32,500; Whole/Universal Insurance: $24,000"
B001300,Nanette Diaz,Barragán,,3506543.81,"Real Property: $3,000,000; Bank Accnts, Money Market Accnts & CDs: $183,000; Exchange Traded Funds (ETF): $121,000; Mutual Funds: $99,000; IRA (Held in Cash): $40,500"
B001261,John,Barrasso,,10274000.00,"Mutual Funds: $9,091,000; Corporate Securities, Stock: $750,000; Bank Deposit: $433,000"
B001321,Tom,Barrett,,423498.28,"Exchange Traded Funds (ETF): $390,000; Mutual Funds: $16,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
B001322,Michael,Baumgartner,,1448000.00,"Mutual Funds: $1,115,000; 5F: $175,000; Defined Benefit Pension: $75,000; Pensions: $75,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
B001314,Aaron,Bean,,2085706.39,"Real Property: $750,000; Mutual Funds: $505,000; Stock: $407,500; Other: $375,000; Bank Accnts, Money Market Accnts & CDs: $33,000"
B001281,Joyce,Beatty,,4126421.39,"Bank Accnts, Money Market Accnts & CDs: $3,808,500; Stock: $213,500; Mutual Funds: $49,000"
B001323,Nicholas,Begich,J.,21335218.75,"Ownership Interest (Trade or Business): $16,663,500; Corporate Securities (Bonds & Notes): $3,000,000; Other: $1,125,000; Govt Securities & Agency Debt: $175,000; Stock: $137,500"
B001324,Wesley,Bell,,,
B001267,Michael,Bennet,F.,17936772.01,"Mutual Funds: $9,342,000; Investment Fund, Hedge Fund: $3,750,000; Mutual Funds, Exchange Traded Fund: $3,008,000; Real Estate, Commercial: $765,000; Other Securities: $375,000"
B000668,Cliff,Bentz,,6964152.83,"Real Property: $2,815,000; Mutual Funds: $1,678,500; Exchange Traded Funds (ETF): $828,000; Stock: $722,000; Bank Accnts, Money Market Accnts & CDs: $290,500"
B001287,Ami,Bera,,13664149.32,"Real Property: $9,750,000; Mutual Funds: $2,593,501; Exchange Traded Funds (ETF): $917,500; Bank Accnts, Money Market Accnts & CDs: $180,500; Stock: $175,000"
B001301,Jack,Bergman,,1014000.00,"Mutual Funds: $931,000; Pensions: $83,000"
B001292,Donald,Beyer,S.,106884087.22,"Real Property: $98,525,000; Mutual Funds: $2,398,500; Govt Securities & Agency Debt: $970,500; Bank Accnts, Money Market Accnts & CDs: $864,000; Stock: $758,000"
B000740,Stephanie,Bice,I.,1663332.04,"Exchange Traded Funds (ETF): $977,000; Mutual Funds: $318,000; Bank Accnts, Money Market Accnts & CDs: $239,500"
B001302,Andy,Biggs,,6065000.00,"Real Property: $6,000,000; Bank Accnts, Money Market Accnts & CDs: $57,000; Ownership Interest (Trade or Business): $8,000"
B001325,Sheri,Biggs,,9535577.16,"Other: $1,500,000; Bank Accnts, Money Market Accnts & CDs: $1,440,500; Ownership Interest (Trade or Business): $1,100,000; Stock: $1,010,500; Hedge Funds & Private Equity Funds (EIF): $750,000"
B001257,Gus,Bilirakis,M.,,
B000490,Sanford,Bishop,D.,198500.00,"Whole/Universal Insurance: $75,000; Mutual Funds: $75,000; Bank Accnts, Money Market Accnts & CDs: $40,500; Real Property: $8,000"
B001243,Marsha,Blackburn,,1136500.00,"Mutual Funds: $738,000; Bank Deposit: $390,500; Corporate Securities, Non-Public Stock: $8,000"
B001277,Richard,Blumenthal,,,
B001303,Lisa,Blunt Rochester,,12107566.78,"Mutual Funds, Exchange Traded Fund: $9,752,000; Equity Index-Linked Note: $375,000; Real Estate, Residential: $375,000; Bank Deposit: $314,500; Mutual Funds: $105,500"
B000825,Lauren,Boebert,,83224.96,"Intellectual Property & Royalties: $32,500; Mutual Funds: $16,000; Stock: $10,500; Bank Accnts, Money Market Accnts & CDs: $8,000; IRA (Held in Cash): $8,000"
B001278,Suzanne,Bonamici,,10330603.83,"Mutual Funds: $8,775,000; Bank Accnts, Money Market Accnts & CDs: $758,000; Exchange Traded Funds (ETF): $282,500; Collectibles: $175,000; Other: $175,000"
B001288,Cory,Booker,A.,1117739.15,"Mutual Funds: $900,500; Retirement Plans, Defined Benefit Pension: $75,000; Mutual Funds, Exchange Traded Fund: $65,000; Bank Deposit: $65,000"
B001236,John,Boozman,,3456025.79,"Mutual Funds: $852,000; Mutual Funds, Exchange Traded Fund: $775,000; Corporate Securities, Stock: $544,000; Real Estate, Commercial: $375,000; Real Estate, Unimproved Land: $292,500"
B001295,Mike,Bost,,481148.96,"Mutual Funds: $172,500; Bank Accnts, Money Market Accnts & CDs: $158,000; Stock (Not Publicly Traded): $75,500; Stock: $67,000; IRA (Held in Cash): $8,500"
B001296,Brendan,Boyle,F.,1332500.00,"Real Property: $750,000; Mutual Funds: $550,000; Bank Accnts, Money Market Accnts & CDs: $32,500"
B001317,Josh,Brecheen,,207500.00,"Farms: $175,000; Other: $32,500"
B001327,Robert,Bresnahan,P.,36726131.64,"Ownership Interest (Trade or Business): $15,000,000; Stock: $9,437,501; Real Property: $3,582,500; Govt Securities & Agency Debt: $3,181,000; Exchange Traded Funds (ETF): $2,278,500"
B001319,Katie Boyd,Britt,,6779316.92,"Corporate Securities, Stock: $3,271,500; Real Estate, Commercial: $1,300,000; Mutual Funds: $1,230,500; Mutual Funds, Exchange Traded Fund: $232,000; Business Entity, LLC: $207,500"
B001313,Shontel,Brown,M.,32000.00,"Mutual Funds: $24,000; Other: $8,000"
B001285,Julia,Brownley,,2981141.02,"Mutual Funds: $1,972,500; Real Property: $750,000; Exchange Traded Funds (ETF): $188,500; Other: $32,500; Stock: $8,000"
B001260,Vern,Buchanan,,261583620.03,"Real Property: $79,300,000; Other: $78,698,500; Ownership Interest (Trade or Business): $60,500,000; Exchange Traded Funds (ETF): $14,325,000; Mutual Funds: $3,957,500"
