bioguide_id,first_name,last_name,middle_name,net_worth_estimate,top_holdings,top_traded_sectors
A000370,Alma,Adams,S.,407500.00,"Pensions: $407,500",
A000055,Robert,Aderholt,B.,10332116.02,"Real Property: $5,625,000; Ownership Interest (Trade or Business): $3,250,000; Bank Accts, Money Market Accts & CDs: $623,500; IRA (Held in Cash): $207,500; Other: $175,000",Health Care: 1; Consumer Discretionary: 1; Information Technology: 1
A000371,Pete,Aguilar,,218000.00,"Mutual Funds: $153,500; Whole/Universal Insurance: $32,500; Bank Accts, Money Market Accts & CDs: $24,000; Fixed Annuity: $8,000",
A000379,Mark,Alford,,457635.18,"Exchange Traded Funds (ETF): $249,000; Corporate Securities (Bonds & Notes): $80,500; Mutual Funds: $48,500; Stock: $24,000; Govt Securities & Agency Debt: $16,000",
A000372,Rick,Allen,W.,22991428.55,"Real Property: $6,750,000; Ownership Interest (Trade or Business): $6,350,000; Exchange Traded Funds (ETF): $2,816,500; Stock: $2,796,000; Whole/Universal Insurance: $1,590,000",Financials: 42; Industrials: 30; Health Care: 23; Communication Services: 20; Consumer Discretionary: 17
A000382,Angela,Alsobrooks,D.,558000.00,"Real Estate, Residential: $750,000; Retirement Plans, Defined Benefit Pension: $350,000; Bank Deposit: $16,000",
A000380,Gabe,Amo,,74215.60,"Mutual Funds: $48,000; Exchange Traded Funds (ETF): $16,000; Bank Accts, Money Market Accts & CDs: $8,000",
A000369,Mark,Amodei,E.,415500.00,"Real Property: $375,000; Bank Accts, Money Market Accts & CDs: $40,500",
A000381,Yassamin,Ansari,,4389000.00,"Bank Accts, Money Market Accts & CDs: $3,264,000; Real Property: $1,125,000",
A000375,Jodey,Arrington,C.,833000.00,"Mutual Funds: $553,000; Stock (Not Publicly Traded): $175,000; Intellectual Property & Royalties: $32,500; Real Estate Invest. Trust (REIT): $32,500; Bank Accts, Money Market Accts & CDs: $32,000",
A000148,Jake,Auchincloss,,3944359.10,"Exchange Traded Funds (ETF): $1,892,500; Mutual Funds: $1,240,000; Bank Accts, Money Market Accts & CDs: $535,500",Financials: 5
B001291,Brian,Babin,,3608161.70,"Bank Accts, Money Market Accts & CDs: $1,315,500; IRA (Held in Cash): $869,500; Real Property: $750,000; Stock: $294,000; Mutual Funds: $210,000",Industrials: 3; Materials: 2
B001298,Don,Bacon,J.,1706000.00,"Whole/Universal Insurance: $482,500; Bank Accts, Money Market Accts & CDs: $408,500; Farms: $375,000; Mutual Funds: $375,000; Pensions: $32,500",
B001307,James,Baird,R.,30925000.00,"Farms: $30,000,000; Bank Accts, Money Market Accts & CDs: $750,000; Defined Benefit Pension: $175,000",
B001306,Troy,Balderson,,382500.00,"Real Property: $175,000; Mutual Funds: $175,000; Bank Accts, Money Market Accts & CDs: $32,500",
B001230,Tammy,Baldwin,,933000.00,"Trust, Blind: $750,000; Bank Deposit: $183,000",
B001318,Becca,Balint,,1640822.59,"Mutual Funds: $1,244,500; Exchange Traded Funds (ETF): $164,000; Bank Accts, Money Market Accts & CDs: $83,000; 5F: $65,000; Pensions: $32,500",
B001299,Jim,Banks,,3402708.16,"Real Estate, Residential: $3,000,000; Life Insurance, Universal: $175,000; Mutual Funds: $107,000; Mutual Funds, ETF/Note: $73,000; Corporate Securities, Stock: $24,000",Consumer Discretionary: 22; Communication Services: 13; Consumer Staples: 12
B001282,Andy,Barr,,1902680.62,"Exchange Traded Funds (ETF): $771,000; Bank Accts, Money Market Accts & CDs: $598,000; Mutual Funds: $396,000; Defined Benefit Pension: $32,500; Whole/Universal Insurance: $24,000",
B001300,Nanette Diaz,Barragán,,3506543.81,"Real Property: $3,000,000; Bank Accts, Money Market Accts & CDs: $183,000; Exchange Traded Funds (ETF): $121,000; Mutual Funds: $99,000; IRA (Held in Cash): $40,500",Other: 3
