bioguide_id,first_name,last_name,middle_name,net_worth_estimate,normalized_net_worth,top_holdings,top_traded_sectors
A000370,Alma,Adams,S.,407500.00,"$407,500","Pensions: $407,500",
A000055,Robert,Aderholt,B.,10331513.31,"$10,331,513","Real Property: $5,625,000; Ownership Interest (Engaged in a Trade or Business): $3,250,000; Bank Accounts, Money Market Accounts and CDs: $623,500; IRA (Held in Cash): $207,500; Other: $175,000",Health Care: 1; Consumer Discretionary: 1; Information Technology: 1
A000371,Pete,Aguilar,,218000.00,"$218,000","Mutual Funds: $153,500; Whole/Universal Insurance: $32,500; Bank Accounts, Money Market Accounts and CDs: $24,000; Fixed Annuity: $8,000",
A000379,Mark,Alford,,458150.21,"$458,150","Exchange Traded Funds (ETF): $249,000; Corporate Securities (Bonds and Notes): $80,500; Mutual Funds: $48,500; Stock: $24,000; Government Securities and Agency Debt: $16,000",
A000372,Rick,Allen,W.,22988074.42,"$22,988,074","Real Property: $6,750,000; Ownership Interest (Engaged in a Trade or Business): $6,350,000; Exchange Traded Funds (ETF): $2,816,500; Stock: $2,796,000; Whole/Universal Insurance: $1,590,000",Financials: 42; Industrials: 30; Health Care: 23; Communication Services: 20; Consumer Discretionary: 17
A000382,Angela,Alsobrooks,D.,558000.00,"$558,000","Real Estate, Residential: $750,000; Retirement Plans, Defined Benefit Pension Plan: $350,000; Bank Deposit: $16,000",
A000380,Gabe,Amo,,74204.66,"$74,205","Mutual Funds: $48,000; Exchange Traded Funds (ETF): $16,000; Bank Accounts, Money Market Accounts and CDs: $8,000",
A000369,Mark,Amodei,E.,415500.00,"$415,500","Real Property: $375,000; Bank Accounts, Money Market Accounts and CDs: $40,500",
A000381,Yassamin,Ansari,,4389000.00,"$4,389,000","Bank Accounts, Money Market Accounts and CDs: $3,264,000; Real Property: $1,125,000",
A000375,Jodey,Arrington,C.,833000.00,"$833,000","Mutual Funds: $553,000; Stock (Not Publicly Traded): $175,000; Intellectual Property & Royalties: $32,500; Real Estate Invest. Trust (REIT): $32,500; Bank Accounts, Money Market Accounts and CDs: $32,000",
A000148,Jake,Auchincloss,,3933223.11,"$3,933,223","Exchange Traded Funds (ETF): $1,892,500; Mutual Funds: $1,240,000; Bank Accounts, Money Market Accounts and CDs: $535,500",Financials: 5
B001291,Brian,Babin,,3607385.44,"$3,607,385","Bank Accounts, Money Market Accounts and CDs: $1,315,500; IRA (Held in Cash): $869,500; Real Property: $750,000; Stock: $294,000; Mutual Funds: $210,000",Industrials: 3; Materials: 2
B001298,Don,Bacon,J.,1706000.00,"$1,706,000","Whole/Universal Insurance: $482,500; Bank Accounts, Money Market Accounts and CDs: $408,500; Farms: $375,000; Mutual Funds: $375,000; Pensions: $32,500",
B001307,James,Baird,R.,30925000.00,"$30,925,000","Farms: $30,000,000; Bank Accounts, Money Market Accounts and CDs: $750,000; Defined Benefit Pension: $175,000",
B001306,Troy,Balderson,,382500.00,"$382,500","Real Property: $175,000; Mutual Funds: $175,000; Bank Accounts, Money Market Accounts and CDs: $32,500",
B001230,Tammy,Baldwin,,933000.00,"$933,000","Trust, Blind: $750,000; Bank Deposit: $183,000",
B001318,Becca,Balint,,1640413.77,"$1,640,414","Mutual Funds: $1,244,500; Exchange Traded Funds (ETF): $164,000; Bank Accounts, Money Market Accounts and CDs: $83,000; 5F: $65,000; Pensions: $32,500",
B001299,Jim,Banks,,3400834.30,"$3,400,834","Real Estate, Residential: $3,000,000; Life Insurance, Universal: $175,000; Mutual Funds, Mutual Fund: $107,000; Mutual Funds, Exchange Traded Fund/Note: $73,000; Corporate Securities, Stock: $24,000",Consumer Discretionary: 22; Communication Services: 13; Consumer Staples: 12
B001282,Andy,Barr,,1900798.99,"$1,900,799","Exchange Traded Funds (ETF): $771,000; Bank Accounts, Money Market Accounts and CDs: $598,000; Mutual Funds: $396,000; Defined Benefit Pension: $32,500; Whole/Universal Insurance: $24,000",
B001300,Nanette Diaz,Barragán,,3506685.56,"$3,506,686","Real Property: $3,000,000; Bank Accounts, Money Market Accounts and CDs: $183,000; Exchange Traded Funds (ETF): $121,000; Mutual Funds: $99,000; IRA (Held in Cash): $40,500",Other: 3
B001261,John,Barrasso,,10274000.00,"$10,274,000","Mutual Funds, Mutual Fund: $9,091,000; Corporate Securities, Stock: $750,000; Bank Deposit: $433,000",Other: 1
B001321,Tom,Barrett,,423142.28,"$423,142","Exchange Traded Funds (ETF): $390,000; Mutual Funds: $16,000; Bank Accounts, Money Market Accounts and CDs: $8,000",
B001322,Michael,Baumgartner,,1448000.00,"$1,448,000","Mutual Funds: $1,115,000; 5F: $175,000; Defined Benefit Pension: $75,000; Pensions: $75,000; Bank Accounts, Money Market Accounts and CDs: $8,000",
B001314,Aaron,Bean,,2076406.99,"$2,076,407","Real Property: $750,000; Mutual Funds: $505,000; Stock: $407,500; Other: $375,000; Bank Accounts, Money Market Accounts and CDs: $33,000",
B001281,Joyce,Beatty,,4126524.15,"$4,126,524","Bank Accounts, Money Market Accounts and CDs: $3,808,500; Stock: $213,500; Mutual Funds: $49,000",
B001323,Nicholas,Begich,J.,21334892.67,"$21,334,893","Ownership Interest (Engaged in a Trade or Business): $16,663,500; Corporate Securities (Bonds and Notes): $3,000,000; Other: $1,125,000; Government Securities and Agency Debt: $175,000; Stock: $137,500",
B001324,Wesley,Bell,,,,,
B001267,Michael,Bennet,F.,17935228.50,"$17,935,228","Mutual Funds, Mutual Fund: $9,342,000; Investment Fund, Hedge Fund: $3,750,000; Mutual Funds, Exchange Traded Fund/Note: $3,008,000; Real Estate, Commercial: $765,000; Other Securities: $375,000",Communication Services: 1
B000668,Cliff,Bentz,,6954725.11,"$6,954,725","Real Property: $2,815,000; Mutual Funds: $1,678,500; Exchange Traded Funds (ETF): $828,000; Stock: $722,000; Bank Accounts, Money Market Accounts and CDs: $290,500",Health Care: 1; Consumer Staples: 1
B001287,Ami,Bera,,13663124.97,"$13,663,125","Real Property: $9,750,000; Mutual Funds: $2,593,501; Exchange Traded Funds (ETF): $917,500; Bank Accounts, Money Market Accounts and CDs: $180,500; Stock: $175,000",
B001301,Jack,Bergman,,1014000.00,"$1,014,000","Mutual Funds: $931,000; Pensions: $83,000",
B001292,Donald,Beyer,S.,106883210.52,"$106,883,211","Real Property: $98,525,000; Mutual Funds: $2,398,500; Government Securities and Agency Debt: $970,500; Bank Accounts, Money Market Accounts and CDs: $864,000; Stock: $758,000",Health Care: 124; Information Technology: 114; Financials: 83; Consumer Staples: 56; Consumer Discretionary: 40
