first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL
"Adams, Alma S. - Representative",,,,,,,North Carolina,,12,Democratic,House: 2014-Present,https://www.congress.gov/member/alma-adams/A000370
"Aderholt, Robert B. - Representative",,,,,,,Alabama,,4,Republican,House: 1997-Present,https://www.congress.gov/member/robert-aderholt/A000055
"Aguilar, Pete - Representative",,,,,,,California,,33,Democratic,House: 2015-Present,https://www.congress.gov/member/pete-aguilar/A000371
"Alford, Mark - Representative",,,,,,,Missouri,,4,Republican,House: 2023-Present,https://www.congress.gov/member/mark-alford/A000379
"Allen, Rick W. - Representative",,,,,,,Georgia,,12,Republican,House: 2015-Present,https://www.congress.gov/member/rick-allen/A000372
"Alsobrooks, Angela D. - Senator",,,,,,,Maryland,,,Democratic,Senate: 2025-Present,https://www.congress.gov/member/angela-alsobrooks/A000382
"Amo, Gabe - Representative",,,,,,,Rhode Island,,1,Democratic,House: 2023-Present,https://www.congress.gov/member/gabe-amo/A000380
"Amodei, Mark E. - Representative",,,,,,,Nevada,,2,Republican,House: 2011-Present,https://www.congress.gov/member/mark-amodei/A000369
"Ansari, Yassamin - Representative",,,,,,,Arizona,,3,Democratic,House: 2025-Present,https://www.congress.gov/member/yassamin-ansari/A000381
"Arrington, Jodey C. - Representative",,,,,,,Texas,,19,Republican,House: 2017-Present,https://www.congress.gov/member/jodey-arrington/A000375
"Auchincloss, Jake - Representative",,,,,,,Massachusetts,,4,Democratic,House: 2021-Present,https://www.congress.gov/member/jake-auchincloss/A000148
"Babin, Brian - Representative",,,,,,,Texas,,36,Republican,House: 2015-Present,https://www.congress.gov/member/brian-babin/B001291
"Bacon, Don - Representative",,,,,,,Nebraska,,2,Republican,House: 2017-Present,https://www.congress.gov/member/don-bacon/B001298
"Baird, James R. - Representative",,,,,,,Indiana,,4,Republican,House: 2019-Present,https://www.congress.gov/member/james-baird/B001307
"Balderson, Troy - Representative",,,,,,,Ohio,,12,Republican,House: 2018-Present,https://www.congress.gov/member/troy-balderson/B001306
"Baldwin, Tammy - Senator",,,,,,,Wisconsin,,,Democratic,Senate: 2013-Present | House: 1999-2013,https://www.congress.gov/member/tammy-baldwin/B001230
"Balint, Becca - Representative",,,,,,,Vermont,,At Large,Democratic,House: 2023-Present,https://www.congress.gov/member/becca-balint/B001318
"Banks, Jim - Senator",,,,,,,Indiana,,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/jim-banks/B001299
"Barr, Andy - Representative",,,,,,,Kentucky,,6,Republican,House: 2013-Present,https://www.congress.gov/member/andy-barr/B001282
"Barrag�n, Nanette Diaz - Representative",,,,,,,California,,44,Democratic,House: 2017-Present,https://www.congress.gov/member/nanette-barragan/B001300
"Barrasso, John - Senator",,,,,,,Wyoming,,,Republican,Senate: 2007-Present,https://www.congress.gov/member/john-barrasso/B001261
"Barrett, Tom - Representative",,,,,,,Michigan,,7,Republican,House: 2025-Present,https://www.congress.gov/member/tom-barrett/B001321
"Baumgartner, Michael - Representative",,,,,,,Washington,,5,Republican,House: 2025-Present,https://www.congress.gov/member/michael-baumgartner/B001322
"Bean, Aaron - Representative",,,,,,,Florida,,4,Republican,House: 2023-Present,https://www.congress.gov/member/aaron-bean/B001314
"Beatty, Joyce - Representative",,,,,,,Ohio,,3,Democratic,House: 2013-Present,https://www.congress.gov/member/joyce-beatty/B001281
"Begich, Nicholas J. - Representative",,,,,,,Alaska,,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/nicholas-begich/B001323
"Bell, Wesley - Representative",,,,,,,Missouri,,1,Democratic,House: 2025-Present,https://www.congress.gov/member/wesley-bell/B001324
"Bennet, Michael F. - Senator",,,,,,,Colorado,,,Democratic,Senate: 2009-Present,https://www.congress.gov/member/michael-bennet/B001267
"Bentz, Cliff - Representative",,,,,,,Oregon,,2,Republican,House: 2021-Present,https://www.congress.gov/member/cliff-bentz/B000668
"Bera, Ami - Representative",,,,,,,California,,6,Democratic,House: 2013-Present,https://www.congress.gov/member/ami-bera/B001287
"Bergman, Jack - Representative",,,,,,,Michigan,,1,Republican,House: 2017-Present,https://www.congress.gov/member/jack-bergman/B001301
"Beyer, Donald S. - Representative",,,,,,,Virginia,,8,Democratic,House: 2015-Present,https://www.congress.gov/member/donald-beyer/B001292
"Bice, Stephanie I. - Representative",,,,,,,Oklahoma,,5,Republican,House: 2021-Present,https://www.congress.gov/member/stephanie-bice/B000740
"Biggs, Andy - Representative",,,,,,,Arizona,,5,Republican,House: 2017-Present,https://www.congress.gov/member/andy-biggs/B001302
"Biggs, Sheri - Representative",,,,,,,South Carolina,,3,Republican,House: 2025-Present,https://www.congress.gov/member/sheri-biggs/B001325
"Bilirakis, Gus M. - Representative",,,,,,,Florida,,12,Republican,House: 2007-Present,https://www.congress.gov/member/gus-bilirakis/B001257
"Bishop, Sanford D. - Representative",,,,,,,Georgia,,2,Democratic,House: 1993-Present,https://www.congress.gov/member/sanford-bishop/B000490
"Blackburn, Marsha - Senator",,,,,,,Tennessee,,,Republican,Senate: 2019-Present | House: 2003-2019,https://www.congress.gov/member/marsha-blackburn/B001243
"Blumenthal, Richard - Senator",,,,,,,Connecticut,,,Democratic,Senate: 2011-Present,https://www.congress.gov/member/richard-blumenthal/B001277
"Blunt Rochester, Lisa - Senator",,,,,,,Delaware,,,Democratic,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/lisa-blunt-rochester/B001303
"Boebert, Lauren - Representative",,,,,,,Colorado,,4,Republican,House: 2021-Present,https://www.congress.gov/member/lauren-boebert/B000825
"Bonamici, Suzanne - Representative",,,,,,,Oregon,,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzanne-bonamici/B001278
"Booker, Cory A. - Senator",,,,,,,New Jersey,,,Democratic,Senate: 2013-Present,https://www.congress.gov/member/cory-booker/B001288
"Boozman, John - Senator",,,,,,,Arkansas,,,Republican,Senate: 2011-Present | House: 2001-2011,https://www.congress.gov/member/john-boozman/B001236
"Bost, Mike - Representative",,,,,,,Illinois,,12,Republican,House: 2015-Present,https://www.congress.gov/member/mike-bost/B001295
"Boyle, Brendan F. - Representative",,,,,,,Pennsylvania,,2,Democratic,House: 2015-Present,https://www.congress.gov/member/brendan-boyle/B001296
"Brecheen, Josh - Representative",,,,,,,Oklahoma,,2,Republican,House: 2023-Present,https://www.congress.gov/member/josh-brecheen/B001317
"Bresnahan, Robert P. - Representative",,,,,,,Pennsylvania,,8,Republican,House: 2025-Present,https://www.congress.gov/member/robert-bresnahan/B001327
"Britt, Katie Boyd - Senator",,,,,,,Alabama,,,Republican,Senate: 2023-Present,https://www.congress.gov/member/katie-britt/B001319
"Brown, Shontel M. - Representative",,,,,,,Ohio,,11,Democratic,House: 2021-Present,https://www.congress.gov/member/shontel-brown/B001313
