first_name,last_name,name_slug,bioguide_id,,,,,
Alma,Adams,alma-adams,A000370,,https://www.quiverquant.com/congresstrading/politician/Tom%20S.%20Barrett-B001312,,,
Robert,Aderholt,robert-aderholt,A000055,,,,,
Pete,Aguilar,pete-aguilar,A000371,,,,,
Mark,Alford,mark-alford,A000379,,,,,
Rick,Allen,rick-allen,A000372,,,,,
Angela,Alsobrooks,angela-alsobrooks,A000382,,,,,
Gabe,Amo,gabe-amo,A000380,,,,,
Mark,Amodei,mark-amodei,A000369,,,,,
Yassamin,Ansari,yassamin-ansari,A000381,,,,,
Jodey,Arrington,jodey-arrington,A000375,,,,,
Jake,Auchincloss,jake-auchincloss,A000148,,,,,
Brian,Babin,brian-babin,B001291,,,,,
Don,Bacon,don-bacon,B001298,,,,,
James,Baird,james-baird,B001307,,,,,
Troy,Balderson,troy-balderson,B001306,,,,,
Tammy,Baldwin,tammy-baldwin,B001230,,,,,
Becca,Balint,becca-balint,B001318,,,,,
Jim,Banks,jim-banks,B001299,,,,,
Andy,Barr,andy-barr,B001282,,,,,
Nanette,Barrag�n,nanette-barragan,B001300,,,,,
John,Barrasso,john-barrasso,B001261,,,,,
Tom,Barrett,tom-barrett,B001321,,,,,
Michael,Baumgartner,michael-baumgartner,B001322,,,,,
Aaron,Bean,aaron-bean,B001314,,,,,
Joyce,Beatty,joyce-beatty,B001281,,,,,
Nicholas,Begich,nicholas-begich,B001323,,,,,
Wesley,Bell,wesley-bell,B001324,,,,,
Michael,Bennet,michael-bennet,B001267,,,,,
Cliff,Bentz,cliff-bentz,B000668,,,,,
Ami,Bera,ami-bera,B001287,,,,,
Jack,Bergman,jack-bergman,B001301,,,,,
Donald,Beyer,donald-beyer,B001292,,,,,
Stephanie,Bice,stephanie-bice,B000740,,,,,
Sheri,Biggs,sheri-biggs,B001325,,,,,
Andy,Biggs,andy-biggs,B001302,,https://www.quiverquant.com/congresstrading/politician/Andy%20S.%20Biggs-B001302/,,,
Gus,Bilirakis,gus-bilirakis,B001257,,,,,
Sanford,Bishop,sanford-bishop,B000490,,,,,
Marsha,Blackburn,marsha-blackburn,B001243,,,,,
Richard,Blumenthal,richard-blumenthal,B001277,,,,,
Lisa,Blunt Rochester,lisa-blunt-rochester,B001303,,,,,
Lauren,Boebert,lauren-boebert,B000825,,,,,
Suzanne,Bonamici,suzanne-bonamici,B001278,,,,,
Cory,Booker,cory-booker,B001288,,,,,
John,Boozman,john-boozman,B001236,,,,,
Mike,Bost,mike-bost,B001295,,,,,
Brendan,Boyle,brendan-boyle,B001296,,,,,
Josh,Brecheen,josh-brecheen,B001317,,,,,
Robert,Bresnahan,robert-bresnahan,B001327,,,,,
Katie,Britt,katie-britt,B001319,,,,,
Shontel,Brown,shontel-brown,B001313,,,,,
Julia,Brownley,julia-brownley,B001285,,,,,
Vern,Buchanan,vern-buchanan,B001260,,,,,
Ted,Budd,ted-budd,B001305,,,,,
Nikki,Budzinski,nikki-budzinski,B001315,,,,,
Tim,Burchett,tim-burchett,B001309,,,,,
Eric,Burlison,eric-burlison,B001316,,,,,
Janelle,Bynum,janelle-bynum,B001326,,,,,
Ken,Calvert,ken-calvert,C000059,,,,,
Kat,Cammack,kat-cammack,C001039,,,,,
Maria,Cantwell,maria-cantwell,C000127,,,,,
Shelley,Capito,shelley-capito,C001047,,,,,
Salud,Carbajal,salud-carbajal,C001112,,,,,
Mike,Carey,mike-carey,C001126,,,,,
Andr�,Carson,andre-carson,C001072,,,,,
Earl,Carter,earl-carter,C001103,,,,,
Troy,Carter,troy-carter,C001125,,,,,
John,Carter,john-carter,C001051,,,,,
Greg,Casar,greg-casar,C001131,,,,,
Ed,Case,ed-case,C001055,,,,,
Bill,Cassidy,bill-cassidy,C001075,,,,,
Sean,Casten,sean-casten,C001117,,,,,
Kathy,Castor,kathy-castor,C001066,,,,,
Joaquin,Castro,joaquin-castro,C001091,,,,,
Sheila,Cherfilus-McCormick,sheila-cherfilus-mccormick,C001127,,,,,
Judy,Chu,judy-chu,C001080,,,,,
Juan,Ciscomani,juan-ciscomani,C001133,,,,,
Gilbert,Cisneros,gilbert-cisneros,C001123,,,,,
Katherine,Clark,katherine-clark,C001101,,,,,
Yvette,Clarke,yvette-clarke,C001067,,,,,
Emanuel,Cleaver,emanuel-cleaver,C001061,,,,,
Ben,Cline,ben-cline,C001118,,,,,
Michael,Cloud,michael-cloud,C001115,,,,,
James,Clyburn,james-clyburn,C000537,,,,,
Andrew,Clyde,andrew-clyde,C001116,,,,,
Steve,Cohen,steve-cohen,C001068,,,,,
Tom,Cole,tom-cole,C001053,,,,,
Aumua,Coleman Radewagen,aumua-amata-radewagen,R000600,,,,,
Mike,Collins,mike-collins,C001129,,,,,
Susan,Collins,susan-collins,C001035,,,,,
James,Comer,james-comer,C001108,,,,,
Herbert,Conaway,herbert-conaway,C001136,,,,,
Gerald,Connolly,gerald-connolly,C001078,,,,,
Christopher,Coons,christopher-coons,C001088,,,,,
John,Cornyn,john-cornyn,C001056,,,,,
J.,Correa,j-correa,C001110,,,,,
Catherine,Cortez Masto,catherine-cortez-masto,C001113,,,,,
Jim,Costa,jim-costa,C001059,,,,,
Tom,Cotton,tom-cotton,C001095,,,,,
Joe,Courtney,joe-courtney,C001069,,,,,
Angie,Craig,angie-craig,C001119,,,,,
Kevin,Cramer,kevin-cramer,C001096,,,,,
Elijah,Crane,elijah-crane,C001132,,,,,
Jeff,Crank,jeff-crank,C001137,,,,,
Mike,Crapo,mike-crapo,C000880,,,,,
Eric,Crawford,eric-crawford,C001087,,,,,
Dan,Crenshaw,dan-crenshaw,C001120,,,,,
Jasmine,Crockett,jasmine-crockett,C001130,,,,,
Jason,Crow,jason-crow,C001121,,,,,
Ted,Cruz,ted-cruz,C001098,,,,,
Henry,Cuellar,henry-cuellar,C001063,,,,,
John,Curtis,john-curtis,C001114,,,,,
Steve,Daines,steve-daines,D000618,,,,,
Sharice,Davids,sharice-davids,D000629,,,,,
Warren,Davidson,warren-davidson,D000626,,,,,
Donald,Davis,donald-davis,D000230,,,,,
Danny,Davis,danny-davis,D000096,,,,,
Monica,De La Cruz,monica-de-la-cruz,D000594,,,,,
Madeleine,Dean,madeleine-dean,D000631,,,,,
Diana,DeGette,diana-degette,D000197,,,,,
Rosa,DeLauro,rosa-delauro,D000216,,,,,
Suzan,DelBene,suzan-delbene,D000617,,,,,
Christopher,Deluzio,christopher-deluzio,D000530,,,,,
Mark,DeSaulnier,mark-desaulnier,D000623,,,,,
Scott,DesJarlais,scott-desjarlais,D000616,,,,,
Maxine,Dexter,maxine-dexter,D000635,,,,,
Mario,Diaz-Balart,mario-diaz-balart,D000600,,,,,
Debbie,Dingell,debbie-dingell,D000624,,,,,
Lloyd,Doggett,lloyd-doggett,D000399,,,,,
Byron,Donalds,byron-donalds,D000032,,,,,
Troy,Downing,troy-downing,D000634,,,,,
Tammy,Duckworth,tammy-duckworth,D000622,,,,,
Neal,Dunn,neal-dunn,D000628,,,,,
Richard,Durbin,richard-durbin,D000563,,,,,
Chuck,Edwards,chuck-edwards,E000246,,,,,
Sarah,Elfreth,sarah-elfreth,E000301,,,,,
Jake,Ellzey,jake-ellzey,E000071,,,,,
Tom,Emmer,tom-emmer,E000294,,,,,
Joni,Ernst,joni-ernst,E000295,,,,,
Veronica,Escobar,veronica-escobar,E000299,,,,,
Adriano,Espaillat,adriano-espaillat,E000297,,,,,
Ron,Estes,ron-estes,E000298,,,,,
Dwight,Evans,dwight-evans,E000296,,,,,
Gabe,Evans,gabe-evans,E000300,,,,,
Mike,Ezell,mike-ezell,E000235,,,,,
Pat,Fallon,pat-fallon,F000246,,,,,
Julie,Fedorchak,julie-fedorchak,F000482,,,,,
Randy,Feenstra,randy-feenstra,F000446,,,,,
John,Fetterman,john-fetterman,F000479,,,,,
Cleo,Fields,cleo-fields,F000110,,,,,
Shomari,Figures,shomari-figures,F000481,,,,,
Randy,Fine,randy-fine,F000484,,,,,
Brad,Finstad,brad-finstad,F000475,,,,,
Michelle,Fischbach,michelle-fischbach,F000470,,,,,
Deb,Fischer,deb-fischer,F000463,,,,,
Scott,Fitzgerald,scott-fitzgerald,F000471,,,,,
Brian,Fitzpatrick,brian-fitzpatrick,F000466,,,,,
Charles,Fleischmann,charles-fleischmann,F000459,,,,,
Lizzie,Fletcher,lizzie-fletcher,F000468,,,,,
Mike,Flood,mike-flood,F000474,,,,,
Vince,Fong,vince-fong,F000480,,,,,
Bill,Foster,bill-foster,F000454,,,,,
Valerie,Foushee,valerie-foushee,F000477,,,,,
Virginia,Foxx,virginia-foxx,F000450,,,,,
Lois,Frankel,lois-frankel,F000462,,,,,
Scott,Franklin,scott-franklin,F000472,,,,,
Laura,Friedman,laura-friedman,F000483,,,,,
Maxwell,Frost,maxwell-frost,F000476,,,,,
Russell,Fry,russell-fry,F000478,,,,,
Russ,Fulcher,russ-fulcher,F000469,,,,,
Ruben,Gallego,ruben-gallego,G000574,,,,,
John,Garamendi,john-garamendi,G000559,,,,,
Andrew,Garbarino,andrew-garbarino,G000597,,,,,
Sylvia,Garcia,sylvia-garcia,G000587,,,,,
Robert,Garcia,robert-garcia,G000598,,,,,
Jes�s,Garc�a,jesus-garcia,G000586,,,,,
Brandon,Gill,brandon-gill,G000603,,,,,
Laura,Gillen,laura-gillen,G000602,,,,,
Kirsten,Gillibrand,kirsten-gillibrand,G000555,,,,,
Carlos,Gimenez,carlos-gimenez,G000593,,,,,
Jared,Golden,jared-golden,G000592,,,,,
Daniel,Goldman,daniel-goldman,G000599,,,,,
Craig,Goldman,craig-goldman,G000601,,,,,
Jimmy,Gomez,jimmy-gomez,G000585,,,,,
Tony,Gonzales,tony-gonzales,G000594,,,,,
Vicente,Gonzalez,vicente-gonzalez,G000581,,,,,
Lance,Gooden,lance-gooden,G000589,,,,,
Maggie,Goodlander,maggie-goodlander,G000604,,,,,
Paul,Gosar,paul-gosar,G000565,,,,,
Josh,Gottheimer,josh-gottheimer,G000583,,,,,
Lindsey,Graham,lindsey-graham,G000359,,,,,
Chuck,Grassley,chuck-grassley,G000386,,,,,
Sam,Graves,sam-graves,G000546,,,,,
Adam,Gray,adam-gray,G000605,,,,,
Mark,Green,mark-green,G000590,,,,,
