first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL,name_slug,bioguide_id,date_of_birth
Alma,S.,,Adams,,Representative,house,North Carolina,NC,12,Democratic,House: 2014-Present,https://www.congress.gov/member/alma-adams/A000370,alma-adams,A000370,5/27/46
Robert,B.,,Aderholt,,Representative,house,Alabama,AL,4,Republican,House: 1997-Present,https://www.congress.gov/member/robert-aderholt/A000055,robert-aderholt,A000055,7/22/65
Pete,,,Aguilar,,Representative,house,California,CA,33,Democratic,House: 2015-Present,https://www.congress.gov/member/pete-aguilar/A000371,pete-aguilar,A000371,6/19/79
Mark,,,Alford,,Representative,house,Missouri,MO,4,Republican,House: 2023-Present,https://www.congress.gov/member/mark-alford/A000379,mark-alford,A000379,10/4/63
Rick,W.,,Allen,,Representative,house,Georgia,GA,12,Republican,House: 2015-Present,https://www.congress.gov/member/rick-allen/A000372,rick-allen,A000372,11/7/51
Angela,D.,,Alsobrooks,,Senator,senate,Maryland,MD,,Democratic,Senate: 2025-Present,https://www.congress.gov/member/angela-alsobrooks/A000382,angela-alsobrooks,A000382,2/23/71
Gabe,,,Amo,,Representative,house,Rhode Island,RI,1,Democratic,House: 2023-Present,https://www.congress.gov/member/gabe-amo/A000380,gabe-amo,A000380,12/11/87
Mark,E.,,Amodei,,Representative,house,Nevada,NV,2,Republican,House: 2011-Present,https://www.congress.gov/member/mark-amodei/A000369,mark-amodei,A000369,6/12/58
Yassamin,,,Ansari,,Representative,house,Arizona,AZ,3,Democratic,House: 2025-Present,https://www.congress.gov/member/yassamin-ansari/A000381,yassamin-ansari,A000381,4/7/92
Jodey,C.,,Arrington,,Representative,house,Texas,TX,19,Republican,House: 2017-Present,https://www.congress.gov/member/jodey-arrington/A000375,jodey-arrington,A000375,3/9/72
Jake,,,Auchincloss,,Representative,house,Massachusetts,MA,4,Democratic,House: 2021-Present,https://www.congress.gov/member/jake-auchincloss/A000148,jake-auchincloss,A000148,1/29/88
Brian,,,Babin,,Representative,house,Texas,TX,36,Republican,House: 2015-Present,https://www.congress.gov/member/brian-babin/B001291,brian-babin,B001291,3/23/48
Don,,,Bacon,,Representative,house,Nebraska,NE,2,Republican,House: 2017-Present,https://www.congress.gov/member/don-bacon/B001298,don-bacon,B001298,8/16/63
James,R.,,Baird,,Representative,house,Indiana,IN,4,Republican,House: 2019-Present,https://www.congress.gov/member/james-baird/B001307,james-baird,B001307,
Troy,,,Balderson,,Representative,house,Ohio,OH,12,Republican,House: 2018-Present,https://www.congress.gov/member/troy-balderson/B001306,troy-balderson,B001306,1/16/62
Tammy,,,Baldwin,,Senator,senate,Wisconsin,WI,,Democratic,Senate: 2013-Present | House: 1999-2013,https://www.congress.gov/member/tammy-baldwin/B001230,tammy-baldwin,B001230,2/11/62
Becca,,,Balint,,Representative,house,Vermont,VT,At Large,Democratic,House: 2023-Present,https://www.congress.gov/member/becca-balint/B001318,becca-balint,B001318,5/4/68
Jim,,,Banks,,Senator,senate,Indiana,IN,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/jim-banks/B001299,jim-banks,B001299,7/16/79
Andy,,,Barr,,Representative,house,Kentucky,KY,6,Republican,House: 2013-Present,https://www.congress.gov/member/andy-barr/B001282,andy-barr,B001282,7/24/73
Nanette,Diaz,,Barragn,,Representative,house,California,CA,44,Democratic,House: 2017-Present,https://www.congress.gov/member/nanette-barragan/B001300,nanette-barragan,B001300,9/15/76
John,,,Barrasso,,Senator,senate,Wyoming,WY,,Republican,Senate: 2007-Present,https://www.congress.gov/member/john-barrasso/B001261,john-barrasso,B001261,7/21/52
Tom,,,Barrett,,Representative,house,Michigan,MI,7,Republican,House: 2025-Present,https://www.congress.gov/member/tom-barrett/B001321,tom-barrett,B001321,4/30/81
Michael,,,Baumgartner,,Representative,house,Washington,WA,5,Republican,House: 2025-Present,https://www.congress.gov/member/michael-baumgartner/B001322,michael-baumgartner,B001322,12/13/75
Aaron,,,Bean,,Representative,house,Florida,FL,4,Republican,House: 2023-Present,https://www.congress.gov/member/aaron-bean/B001314,aaron-bean,B001314,1/25/67
Joyce,,,Beatty,,Representative,house,Ohio,OH,3,Democratic,House: 2013-Present,https://www.congress.gov/member/joyce-beatty/B001281,joyce-beatty,B001281,3/12/50
Nicholas,J.,,Begich,,Representative,house,Alaska,AK,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/nicholas-begich/B001323,nicholas-begich,B001323,
Wesley,,,Bell,,Representative,house,Missouri,MO,1,Democratic,House: 2025-Present,https://www.congress.gov/member/wesley-bell/B001324,wesley-bell,B001324,11/5/74
Michael,F.,,Bennet,,Senator,senate,Colorado,CO,,Democratic,Senate: 2009-Present,https://www.congress.gov/member/michael-bennet/B001267,michael-bennet,B001267,11/28/64
Cliff,,,Bentz,,Representative,house,Oregon,OR,2,Republican,House: 2021-Present,https://www.congress.gov/member/cliff-bentz/B000668,cliff-bentz,B000668,1/12/52
Ami,,,Bera,,Representative,house,California,CA,6,Democratic,House: 2013-Present,https://www.congress.gov/member/ami-bera/B001287,ami-bera,B001287,3/2/65
Jack,,,Bergman,,Representative,house,Michigan,MI,1,Republican,House: 2017-Present,https://www.congress.gov/member/jack-bergman/B001301,jack-bergman,B001301,2/2/47
Donald,S.,,Beyer,,Representative,house,Virginia,VA,8,Democratic,House: 2015-Present,https://www.congress.gov/member/donald-beyer/B001292,donald-beyer,B001292,
Stephanie,I.,,Bice,,Representative,house,Oklahoma,OK,5,Republican,House: 2021-Present,https://www.congress.gov/member/stephanie-bice/B000740,stephanie-bice,B000740,11/11/73
Andy,,,Biggs,,Representative,house,Arizona,AZ,5,Republican,House: 2017-Present,https://www.congress.gov/member/andy-biggs/B001302,andy-biggs,B001302,11/7/58
Sheri,,,Biggs,,Representative,house,South Carolina,SC,3,Republican,House: 2025-Present,https://www.congress.gov/member/sheri-biggs/B001325,sheri-biggs,B001325,3/28/70
Gus,M.,,Bilirakis,,Representative,house,Florida,FL,12,Republican,House: 2007-Present,https://www.congress.gov/member/gus-bilirakis/B001257,gus-bilirakis,B001257,2/8/63
Sanford,D.,,Bishop,,Representative,house,Georgia,GA,2,Democratic,House: 1993-Present,https://www.congress.gov/member/sanford-bishop/B000490,sanford-bishop,B000490,2/4/47
Marsha,,,Blackburn,,Senator,senate,Tennessee,TN,,Republican,Senate: 2019-Present | House: 2003-2019,https://www.congress.gov/member/marsha-blackburn/B001243,marsha-blackburn,B001243,6/6/52
Richard,,,Blumenthal,,Senator,senate,Connecticut,CT,,Democratic,Senate: 2011-Present,https://www.congress.gov/member/richard-blumenthal/B001277,richard-blumenthal,B001277,2/13/46
Lisa,,,Blunt Rochester,,Senator,senate,Delaware,DE,,Democratic,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/lisa-blunt-rochester/B001303,lisa-blunt-rochester,B001303,2/10/62
Lauren,,,Boebert,,Representative,house,Colorado,CO,4,Republican,House: 2021-Present,https://www.congress.gov/member/lauren-boebert/B000825,lauren-boebert,B000825,12/15/86
Suzanne,,,Bonamici,,Representative,house,Oregon,OR,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzanne-bonamici/B001278,suzanne-bonamici,B001278,10/14/54
Cory,A.,,Booker,,Senator,senate,New Jersey,NJ,,Democratic,Senate: 2013-Present,https://www.congress.gov/member/cory-booker/B001288,cory-booker,B001288,4/27/69
John,,,Boozman,,Senator,senate,Arkansas,AR,,Republican,Senate: 2011-Present | House: 2001-2011,https://www.congress.gov/member/john-boozman/B001236,john-boozman,B001236,12/10/50
Mike,,,Bost,,Representative,house,Illinois,IL,12,Republican,House: 2015-Present,https://www.congress.gov/member/mike-bost/B001295,mike-bost,B001295,12/30/60
Brendan,F.,,Boyle,,Representative,house,Pennsylvania,PA,2,Democratic,House: 2015-Present,https://www.congress.gov/member/brendan-boyle/B001296,brendan-boyle,B001296,2/6/77
Josh,,,Brecheen,,Representative,house,Oklahoma,OK,2,Republican,House: 2023-Present,https://www.congress.gov/member/josh-brecheen/B001317,josh-brecheen,B001317,6/19/79
Robert,P.,,Bresnahan,,Representative,house,Pennsylvania,PA,8,Republican,House: 2025-Present,https://www.congress.gov/member/robert-bresnahan/B001327,robert-bresnahan,B001327,
Katie,Boyd,,Britt,,Senator,senate,Alabama,AL,,Republican,Senate: 2023-Present,https://www.congress.gov/member/katie-britt/B001319,katie-britt,B001319,2/2/82
Shontel,M.,,Brown,,Representative,house,Ohio,OH,11,Democratic,House: 2021-Present,https://www.congress.gov/member/shontel-brown/B001313,shontel-brown,B001313,6/24/75
Julia,,,Brownley,,Representative,house,California,CA,26,Democratic,House: 2013-Present,https://www.congress.gov/member/julia-brownley/B001285,julia-brownley,B001285,8/28/52
Vern,,,Buchanan,,Representative,house,Florida,FL,16,Republican,House: 2007-Present,https://www.congress.gov/member/vern-buchanan/B001260,vern-buchanan,B001260,5/8/51
Ted,,,Budd,,Senator,senate,North Carolina,NC,,Republican,Senate: 2023-Present | House: 2017-2023,https://www.congress.gov/member/ted-budd/B001305,ted-budd,B001305,10/21/71
Nikki,,,Budzinski,,Representative,house,Illinois,IL,13,Democratic,House: 2023-Present,https://www.congress.gov/member/nikki-budzinski/B001315,nikki-budzinski,B001315,3/11/77
