first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty
Barry,Moore,Barry Moore,1966-09-26,59,2021-01-03,56,4.67,"4 years, 8 months"
Shomari,Figures,Shomari Figures,1985-09-03,40,2025-01-03,8,0.67,8 months
Mike,Rogers,Mike Rogers,1958-07-16,67,2003-01-03,272,22.67,"22 years, 8 months"
Robert,Aderholt,Robert Aderholt,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months"
Dale,Strong,Dale Strong,1970-05-08,55,2023-01-03,32,2.67,"2 years, 8 months"
Gary,Palmer,Gary Palmer,1954-05-14,71,2015-01-03,128,10.67,"10 years, 8 months"
Terri,Sewell,Terri Sewell,1965-01-01,60,2011-01-03,176,14.67,"14 years, 8 months"
Nick Begich,III,Nick Begich III,1977-10-27,47,2025-01-03,8,0.67,8 months
David,Schweikert,David Schweikert,1962-03-03,63,2011-01-03,176,14.67,"14 years, 8 months"
Eli,Crane,Eli Crane,1980-01-03,45,2023-01-03,32,2.67,"2 years, 8 months"
Yassamin,Ansari,Yassamin Ansari,1992-04-07,33,2025-01-03,8,0.67,8 months
Greg,Stanton,Greg Stanton,1970-03-08,55,2019-01-03,80,6.67,"6 years, 8 months"
Andy,Biggs,Andy Biggs,1958-11-07,66,2017-01-03,104,8.67,"8 years, 8 months"
Juan,Ciscomani,Juan Ciscomani,1982-08-31,43,2023-01-03,32,2.67,"2 years, 8 months"
Abraham,Hamadeh,Abraham Hamadeh,1991-05-15,34,2025-01-03,8,0.67,8 months
Paul,Gosar,Paul Gosar,1958-11-27,66,2011-01-03,176,14.67,"14 years, 8 months"
Rick,Crawford,Rick Crawford,1966-01-22,59,2011-01-03,176,14.67,"14 years, 8 months"
French,Hill,French Hill,1956-12-05,68,2015-01-03,128,10.67,"10 years, 8 months"
Steve,Womack,Steve Womack,1957-02-18,68,2011-01-03,176,14.67,"14 years, 8 months"
Bruce,Westerman,Bruce Westerman,1967-11-18,57,2015-01-03,128,10.67,"10 years, 8 months"
Doug,LaMalfa,Doug LaMalfa,1960-07-02,65,2013-01-03,152,12.67,"12 years, 8 months"
Jared,Huffman,Jared Huffman,1964-02-18,61,2013-01-03,152,12.67,"12 years, 8 months"
Kevin,Kiley,Kevin Kiley,1985-01-30,40,2023-01-03,32,2.67,"2 years, 8 months"
Mike,Thompson,Mike Thompson,1951-01-24,74,1999-01-03,320,26.67,"26 years, 8 months"
