first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty
Tommy,Tuberville,Tommy Tuberville,1954-09-18,71,2021-01-03,56,4.67,"4 years, 8 months"
Katie,Britt,Katie Britt,1982-02-02,43,2023-01-03,32,2.67,"2 years, 8 months"
Lisa,Murkowski,Lisa Murkowski,1957-05-22,68,2002-12-20,273,22.75,"22 years, 9 months"
Dan,Sullivan,Dan Sullivan,1964-11-13,60,2015-01-03,128,10.67,"10 years, 8 months"
Mark,Kelly,Mark Kelly,1964-02-21,61,2020-12-02,57,4.75,"4 years, 9 months"
Ruben,Gallego,Ruben Gallego,1979-11-20,45,2025-01-03,8,0.67,8 months
John,Boozman,John Boozman,1950-12-10,74,2011-01-03,176,14.67,"14 years, 8 months"
Tom,Cotton,Tom Cotton,1977-05-13,48,2015-01-03,128,10.67,"10 years, 8 months"
Alex,Padilla,Alex Padilla,1973-03-22,52,2021-01-20,56,4.67,"4 years, 8 months"
Adam,Schiff,Adam Schiff,1960-06-22,65,2024-12-08,9,0.75,9 months
Michael,Bennet,Michael Bennet,1964-11-28,60,2009-01-21,200,16.67,"16 years, 8 months"
John,Hickenlooper,John Hickenlooper,1952-02-07,73,2021-01-03,56,4.67,"4 years, 8 months"
Richard,Blumenthal,Richard Blumenthal,1946-02-13,79,2011-01-03,176,14.67,"14 years, 8 months"
Chris,Murphy,Chris Murphy,1973-08-03,52,2013-01-03,152,12.67,"12 years, 8 months"
Chris,Coons,Chris Coons,1963-09-09,62,2010-11-15,178,14.83,"14 years, 10 months"
Lisa,Blunt Rochester,Lisa Blunt Rochester,1962-02-10,63,2025-01-03,8,0.67,8 months
Rick,Scott,Rick Scott,1952-12-01,72,2019-01-08,80,6.67,"6 years, 8 months"
Ashley,Moody,Ashley Moody,1975-03-28,50,2025-01-21,8,0.67,8 months
Jon,Ossoff,Jon Ossoff,1987-02-16,38,2021-01-20,56,4.67,"4 years, 8 months"
Raphael,Warnock,Raphael Warnock,1969-07-23,56,2021-01-20,56,4.67,"4 years, 8 months"
Brian,Schatz,Brian Schatz,1972-10-20,52,2012-12-26,153,12.75,"12 years, 9 months"
Mazie,Hirono,Mazie Hirono,1947-11-03,77,2013-01-03,152,12.67,"12 years, 8 months"
Mike,Crapo,Mike Crapo,1951-05-20,74,1999-01-03,320,26.67,"26 years, 8 months"
Jim,Risch,Jim Risch,1943-05-03,82,2009-01-03,200,16.67,"16 years, 8 months"
Dick,Durbin,Dick Durbin,1944-11-21,80,1997-01-03,344,28.67,"28 years, 8 months"
Tammy,Duckworth,Tammy Duckworth,1968-03-12,57,2017-01-03,104,8.67,"8 years, 8 months"
Todd,Young,Todd Young,1972-08-24,53,2017-01-03,104,8.67,"8 years, 8 months"
Jim,Banks,Jim Banks,1979-07-16,46,2025-01-03,8,0.67,8 months
Chuck,Grassley,Chuck Grassley,1933-09-17,92,1981-01-03,536,44.67,"44 years, 8 months"
Joni,Ernst,Joni Ernst,1970-07-01,55,2015-01-03,128,10.67,"10 years, 8 months"
Jerry,Moran,Jerry Moran,1954-05-29,71,2011-01-03,176,14.67,"14 years, 8 months"
