candidate name,party,fec_id,cid
"Aadland, Erik",R,H2CO07170,N00048815
"Aalders, Tim",R,H2UT03280,N00034296
"Aazami, Shervin",D,H2CA30291,N00047923
"Abahsain, Jill",D,H2MN07162,N00051397
"Abbott, Martha",3,S2VT00359,N00051715
"Abdelhamid, Rana",D,H2NY12197,N00048268
"Abdirahman, Shukri",R,H2MN05174,N00049304
"Abdullahi, Munira Yasin",D,H2OH09197,N00050440
"Abkin, Steven L.",3,H2HI01146,N00051621
"Abrahamson, Brian",3,H2MN01371,N00051632
"Abud, Edward",D,S2FL00482,N00048100
"Abuzeid, George",R,H2SC04154,N00049767
"Acciard, Julian",R,H2NH01254,N00048254
"Achenbach, Jack Joseph",D,H2FL10218,N00048681
"Acheson, Phelan",I,H2UT02431,N00048052
"Acker, Brandon",D,H8NC07093,N00039865
"Ackerman, Michael",R,H2NC05165,N00048242
"Adams, Alma",D,H4NC12100,N00035451
"Adams, Jane",R,H2NV01322,N00050901
"Adams, John",R,H0OH15099,N00032432
"Adams, Larry Jr",I,S2SC00137,N00050031
"Adams, Matt",D,H2TN03235,N00048765
"Addison, Michael",D,H2SC06126,N00048763
"Addison, Randall",I,H2TX09131,N00049341
"Adeimy, Deborah",R,H2FL21132,N00049287
"Aderholt, Robert B",R,H6AL04098,N00003028
"Adkins, Amanda",R,H0KS03236,N00045245
"Adkins, Gary",R,H2VA07212,N00044992
"Afzal, Joseph",D,H2NV02536,N00050677
"Agan, Jeffrey Jr",D,H2OH05054,N00048271
"Agoda-Koussema, Komi",D,H2NY11165,N00049709
"Aguayo, Dennis",I,H2AK00374,N00051326
"Aguilar, Erick",R,H0FL04140,N00045227
"Aguilar, Pete",D,H2CA31125,N00033997
"Aguirre, Juan Enrique",D,H2IL03188,N00050357
"Ahmed, Junaid",D,H2IL08146,N00048212
"Ahmed, Mohammad",3,S2NY00481,N00050017
"Ahrens, Richard",R,H2NC02279,N00049635
"Aiken, Clay",D,H2NC06148,N00035909
"Aiken, William",R,H2NC01255,N00050881
"Ainsworth, Brian",R,S2CA00963,N00048095
"Akana, Joe",R,H0HI02213,N00046766
"Akhlaghy, Nader",3,H2NY05118,N00048737
"Al-Abdrabbuh, Sami",D,H2OR04152,N00050169
"Alam, MD",D,S2MO00635,N00037402
"Alcantara, Manuel",R,H2FL11166,N00050591
"Alciere, Tom",R,H6NH02089,N00008598
"Alcorn, Peter",R,H2AL01200,N00049271
"Alcubilla, Sergio",D,H2HI01112,N00051047
"Alexander, Anthony Leon",R,H2OH07258,N00051098
"Alexander, Arsenio",I,H8VA01311,N00049361
"Alexander, Douglas",I,H2WI02199,N00051936
"Alexander, Martin",D,H2OH11300,N00049152
"Alexander, Sam",R,H2MO07127,N00049121
"Alexander, Tim",D,H2NJ02193,N00047996
"Alexander, Vivika",I,S2NY00515,N00050540
"Alfonso, Joseph",D,H2MI04260,N00049595
"Alford, Mark",R,H2MO04207,N00049617
"Allam, Nida",D,H2NC06098,N00049650
"Allcorn, Tyler",R,H2CO08103,N00049489
"Allen, Bill",R,H2IN07195,N00050370
"Allen, Brad",R,H4CA24175,N00035819
"Allen, Brian",R,H2PA10108,N00047877
"Allen, Corey",R,H2IL17105,N00048214
"Allen, Graham",R,H2SC07256,N00048575
"Allen, Natalia Isabel",D,H2FL20258,N00048688
"Allen, Richard W",R,H2GA12121,N00033720
"Allen, Robert",R,S2MO00775,N00051702
"Allen, Thomas Jason",R,H2SC01093,N00049161
"Allison, Tammy",D,H2MD04364,N00048297
"Allred, Colin",D,H8TX32098,N00040989
"Almonord, Val",D,H0GA03074,N00046652
"Almonte, Melinda",R,H2FL23120,N00050091
"Alonso Leon, Teresa",D,H2OR06108,N00050172
"Alspach, James Dean",R,H8IN09131,N00042842
"Altman, Tommy",R,H2VA02072,N00048788
"Alvarado, Eliza",D,H2TX15146,N00049798
"Alvarez, Andrew",R,H2TX22134,N00046982
"Alvarez, Antonio",3,S2IN00364,N00052079
"Alvarez, Simon Mark",D,H8CA34340,N00040663
"Alvey, Andrew",R,H2GA10174,N00048694
"Amato, Bruno",D,H2CA23148,N00048460
"Ambrose, David",I,H2AK00556,N00051873
"Ambrose, Mark",R,H2MI11265,N00051062
"Ambrose, Nicolee",R,H2MD02368,N00050855
"Amicucci, Alexander",I,H2OH03208,N00051924
"Amodei, Mark",R,H2NV02395,N00031177
"Amundson, Thor",I,S8WA00137,N00007929
"Anabilah-Azumah, Joel",I,S2NY00341,N00047855
"Anantatmula, Manga",R,H0VA11127,N00046698
"Anders, Bob",R,H2MO02169,N00047987
"Andersen, Carl",R,H2CO07196,N00050077
"Anderson, Alton",3,S2UT00393,N00050545
"Anderson, Avery",D,H2AZ06312,N00050788
"Anderson, David",I,H2WA09172,N00051122
"Anderson, David Jr",D,H2TX35102,N00048050
"Anderson, Derrick",R,H2VA07170,N00049349
"Anderson, Dwight",D,H2FL20316,N00049286
"Anderson, Jessica",D,H2VA01108,N00049877
"Anderson, John",I,S2CT00355,N00052072
"Anderson, John",R,H0OH07104,N00032090
"Anderson, Teal'C",3,S2CO00266,N00049983
"Anderson, Terell",D,H2AL02158,N00048144
"Anderson, Toby",R,H2NJ11228,N00050152
"Anderson, Warren Lee",D,H2MN01314,N00051280
"Andra, Mike",D,S2KS00147,N00051697
"Andrews, Annie",D,H2SC01127,N00049765
"Andrews, Jeanette",R,H2KY05193,N00051187
"Andrews, Mark",I,H2CA09162,N00051345
"Andrews, Naomi",D,H2OK02307,N00050926
"Andriani, Mike",R,H2NC09217,N00051070
"Aneralla, John",R,H2NC13227,N00049666
"Angel, Angela",D,H2MD04349,N00049586
"Ani, Sylvester Jr",D,H2CA38252,N00048480
"Anthony, Daniel",R,H2FL09251,N00050085
"Antisell, Eric",3,H2NJ06244,N00051911
"Antoine, Greg",D,S2NC00711,N00050537
"Antonelli, Jeff",D,H2TX14214,N00048925
"Antonucci, Nick",D,H2NY01141,N00048895
"Aquino, Darren",R,H0FL19163,N00045980
"Aragon, Eddy",R,H2NM01235,N00048008
"Aragona, Jenai",R,H2TX35185,N00049859
"Arballo, Phil",D,H0CA22102,N00044758
"Ardoin, Chelsea",R,H2LA02172,N00047961
"Arianas, Peter Steven",R,H2FL21140,N00049521
"Arkoosh, Val",D,S2PA00463,N00048445
"Armendariz-Jackson, Irene",R,H0TX16106,N00045161
"Armstrong, Jay",R,H2AK00267,N00051315
"Armstrong, Kelly",R,H8ND00096,N00042868
"Armstrong, Sean",L,H2NJ09149,N00051084
"Arnold, Keith",D,H8WA08080,N00030295
"Arnold, Marie",D,S2CA01219,N00050518
"Arraf, Huwaida",D,H2MI10127,N00049599
"Arredondo-Lynch, Alma",R,H2TX23140,N00041602
"Arreguin, Luis",D,H2CA18171,N00050307
"Arrington, Jodey",R,H6TX19099,N00038285
"Arrington, Katie",R,H2SC01150,N00041593
"Arroyo, Marcos",R,H2NJ08299,N00051413
"Arthur, Barbara",R,H2SC07231,N00048286
"Arview, Tim",R,S2IL00150,N00048406
"Asare, Isak",D,H2IN09233,N00049563
"Asencio, Robert",D,H2FL28038,N00051384
"Asensio, Manuel",R,H2FL03197,N00049070
"Ashby, Ken",L,H8TX05052,N00005697
"Aslanpour, Simon",R,H2CA10186,N00048474
"Atencio, Rudy",R,H2TX08109,N00045076
"Atholi, Aditya",R,H2TX01104,N00049168
"Atkinson, Eric",D,H2FL10242,N00049074
"Atkinson, John",D,H2NY01109,N00048545
"Atwood, Frank",3,S2CO00308,N00051000
"Aubart, Scott",3,S2WI00375,N00048652
"Auchincloss, Jake",D,H0MA04192,N00045506
"August, David",I,H2MD06286,N00048521
"Ausbrooks, Jimmy",D,H2KY01085,N00044829
"Ausman, Richard",D,H2WI07123,N00051598
"Austin, Gerald",R,H2NC06080,N00048996
"Austin, Kyle",R,H2MT02175,N00050880
"Austin, Peter Dumond",I,H2CA26174,N00050313
"Autiameineire, Keivaulqe",I,H2CA27230,N00047701
"Auzenne, Oray",D,H2CA39169,N00050317
"Avery, Caroline",L,H2PA01123,N00049743
"Avery, Hunter",D,H2MS01130,N00048239
"Avion, Orlondo",D,H2CO05224,N00050075
"Awgowhat, Leo",R,H8TN09122,N00043537
"Awtrey, Patrick",R,H2OH14106,N00049329
"Axne, Cindy",D,H8IA03124,N00041104
"Ayala, Aramis",D,H2FL10192,N00048679
"Azma, Arya",D,S2OK00327,N00051547
"Baan, Andy",R,H0VA02167,N00045432
"Babb, Joe",R,H2VA11248,N00050206
"Baber, Darryl",L,H2NV02601,N00051922
"Babin, Brian",R,H6TX02079,N00005736
"Bacon, Donald John",R,H6NE02125,N00037049
"Bacon, Roger",D,H2NJ02060,N00000904
"Baddar, Youseff",I,H2OH05047,N00048018
"Badger, Andrew",R,H2UT01268,N00049874
"Badger, John",I,H0LA05088,N00044531
"Badhasso, Amane",D,H2MN04169,N00049303
"Baer, Thomas",I,S2IN00331,N00052076
"Bah, Omar",D,H2RI02218,N00050461
"Bahar, Hugh",R,H2NY23111,N00048553
"Bailey, Jacob",3,H2IN09324,N00051902
"Bailey, Kathleen Cordelia",D,H2TX05238,N00048580
"Bailey, Richard",R,H2CA52154,N00049062
"Bailey, William",R,H2SC07181,N00048032
"Baird, Jim",R,H8IN04199,N00041954
"Baker, Dennis",D,S2OK00269,N00051162
