cadidate name,fec_id,party,state
"FINZER, RYLAN ZACHARY",H4OH06207,DEM,OH
"BENTLEY, THOMAS A",P00002592,REP,TX
"SANDOVAL, ANTHONY JASON",P40014078,PRE,KS
"ABOLFAZLI, MARYAM.",H4TN05145,DEM,TN
"LYNCH, STEPHEN",H2MA09072,DEM,MA
"RUPPERSBERGER, C. A. DUTCH",H2MD02160,DEM,MD
"FOXX, VIRGINIA ANN",H4NC05146,REP,NC
"MCGOWAN, ANGELYNN BROOKE",H4NC10120,REP,NC
"CHERRY, JASON SETH",S4ME00147,IND,ME
"REY, JUAN",H8CA29118,NNE,CA
"TRAN, ASHLEY",H4TX32154,IND,TX
"CHARLES, ROGER W JR",P40016784,IND,MI
"KALE, ANDREA DORIA",H2FL17106,DEM,FL
"SMITH, SEAN",H4MO05366,REP,MO
"DETERS, ERIC",H4KY04119,REP,KY
"GOMES, JOSEPH",H4MD04196,DEM,MD
"HESKETH, MISSI MS.",H4MO07156,DEM,MO
"THOMPSON, BENNIE G.",H4MS02068,DEM,MS
"ROYALS, TOM",H4MD06290,REP,MD
"DELANEY, APRIL MCCLAIN",H4MD06340,DEM,MD
"STEINBERGER, ROBERT J",H4MD03271,REP,MD
"KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTRELVIA",H2CA27230,OTH,CA
"EPPERSON, DALILA",H2CA20136,REP,CA
"MCCONKEY, JOSH",H4NC13066,REP,NC
"AVLON, JOHN",H4NY01204,DEM,NY
"GILBERT, MADISON GESIOTTO",H2OH09163,REP,OH
"BISHOP, JAMES DANIEL",H0NC09187,REP,NC
"SONNENBERG, JERRY",H4CO04223,REP,CO
"CHRISTMAN, JOSEPH WILLIAM",H4OR01154,LIB,OR
"BARVE, GARY",S4VA00320,REP,VA
"ODDO, JOSEPH",H2SC02190,OTH,SC
"ROGERS, TIM",H4WI04274,REP,WI
"WEST, DESTINY DRAKE",H4MD06266,DEM,MD
"BRASCH, MAUREEN THE",P40012965,REP,GA
"TOYOS, ISAAC",H4MD01150,DEM,MD
"IROHA, CELESTE CHIZOBA MISS",H4MD04170,DEM,MD
"BUCHER, GRANT MR.",H4IN03208,REP,IN
"SCOTT, ROBERT C",H6VA01117,DEM,VA
"JOHNSON, BRIAN KEITH",H4GA13042,DEM,GA
"MARKLAND, MONTGOMERY",H4TX12073,GOP,TX
