bioguide_id,first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL,name_slug
A000370,Alma,S.,,Adams,,Representative,house,North Carolina,NC,12,Democratic,House: 2014-Present,https://www.congress.gov/member/alma-adams/A000370,alma-adams
A000055,Robert,B.,,Aderholt,,Representative,house,Alabama,AL,4,Republican,House: 1997-Present,https://www.congress.gov/member/robert-aderholt/A000055,robert-aderholt
A000371,Pete,,,Aguilar,,Representative,house,California,CA,33,Democratic,House: 2015-Present,https://www.congress.gov/member/pete-aguilar/A000371,pete-aguilar
A000379,Mark,,,Alford,,Representative,house,Missouri,MO,4,Republican,House: 2023-Present,https://www.congress.gov/member/mark-alford/A000379,mark-alford
A000372,Rick,W.,,Allen,,Representative,house,Georgia,GA,12,Republican,House: 2015-Present,https://www.congress.gov/member/rick-allen/A000372,rick-allen
A000382,Angela,D.,,Alsobrooks,,Senator,senate,Maryland,MD,,Democratic,Senate: 2025-Present,https://www.congress.gov/member/angela-alsobrooks/A000382,angela-alsobrooks
A000380,Gabe,,,Amo,,Representative,house,Rhode Island,RI,1,Democratic,House: 2023-Present,https://www.congress.gov/member/gabe-amo/A000380,gabe-amo
A000369,Mark,E.,,Amodei,,Representative,house,Nevada,NV,2,Republican,House: 2011-Present,https://www.congress.gov/member/mark-amodei/A000369,mark-amodei
A000381,Yassamin,,,Ansari,,Representative,house,Arizona,AZ,3,Democratic,House: 2025-Present,https://www.congress.gov/member/yassamin-ansari/A000381,yassamin-ansari
A000375,Jodey,C.,,Arrington,,Representative,house,Texas,TX,19,Republican,House: 2017-Present,https://www.congress.gov/member/jodey-arrington/A000375,jodey-arrington
A000148,Jake,,,Auchincloss,,Representative,house,Massachusetts,MA,4,Democratic,House: 2021-Present,https://www.congress.gov/member/jake-auchincloss/A000148,jake-auchincloss
B001291,Brian,,,Babin,,Representative,house,Texas,TX,36,Republican,House: 2015-Present,https://www.congress.gov/member/brian-babin/B001291,brian-babin
B001298,Don,,,Bacon,,Representative,house,Nebraska,NE,2,Republican,House: 2017-Present,https://www.congress.gov/member/don-bacon/B001298,don-bacon
B001307,James,R.,,Baird,,Representative,house,Indiana,IN,4,Republican,House: 2019-Present,https://www.congress.gov/member/james-baird/B001307,james-baird
B001306,Troy,,,Balderson,,Representative,house,Ohio,OH,12,Republican,House: 2018-Present,https://www.congress.gov/member/troy-balderson/B001306,troy-balderson
B001230,Tammy,,,Baldwin,,Senator,senate,Wisconsin,WI,,Democratic,Senate: 2013-Present | House: 1999-2013,https://www.congress.gov/member/tammy-baldwin/B001230,tammy-baldwin
B001318,Becca,,,Balint,,Representative,house,Vermont,VT,At Large,Democratic,House: 2023-Present,https://www.congress.gov/member/becca-balint/B001318,becca-balint
B001299,Jim,,,Banks,,Senator,senate,Indiana,IN,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/jim-banks/B001299,jim-banks
B001282,Andy,,,Barr,,Representative,house,Kentucky,KY,6,Republican,House: 2013-Present,https://www.congress.gov/member/andy-barr/B001282,andy-barr
B001300,Nanette,Diaz,,Barrag�n,,Representative,house,California,CA,44,Democratic,House: 2017-Present,https://www.congress.gov/member/nanette-barragan/B001300,nanette-barragan
B001261,John,,,Barrasso,,Senator,senate,Wyoming,WY,,Republican,Senate: 2007-Present,https://www.congress.gov/member/john-barrasso/B001261,john-barrasso
B001321,Tom,,,Barrett,,Representative,house,Michigan,MI,7,Republican,House: 2025-Present,https://www.congress.gov/member/tom-barrett/B001321,tom-barrett
B001322,Michael,,,Baumgartner,,Representative,house,Washington,WA,5,Republican,House: 2025-Present,https://www.congress.gov/member/michael-baumgartner/B001322,michael-baumgartner
B001314,Aaron,,,Bean,,Representative,house,Florida,FL,4,Republican,House: 2023-Present,https://www.congress.gov/member/aaron-bean/B001314,aaron-bean
B001281,Joyce,,,Beatty,,Representative,house,Ohio,OH,3,Democratic,House: 2013-Present,https://www.congress.gov/member/joyce-beatty/B001281,joyce-beatty
B001323,Nicholas,J.,,Begich,,Representative,house,Alaska,AK,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/nicholas-begich/B001323,nicholas-begich
B001324,Wesley,,,Bell,,Representative,house,Missouri,MO,1,Democratic,House: 2025-Present,https://www.congress.gov/member/wesley-bell/B001324,wesley-bell
B001267,Michael,F.,,Bennet,,Senator,senate,Colorado,CO,,Democratic,Senate: 2009-Present,https://www.congress.gov/member/michael-bennet/B001267,michael-bennet
B000668,Cliff,,,Bentz,,Representative,house,Oregon,OR,2,Republican,House: 2021-Present,https://www.congress.gov/member/cliff-bentz/B000668,cliff-bentz
B001287,Ami,,,Bera,,Representative,house,California,CA,6,Democratic,House: 2013-Present,https://www.congress.gov/member/ami-bera/B001287,ami-bera
B001301,Jack,,,Bergman,,Representative,house,Michigan,MI,1,Republican,House: 2017-Present,https://www.congress.gov/member/jack-bergman/B001301,jack-bergman
B001292,Donald,S.,,Beyer,,Representative,house,Virginia,VA,8,Democratic,House: 2015-Present,https://www.congress.gov/member/donald-beyer/B001292,donald-beyer
