first_name,last_name,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number,election_date
Alma,Adams,,,A000370,1946,,Representative,NC,Democrat,119,
Robert,Aderholt,,,A000055,1965,,Representative,AL,Republican,119,2024-11-05
Peter,Aguilar,Rey,,A000371,1979,,Representative,CA,Democrat,119,
Mark,Alford,,,A000379,1963,,Representative,MO,Republican,119,
Rick,Allen,W.,,A000372,1951,,Representative,GA,Republican,119,
Angela,Alsobrooks,Deneece,,A000382,1971,,Senator,MD,Democrat,119,
Gabe,Amo,,,A000380,1987,,Representative,RI,Democrat,119,
Mark,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119,2024-11-05
Yassamin,Ansari,,,A000381,1992,,Representative,AZ,Democrat,119,
Jodey,Arrington,Cook,,A000375,1972,,Representative,TX,Republican,119,2024-11-05
Jake,Auchincloss,,,A000148,1988,,Representative,MA,Democrat,119,
Brian,Babin,,,B001291,1948,,Representative,TX,Republican,119,2024-11-05
Donald,Bacon,J.,,B001298,1963,,Representative,NE,Republican,119,
James,Baird,,,B001307,1945,,Representative,IN,Republican,119,
Troy,Balderson,,,B001306,1962,,Representative,OH,Republican,119,
Tammy,Baldwin,,,B001230,1962,,Senator,WI,Democrat,119,
Becca,Balint,,,B001318,1968,,Representative,VT,Democrat,119,2024-11-05
James,Banks,E.,,B001299,1979,,Senator,IN,Republican,119,
Garland,Barr,H.,Andy,B001282,1973,,Representative,KY,Republican,119,
Nanette,Barragan,,,B001300,1976,,Representative,CA,Democrat,119,
John,Barrasso,A.,,B001261,1952,,Senator,WY,Republican,119,
Tom,Barrett,,,B001321,1981,,Representative,MI,Republican,119,2024-11-05
Michael,Baumgartner,,,B001322,1975,,Representative,WA,Republican,119,2024-11-05
Aaron,Bean,,,B001314,1967,,Representative,FL,Republican,119,
Joyce,Beatty,,,B001281,1950,,Representative,OH,Democrat,119,
Nicholas,Begich,J.,,B001323,1977,,Representative,AK,Republican,119,
Wesley,Bell,,,B001324,1974,,Representative,MO,Democrat,119,
Michael,Bennet,F.,,B001267,1964,,Senator,CO,Democrat,119,
Cliff,Bentz,,,B000668,1952,,Representative,OR,Republican,119,2024-11-05
