first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,
Andre,Carson,Intelligence,,N00029513,H8IN07184,C001072,,,,,
Andre,Carson,Select Comm on the Strategic Competition US and China,,N00029513,H8IN07184,C001072,,,,,
Andre,Carson,Transportation and Infrastructure,,N00029513,H8IN07184,C001072,,,,,
Aumua,Radewagen,Foreign Affairs,,,,R000600,,,,,
Aumua,Radewagen,Natural Resources,,,,R000600,,,,,
Aumua,Radewagen,Veterans' Affairs,,,,R000600,,,,,
Thom,Tillis,Commission on Security and Cooperation in Europe,,,,T000476,,,,,
Thom,Tillis,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Digital Assets,,,T000476,,,,,
Thom,Tillis,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,,,T000476,,,,,
Thom,Tillis,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,,,T000476,,,,,
Thom,Tillis,Committee on Finance,Subcommittee on Health Care,,,T000476,,,,,
Thom,Tillis,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",,,T000476,,,,,
Thom,Tillis,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,,T000476,,,,,
Thom,Tillis,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",,,T000476,,,,,
Thom,Tillis,Committee on the Judiciary,Subcommittee on Border Security and Immigration,,,T000476,,,,,
Thom,Tillis,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",,,T000476,,,,,
Thom,Tillis,Committee on the Judiciary,Subcommittee on Intellectual Property,,,T000476,,,,,
Thom,Tillis,Committee on Veterans' Affairs,,,,T000476,,,,,
Nanette,Barragan,Energy and Commerce,,N00037019,H6CA44103,B001300,,,,,
Jesus,Garcia,Judiciary,,N00042114,H8IL04134,G000586,,,,,
Jesus,Garcia,Transportation and Infrastructure,,N00042114,H8IL04134,G000586,,,,,
Pablo,Hernandez,Homeland Security,,,,H001103,,,,,
Pablo,Hernandez,Natural Resources,,,,H001103,,,,,
Ben,Lujan,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",,,L000570,,,,,
Ben,Lujan,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",,,L000570,,,,,
