first_name,last_name,committee,subcommittee,cid,fec_id,match_method,match_score,matched_name,status
Alma,Adams,Agriculture,,N00035451,H4NC12100,alias-gated-fuzzy,1.000,Alma Adams,matched
Alma,Adams,Education and Workforce,,N00035451,H4NC12100,alias-gated-fuzzy,1.000,Alma Adams,matched
Robert,Aderholt,Appropriations,,N00003028,H6AL04098,alias-gated-fuzzy,0.966,Robert B Aderholt,matched
Pete,Aguilar,Appropriations,,N00033997,H2CA31125,alias-gated-fuzzy,1.000,Pete Aguilar,matched
Mark,Alford,Appropriations,,N00049617,H2MO04207,alias-gated-fuzzy,1.000,Mark Alford,matched
Mark,Alford,Small Business,,N00049617,H2MO04207,alias-gated-fuzzy,1.000,Mark Alford,matched
Rick,Allen,Education and Workforce,,N00033720,H2GA12121,alias-gated-fuzzy,0.727,Richard W Allen,unsure
Rick,Allen,Energy and Commerce,,N00033720,H2GA12121,alias-gated-fuzzy,0.727,Richard W Allen,unsure
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,,,no-bucket,0.000,,unmatched
Angela,Alsobrooks,Special Committee on Aging,,,,no-bucket,0.000,,unmatched
Gabe,Amo,Budget,,,,no-bucket,0.000,,unmatched
Gabe,Amo,Foreign Affairs,,,,no-bucket,0.000,,unmatched
Gabe,Amo,"Science, Space, and Technology",,,,no-bucket,0.000,,unmatched
Mark,Amodei,Appropriations,,N00031177,H2NV02395,alias-gated-fuzzy,1.000,Mark Amodei,matched
Mark,Amodei,Natural Resources,,N00031177,H2NV02395,alias-gated-fuzzy,1.000,Mark Amodei,matched
Yassamin,Ansari,Education and Workforce,,,,no-bucket,0.000,,unmatched
Yassamin,Ansari,Natural Resources,,,,no-bucket,0.000,,unmatched
Yassamin,Ansari,Oversight and Government Reform,,,,no-bucket,0.000,,unmatched
Jodey,Arrington,Budget,,N00038285,H6TX19099,alias-gated-fuzzy,1.000,Jodey Arrington,matched
Jodey,Arrington,Ways and Means,,N00038285,H6TX19099,alias-gated-fuzzy,1.000,Jodey Arrington,matched
Jake,Auchincloss,Energy and Commerce,,N00045506,H0MA04192,alias-gated-fuzzy,1.000,Jake Auchincloss,matched
Brian,Babin,"Science, Space, and Technology",,N00005736,H6TX02079,alias-gated-fuzzy,1.000,Brian Babin,matched
Brian,Babin,Transportation and Infrastructure,,N00005736,H6TX02079,alias-gated-fuzzy,1.000,Brian Babin,matched
Don,Bacon,Agriculture,,,,first-fuzzy-low,0.462,,unmatched
Don,Bacon,Armed Services,,,,first-fuzzy-low,0.462,,unmatched
James,Baird,Agriculture,,N00041954,H8IN04199,alias-gated-fuzzy,0.778,Jim Baird,unsure
James,Baird,Foreign Affairs,,N00041954,H8IN04199,alias-gated-fuzzy,0.778,Jim Baird,unsure
