first,last,cid,feccandid
Erik,Aadland,N00048815,H2CO07170
Tim,Aalders,N00034296,H2UT03280
Shervin,Aazami,N00047923,H2CA30291
Jill,Abahsain,N00051397,H2MN07162
Martha,Abbott,N00051715,S2VT00359
Rana,Abdelhamid,N00048268,H2NY12197
Shukri,Abdirahman,N00049304,H2MN05174
Munira Yasin,Abdullahi,N00050440,H2OH09197
Steven L.,Abkin,N00051621,H2HI01146
Brian,Abrahamson,N00051632,H2MN01371
Edward,Abud,N00048100,S2FL00482
George,Abuzeid,N00049767,H2SC04154
Julian,Acciard,N00048254,H2NH01254
Jack Joseph,Achenbach,N00048681,H2FL10218
Phelan,Acheson,N00048052,H2UT02431
Brandon,Acker,N00039865,H8NC07093
Michael,Ackerman,N00048242,H2NC05165
Alma,Adams,N00035451,H4NC12100
Jane,Adams,N00050901,H2NV01322
John,Adams,N00032432,H0OH15099
Larry Jr,Adams,N00050031,S2SC00137
Matt,Adams,N00048765,H2TN03235
Michael,Addison,N00048763,H2SC06126
Randall,Addison,N00049341,H2TX09131
Deborah,Adeimy,N00049287,H2FL21132
Robert B,Aderholt,N00003028,H6AL04098
Amanda,Adkins,N00045245,H0KS03236
Gary,Adkins,N00044992,H2VA07212
Joseph,Afzal,N00050677,H2NV02536
Jeffrey Jr,Agan,N00048271,H2OH05054
Komi,Agoda-Koussema,N00049709,H2NY11165
Dennis,Aguayo,N00051326,H2AK00374
Erick,Aguilar,N00045227,H0FL04140
Pete,Aguilar,N00033997,H2CA31125
Juan Enrique,Aguirre,N00050357,H2IL03188
Junaid,Ahmed,N00048212,H2IL08146
Mohammad,Ahmed,N00050017,S2NY00481
Richard,Ahrens,N00049635,H2NC02279
Clay,Aiken,N00035909,H2NC06148
William,Aiken,N00050881,H2NC01255
Brian,Ainsworth,N00048095,S2CA00963
Joe,Akana,N00046766,H0HI02213
Nader,Akhlaghy,N00048737,H2NY05118
Sami,Al-Abdrabbuh,N00050169,H2OR04152
MD,Alam,N00037402,S2MO00635
Manuel,Alcantara,N00050591,H2FL11166
Tom,Alciere,N00008598,H6NH02089
Peter,Alcorn,N00049271,H2AL01200
Sergio,Alcubilla,N00051047,H2HI01112
Anthony Leon,Alexander,N00051098,H2OH07258
Arsenio,Alexander,N00049361,H8VA01311
Douglas,Alexander,N00051936,H2WI02199
Martin,Alexander,N00049152,H2OH11300
Sam,Alexander,N00049121,H2MO07127
Tim,Alexander,N00047996,H2NJ02193
Vivika,Alexander,N00050540,S2NY00515
Joseph,Alfonso,N00049595,H2MI04260
Mark,Alford,N00049617,H2MO04207
Nida,Allam,N00049650,H2NC06098
Tyler,Allcorn,N00049489,H2CO08103
Bill,Allen,N00050370,H2IN07195
Brad,Allen,N00035819,H4CA24175
Brian,Allen,N00047877,H2PA10108
Corey,Allen,N00048214,H2IL17105
Graham,Allen,N00048575,H2SC07256
Natalia Isabel,Allen,N00048688,H2FL20258
Richard W,Allen,N00033720,H2GA12121
Robert,Allen,N00051702,S2MO00775
Thomas Jason,Allen,N00049161,H2SC01093
Tammy,Allison,N00048297,H2MD04364
Colin,Allred,N00040989,H8TX32098
Val,Almonord,N00046652,H0GA03074
Melinda,Almonte,N00050091,H2FL23120
Teresa,Alonso Leon,N00050172,H2OR06108
James Dean,Alspach,N00042842,H8IN09131
Tommy,Altman,N00048788,H2VA02072
Eliza,Alvarado,N00049798,H2TX15146
Andrew,Alvarez,N00046982,H2TX22134
Antonio,Alvarez,N00052079,S2IN00364
Simon Mark,Alvarez,N00040663,H8CA34340
Andrew,Alvey,N00048694,H2GA10174
Bruno,Amato,N00048460,H2CA23148
David,Ambrose,N00051873,H2AK00556
Mark,Ambrose,N00051062,H2MI11265
Nicolee,Ambrose,N00050855,H2MD02368
Alexander,Amicucci,N00051924,H2OH03208
Mark,Amodei,N00031177,H2NV02395
Thor,Amundson,N00007929,S8WA00137
Joel,Anabilah-Azumah,N00047855,S2NY00341
Manga,Anantatmula,N00046698,H0VA11127
Bob,Anders,N00047987,H2MO02169
Carl,Andersen,N00050077,H2CO07196
Alton,Anderson,N00050545,S2UT00393
Avery,Anderson,N00050788,H2AZ06312
David,Anderson,N00051122,H2WA09172
David Jr,Anderson,N00048050,H2TX35102
Derrick,Anderson,N00049349,H2VA07170
Dwight,Anderson,N00049286,H2FL20316
Jessica,Anderson,N00049877,H2VA01108
John,Anderson,N00052072,S2CT00355
John,Anderson,N00032090,H0OH07104
