first_name,last_name,committee,subcommittee
Alma,Adams,Agriculture,
Alma,Adams,Education and Workforce,
Robert,Aderholt,Appropriations,
Pete,Aguilar,Appropriations,
Mark,Alford,Appropriations,
Mark,Alford,Small Business,
Rick,Allen,Education and Workforce,
Rick,Allen,Energy and Commerce,
Gabe,Amo,Budget,
Gabe,Amo,Foreign Affairs,
Gabe,Amo,"Science, Space, and Technology",
Mark,Amodei,Appropriations,
Mark,Amodei,Natural Resources,
Yassamin,Ansari,Education and Workforce,
Yassamin,Ansari,Natural Resources,
Yassamin,Ansari,Oversight and Government Reform,
Jodey,Arrington,Budget,
Jodey,Arrington,Ways and Means,
Jake,Auchincloss,Energy and Commerce,
Brian,Babin,"Science, Space, and Technology",
Brian,Babin,Transportation and Infrastructure,
Don,Bacon,Agriculture,
Don,Bacon,Armed Services,
James,Baird,Agriculture,
James,Baird,Foreign Affairs,
James,Baird,"Science, Space, and Technology",
Troy,Balderson,Energy and Commerce,
Becca,Balint,Budget,
Becca,Balint,Judiciary,
Andy,Barr,Financial Services,
Andy,Barr,Foreign Affairs,
Andy,Barr,Select Comm on the Strategic Competition US and China,
Nanette,Barragan,Energy and Commerce,
Tom,Barrett,Transportation and Infrastructure,
Tom,Barrett,Veterans' Affairs,
Michael,Baumgartner,Education and Workforce,
Michael,Baumgartner,Foreign Affairs,
Michael,Baumgartner,Judiciary,
Aaron,Bean,Ways and Means,
Joyce,Beatty,Financial Services,
Nicholas,Begich,Natural Resources,
Nicholas,Begich,"Science, Space, and Technology",
Nicholas,Begich,Transportation and Infrastructure,
Wesley,Bell,Armed Services,
Wesley,Bell,Oversight and Government Reform,
Cliff,Bentz,Energy and Commerce,
Cliff,Bentz,Natural Resources,
Ami,Bera,Foreign Affairs,
Ami,Bera,Intelligence,
Jack,Bergman,Armed Services,
Jack,Bergman,Budget,
Jack,Bergman,Veterans' Affairs,
Donald,Beyer,Ways and Means,
Stephanie,Bice,Appropriations,
Stephanie,Bice,House Administration,
Sheri,Biggs,Foreign Affairs,
Sheri,Biggs,Homeland Security,
Andy,Biggs,Judiciary,
Andy,Biggs,Oversight and Government Reform,
Sheri,Biggs,"Science, Space, and Technology",
Gus,Bilirakis,Energy and Commerce,
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,
Sanford,Bishop,Appropriations,
Lauren,Boebert,Natural Resources,
Lauren,Boebert,Oversight and Government Reform,
Suzanne,Bonamici,Education and Workforce,
Suzanne,Bonamici,"Science, Space, and Technology",
Mike,Bost,Agriculture,
Mike,Bost,Transportation and Infrastructure,
Mike,Bost,Veterans' Affairs,
Brendan,Boyle,Budget,
Brendan,Boyle,Ways and Means,
Josh,Brecheen,Budget,
Josh,Brecheen,Homeland Security,
Robert,Bresnahan,Agriculture,
Robert,Bresnahan,Small Business,
Robert,Bresnahan,Transportation and Infrastructure,
Shontel,Brown,Agriculture,
Shontel,Brown,Oversight and Government Reform,
Shontel,Brown,Select Comm on the Strategic Competition US and China,
Julia,Brownley,Natural Resources,
Julia,Brownley,Transportation and Infrastructure,
Julia,Brownley,Veterans' Affairs,
Vern,Buchanan,Joint Committee on Taxation,
Vern,Buchanan,Ways and Means,
Nikki,Budzinski,Agriculture,
Nikki,Budzinski,Veterans' Affairs,
Tim,Burchett,Foreign Affairs,
Tim,Burchett,Oversight and Government Reform,
Tim,Burchett,Transportation and Infrastructure,
Eric,Burlison,Oversight and Government Reform,
Eric,Burlison,Transportation and Infrastructure,
Janelle,Bynum,Financial Services,
Ken,Calvert,Appropriations,
Kat,Cammack,Agriculture,
Kat,Cammack,Energy and Commerce,
Salud,Carbajal,Agriculture,
Salud,Carbajal,Armed Services,
Salud,Carbajal,Transportation and Infrastructure,
Mike,Carey,Budget,
Mike,Carey,House Administration,
Mike,Carey,Joint Committee of Congress on the Library,
Mike,Carey,Ways and Means,
Andre,Carson,Intelligence,
Andre,Carson,Select Comm on the Strategic Competition US and China,
