first_name,last_name,state,district,party,committee
Mike,Collins,,10th,R,Natural Resources
Mike,Collins,,10th,R,"Science, Space, and Technology"
Mike,Collins,,10th,R,Transportation and Infrastructure
Mark,DeSaulnier,,10th,D,Education and Workforce
Mark,DeSaulnier,,10th,D,Ethics
Mark,DeSaulnier,,10th,D,Transportation and Infrastructure
Maxwell,Frost,,10th,D,Oversight and Government Reform
Maxwell,Frost,,10th,D,"Science, Space, and Technology"
Maxwell,Frost,,10th,D,Transportation and Infrastructure
Daniel,Goldman,,10th,D,Homeland Security
Daniel,Goldman,,10th,D,Judiciary
Pat,Harrigan,,10th,R,Armed Services
Pat,Harrigan,,10th,R,"Science, Space, and Technology"
John,James,,10th,R,Energy and Commerce
Michael,McCaul,,10th,R,Foreign Affairs
Michael,McCaul,,10th,R,Homeland Security
LaMonica,McIver,,10th,D,Homeland Security
LaMonica,McIver,,10th,D,Small Business
Scott,Perry,,10th,R,Foreign Affairs
Scott,Perry,,10th,R,Intelligence
Scott,Perry,,10th,R,Oversight and Government Reform
Scott,Perry,,10th,R,Transportation and Infrastructure
Bradley,Schneider,,10th,D,Foreign Affairs
Bradley,Schneider,,10th,D,Ways and Means
Marilyn,Strickland,,10th,D,Armed Services
Marilyn,Strickland,,10th,D,Transportation and Infrastructure
Suhas,Subramanyam,,10th,D,Ethics
Suhas,Subramanyam,,10th,D,Oversight and Government Reform
Suhas,Subramanyam,,10th,D,"Science, Space, and Technology"
Michael,Turner,,10th,R,Armed Services
Michael,Turner,,10th,R,Oversight and Government Reform
Shontel,Brown,,11th,D,Agriculture
Shontel,Brown,,11th,D,Oversight and Government Reform
Shontel,Brown,,11th,D,Select Comm on the Strategic Competition US and China
Chuck,Edwards,,11th,R,Appropriations
Chuck,Edwards,,11th,R,Budget
Bill,Foster,,11th,D,Financial Services
Bill,Foster,,11th,D,"Science, Space, and Technology"
Barry,Loudermilk,,11th,R,Financial Services
Barry,Loudermilk,,11th,R,House Administration
Barry,Loudermilk,,11th,R,"Select Subcomm to Investigate Questions about Jan 6, 2021"
Nicole,Malliotakis,,11th,R,Ways and Means
Nancy,Pelosi,,11th,D,
August,Pfluger,,11th,R,Energy and Commerce
August,Pfluger,,11th,R,Homeland Security
Mikie,Sherrill,,11th,D,Armed Services
Mikie,Sherrill,,11th,D,Select Comm on the Strategic Competition US and China
Lloyd,Smucker,,11th,R,Budget
Lloyd,Smucker,,11th,R,Ways and Means
Haley,Stevens,,11th,D,Education and Workforce
Haley,Stevens,,11th,D,"Science, Space, and Technology"
Haley,Stevens,,11th,D,Select Comm on the Strategic Competition US and China
James,Walkinshaw,,11th,D,Oversight and Government Reform
Daniel,Webster,,11th,R,Natural Resources
Daniel,Webster,,11th,R,"Science, Space, and Technology"
Daniel,Webster,,11th,R,Transportation and Infrastructure
Alma,Adams,,12th,D,Agriculture
Alma,Adams,,12th,D,Education and Workforce
Rick,Allen,,12th,R,Education and Workforce
Rick,Allen,,12th,R,Energy and Commerce
Troy,Balderson,,12th,R,Energy and Commerce
Gus,Bilirakis,,12th,R,Energy and Commerce
Gus,Bilirakis,,12th,R,Select Comm on the Strategic Competition US and China
Mike,Bost,,12th,R,Agriculture
Mike,Bost,,12th,R,Transportation and Infrastructure
Mike,Bost,,12th,R,Veterans' Affairs
Craig,Goldman,,12th,R,Energy and Commerce
Summer,Lee,,12th,D,Education and Workforce
Summer,Lee,,12th,D,Oversight and Government Reform
Jerrold,Nadler,,12th,D,Judiciary
Jerrold,Nadler,,12th,D,Transportation and Infrastructure
Lateefah,Simon,,12th,D,Oversight and Government Reform
Lateefah,Simon,,12th,D,Small Business
Rashida,Tlaib,,12th,D,Financial Services
Rashida,Tlaib,,12th,D,Oversight and Government Reform
Bonnie,Watson Coleman,,12th,D,Appropriations
Bonnie,Watson Coleman,,12th,D,Budget
Nikki,Budzinski,,13th,D,Agriculture
Nikki,Budzinski,,13th,D,Veterans' Affairs
Adriano,Espaillat,,13th,D,Appropriations
Adam,Gray,,13th,D,Agriculture
Adam,Gray,,13th,D,Natural Resources
Ronny,Jackson,,13th,R,Agriculture
Ronny,Jackson,,13th,R,Armed Services
Ronny,Jackson,,13th,R,Foreign Affairs
Ronny,Jackson,,13th,R,Intelligence
John,Joyce,,13th,R,Energy and Commerce
Brad,Knott,,13th,R,Homeland Security
Brad,Knott,,13th,R,Judiciary
Brad,Knott,,13th,R,Transportation and Infrastructure
Anna Paulina,Luna,,13th,R,Foreign Affairs
Anna Paulina,Luna,,13th,R,Oversight and Government Reform
David,Scott,,13th,D,Agriculture
David,Scott,,13th,D,Financial Services
Emilia,Sykes,,13th,D,"Science, Space, and Technology"
Emilia,Sykes,,13th,D,Transportation and Infrastructure
Shri,Thanedar,,13th,D,Agriculture
Shri,Thanedar,,13th,D,Homeland Security
Kathy,Castor,,14th,D,Energy and Commerce
Kathy,Castor,,14th,D,Select Comm on the Strategic Competition US and China
Marjorie,Greene,,14th,R,Homeland Security
