first_name,first_name1,last_name,last_name1,bioguide_id1,position1,state1
Alma S.,Alma,Adams,Adams,A000370,Representative,NC
Alma S.,Alma,Adams,Adams,A000370,Representative,NC
Alma S.,Alma,Adams,Adams,A000370,Representative,NC
Alma S.,Alma,Adams,Adams,A000370,Representative,NC
Alma S.,Alma,Adams,Adams,A000370,Representative,NC
Robert B.,Robert,Aderholt,Aderholt,A000055,Representative,AL
Robert B.,Robert,Aderholt,Aderholt,A000055,Representative,AL
Robert B.,Robert,Aderholt,Aderholt,A000055,Representative,AL
Robert B.,Robert,Aderholt,Aderholt,A000055,Representative,AL
Robert B.,Robert,Aderholt,Aderholt,A000055,Representative,AL
Pete,Peter,Aguilar,Aguilar,A000371,Representative,CA
Pete,Peter,Aguilar,Aguilar,A000371,Representative,CA
Pete,Peter,Aguilar,Aguilar,A000371,Representative,CA
Pete,Peter,Aguilar,Aguilar,A000371,Representative,CA
Pete,Peter,Aguilar,Aguilar,A000371,Representative,CA
Mark,Mark,Alford,Alford,A000379,Representative,MO
Mark,Mark,Alford,Alford,A000379,Representative,MO
Mark,Mark,Alford,Alford,A000379,Representative,MO
Mark,Mark,Alford,Alford,A000379,Representative,MO
Mark,Mark,Alford,Alford,A000379,Representative,MO
Rick W.,Rick,Allen,Allen,A000372,Representative,GA
Rick W.,Rick,Allen,Allen,A000372,Representative,GA
Rick W.,Rick,Allen,Allen,A000372,Representative,GA
Rick W.,Rick,Allen,Allen,A000372,Representative,GA
Rick W.,Rick,Allen,Allen,A000372,Representative,GA
Angela D.,Angela,Alsobrooks,Alsobrooks,A000382,Senator,MD
Angela D.,Angela,Alsobrooks,Alsobrooks,A000382,Senator,MD
Angela D.,Angela,Alsobrooks,Alsobrooks,A000382,Senator,MD
Angela D.,Angela,Alsobrooks,Alsobrooks,A000382,Senator,MD
Angela D.,Angela,Alsobrooks,Alsobrooks,A000382,Senator,MD
Gabe,Gabe,Amo,Amo,A000380,Representative,RI
Gabe,Gabe,Amo,Amo,A000380,Representative,RI
Gabe,Gabe,Amo,Amo,A000380,Representative,RI
Gabe,Gabe,Amo,Amo,A000380,Representative,RI
Gabe,Gabe,Amo,Amo,A000380,Representative,RI
Mark E.,Mark,Amodei,Amodei,A000369,Representative,NV
Mark E.,Mark,Amodei,Amodei,A000369,Representative,NV
Mark E.,Mark,Amodei,Amodei,A000369,Representative,NV
Mark E.,Mark,Amodei,Amodei,A000369,Representative,NV
Mark E.,Mark,Amodei,Amodei,A000369,Representative,NV
Yassamin,Yassamin,Ansari,Ansari,A000381,Representative,AZ
Yassamin,Yassamin,Ansari,Ansari,A000381,Representative,AZ
Yassamin,Yassamin,Ansari,Ansari,A000381,Representative,AZ
Yassamin,Yassamin,Ansari,Ansari,A000381,Representative,AZ
Yassamin,Yassamin,Ansari,Ansari,A000381,Representative,AZ
Jodey C.,Jodey,Arrington,Arrington,A000375,Representative,TX
Jodey C.,Jodey,Arrington,Arrington,A000375,Representative,TX
Jodey C.,Jodey,Arrington,Arrington,A000375,Representative,TX
Jodey C.,Jodey,Arrington,Arrington,A000375,Representative,TX
Jodey C.,Jodey,Arrington,Arrington,A000375,Representative,TX
Jake,Jake,Auchincloss,Auchincloss,A000148,Representative,MA
Jake,Jake,Auchincloss,Auchincloss,A000148,Representative,MA
Jake,Jake,Auchincloss,Auchincloss,A000148,Representative,MA
Jake,Jake,Auchincloss,Auchincloss,A000148,Representative,MA
Jake,Jake,Auchincloss,Auchincloss,A000148,Representative,MA
Brian,Brian,Babin,Babin,B001291,Representative,TX
Brian,Brian,Babin,Babin,B001291,Representative,TX
Brian,Brian,Babin,Babin,B001291,Representative,TX
Brian,Brian,Babin,Babin,B001291,Representative,TX
Brian,Brian,Babin,Babin,B001291,Representative,TX
Don,,Bacon,,,,
Don,,Bacon,,,,
Don,,Bacon,,,,
Don,,Bacon,,,,
Don,,Bacon,,,,
James R.,James,Baird,Baird,B001307,Representative,IN
James R.,James,Baird,Baird,B001307,Representative,IN
James R.,James,Baird,Baird,B001307,Representative,IN
James R.,James,Baird,Baird,B001307,Representative,IN
James R.,James,Baird,Baird,B001307,Representative,IN
Troy,Troy,Balderson,Balderson,B001306,Representative,OH
Troy,Troy,Balderson,Balderson,B001306,Representative,OH
Troy,Troy,Balderson,Balderson,B001306,Representative,OH
Troy,Troy,Balderson,Balderson,B001306,Representative,OH
Troy,Troy,Balderson,Balderson,B001306,Representative,OH
Tammy,Tammy,Baldwin,Baldwin,B001230,Senator,WI
Tammy,Tammy,Baldwin,Baldwin,B001230,Senator,WI
Tammy,Tammy,Baldwin,Baldwin,B001230,Senator,WI
Tammy,Tammy,Baldwin,Baldwin,B001230,Senator,WI
Tammy,Tammy,Baldwin,Baldwin,B001230,Senator,WI
Becca,Becca,Balint,Balint,B001318,Representative,VT
