filename,first_name,first_name1,last_name,last_name1,middle_name,nick_name,bioguide_id,cid,fecid,state,position,party,chamber,congress_number,assumed_office,tenure_months,tenure_years,tenure_pretty,birth_year,death_year,date_of_birth,age
AAdams.jpg,Alma,Alma,Adams,Adams,S.,,A000370,,,NC,Representative,Democrat,House,119,11/12/14,130,10.83,"10 years, 10 months",1946,,5/27/46,79
AAdams1.jpg,Alma,Alma,Adams,Adams,S.,,A000370,,,NC,Representative,Democrat,House,119,11/12/14,130,10.83,"10 years, 10 months",1946,,5/27/46,79
AAdams2.jpg,Alma,Alma,Adams,Adams,S.,,A000370,,,NC,Representative,Democrat,House,119,11/12/14,130,10.83,"10 years, 10 months",1946,,5/27/46,79
AAdams3.jpg,Alma,Alma,Adams,Adams,S.,,A000370,,,NC,Representative,Democrat,House,119,11/12/14,130,10.83,"10 years, 10 months",1946,,5/27/46,79
AAdams4.jpg,Alma,Alma,Adams,Adams,S.,,A000370,,,NC,Representative,Democrat,House,119,11/12/14,130,10.83,"10 years, 10 months",1946,,5/27/46,79
RAderholt.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,,,AL,Representative,Republican,House,119,1/3/97,344,28.67,"28 years, 8 months",1965,,7/22/65,60
RAderholt1.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,,,AL,Representative,Republican,House,119,1/3/97,344,28.67,"28 years, 8 months",1965,,7/22/65,60
RAderholt2.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,,,AL,Representative,Republican,House,119,1/3/97,344,28.67,"28 years, 8 months",1965,,7/22/65,60
RAderholt3.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,,,AL,Representative,Republican,House,119,1/3/97,344,28.67,"28 years, 8 months",1965,,7/22/65,60
RAderholt4.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,,,AL,Representative,Republican,House,119,1/3/97,344,28.67,"28 years, 8 months",1965,,7/22/65,60
PAguilar.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,,,CA,Representative,Democrat,House,119,1/3/15,128,10.67,"10 years, 8 months",1979,,6/19/79,46
PAguilar1.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,,,CA,Representative,Democrat,House,119,1/3/15,128,10.67,"10 years, 8 months",1979,,6/19/79,46
PAguilar2.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,,,CA,Representative,Democrat,House,119,1/3/15,128,10.67,"10 years, 8 months",1979,,6/19/79,46
PAguilar3.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,,,CA,Representative,Democrat,House,119,1/3/15,128,10.67,"10 years, 8 months",1979,,6/19/79,46
PAguilar4.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,,,CA,Representative,Democrat,House,119,1/3/15,128,10.67,"10 years, 8 months",1979,,6/19/79,46
MAlford.jpg,Mark,Mark,Alford,Alford,,,A000379,,,MO,Representative,Republican,House,119,1/3/23,32,2.67,"2 years, 8 months",1963,,10/4/63,61
MAlford1.jpg,Mark,Mark,Alford,Alford,,,A000379,,,MO,Representative,Republican,House,119,1/3/23,32,2.67,"2 years, 8 months",1963,,10/4/63,61
MAlford2.jpg,Mark,Mark,Alford,Alford,,,A000379,,,MO,Representative,Republican,House,119,1/3/23,32,2.67,"2 years, 8 months",1963,,10/4/63,61
