first_name,middle_name,nick_name,last_name,suffix,title,chamber,residence,state,state_abbr,district,note,raw_name
Tommy,,,Tuberville,,Senator,SENATE,,Alabama,AL,,,Tommy Tuberville
Katie,,,Britt,,Senator,SENATE,,Alabama,AL,,,Katie Britt
Lisa,,,Murkowski,,Senator,SENATE,,Alaska,AK,,,Lisa Murkowski
Dan,,,Sullivan,,Senator,SENATE,,Alaska,AK,,,Dan Sullivan
Mark,,,Kelly,,Senator,SENATE,,Arizona,AZ,,,Mark Kelly
Ruben,,,Gallego,,Senator,SENATE,,Arizona,AZ,,,Ruben Gallego
John,,,Boozman,,Senator,SENATE,,Arkansas,AR,,,John Boozman
Tom,,,Cotton,,Senator,SENATE,,Arkansas,AR,,,Tom Cotton
Alex,,,Padilla,,Senator,SENATE,,California,CA,,,Alex Padilla
Adam,B.,,Schiff,,Senator,SENATE,,California,CA,,,Adam B. Schiff
Michael,F.,,Bennet,,Senator,SENATE,,Colorado,CO,,,Michael F. Bennet
John,W.,,Hickenlooper,,Senator,SENATE,,Colorado,CO,,,John W. Hickenlooper
Richard,,,Blumenthal,,Senator,SENATE,,Connecticut,CT,,,Richard Blumenthal
Christopher,,,Murphy,,Senator,SENATE,,Connecticut,CT,,,Christopher Murphy
Christopher,A.,,Coons,,Senator,SENATE,,Delaware,DE,,,Christopher A. Coons
Lisa,Blunt,,Rochester,,Senator,SENATE,,Delaware,DE,,,Lisa Blunt Rochester
Rick,,,Scott,,Senator,SENATE,,Florida,FL,,,Rick Scott
Ashley,,,Moody,,Senator,SENATE,,Florida,FL,,,Ashley Moody
Jon,,,Ossoff,,Senator,SENATE,,Georgia,GA,,,Jon Ossoff
Raphael,G.,,Warnock,,Senator,SENATE,,Georgia,GA,,,Raphael G. Warnock
Brian,,,Schatz,,Senator,SENATE,,Hawaii,HI,,,Brian Schatz
Mazie,K.,,Hirono,,Senator,SENATE,,Hawaii,HI,,,Mazie K. Hirono
Mike,,,Crapo,,Senator,SENATE,,Idaho,ID,,,Mike Crapo
James,E.,,Risch,,Senator,SENATE,,Idaho,ID,,,James E. Risch
Richard,J.,,Durbin,,Senator,SENATE,,Illinois,IL,,,Richard J. Durbin
Tammy,,,Duckworth,,Senator,SENATE,,Illinois,IL,,,Tammy Duckworth
Todd,,,Young,,Senator,SENATE,,Indiana,IN,,,Todd Young
Jim,,,Banks,,Senator,SENATE,,Indiana,IN,,,Jim Banks
Chuck,,,Grassley,,Senator,SENATE,,Iowa,IA,,,Chuck Grassley
Joni,,,Ernst,,Senator,SENATE,,Iowa,IA,,,Joni Ernst
Jerry,,,Moran,,Senator,SENATE,,Kansas,KS,,,Jerry Moran
