first_name,last_name,full_name,date_of_birth,age
Barry,Moore,Barry Moore,1966-09-26,59
Shomari,Figures,Shomari Figures,1985-09-03,40
Mike,Rogers,Mike Rogers,1958-07-16,67
Robert,Aderholt,Robert Aderholt,1965-07-22,60
Dale,Strong,Dale Strong,1970-05-08,55
Gary,Palmer,Gary Palmer,1954-05-14,71
Terri,Sewell,Terri Sewell,1965-01-01,60
Nick Begich,III,Nick Begich III,1977-10-27,47
David,Schweikert,David Schweikert,1962-03-03,63
Eli,Crane,Eli Crane,1980-01-03,45
Yassamin,Ansari,Yassamin Ansari,1992-04-07,33
Greg,Stanton,Greg Stanton,1970-03-08,55
Andy,Biggs,Andy Biggs,1958-11-07,66
Juan,Ciscomani,Juan Ciscomani,1982-08-31,43
Abraham,Hamadeh,Abraham Hamadeh,1991-05-15,34
Paul,Gosar,Paul Gosar,1958-11-27,66
Rick,Crawford,Rick Crawford,1966-01-22,59
French,Hill,French Hill,1956-12-05,68
Steve,Womack,Steve Womack,1957-02-18,68
Bruce,Westerman,Bruce Westerman,1967-11-18,57
Doug,LaMalfa,Doug LaMalfa,1960-07-02,65
Jared,Huffman,Jared Huffman,1964-02-18,61
Kevin,Kiley,Kevin Kiley,1985-01-30,40
Mike,Thompson,Mike Thompson,1951-01-24,74
Tom,McClintock,Tom McClintock,1956-07-10,69
Ami,Bera,Ami Bera,1965-03-02,60
Doris,Matsui,Doris Matsui,1944-09-25,81
John,Garamendi,John Garamendi,1945-01-24,80
Josh,Harder,Josh Harder,1986-08-01,39
Mark,DeSaulnier,Mark DeSaulnier,1952-03-31,73
Nancy,Pelosi,Nancy Pelosi,1940-03-26,85
Lateefah,Simon,Lateefah Simon,1977-01-29,48
Adam,Gray,Adam Gray,1977-09-23,48
Eric,Swalwell,Eric Swalwell,1980-11-16,44
Kevin,Mullin,Kevin Mullin,1970-06-15,55
Sam,Liccardo,Sam Liccardo,1970-04-16,55
Ro,Khanna,Ro Khanna,1976-09-13,49
Zoe,Lofgren,Zoe Lofgren,1947-12-21,77
Jimmy,Panetta,Jimmy Panetta,1969-10-01,55
Vince,Fong,Vince Fong,1979-10-24,45
Jim,Costa,Jim Costa,1952-04-13,73
David,Valadao,David Valadao,1977-04-14,48
Jay,Obernolte,Jay Obernolte,1970-08-18,55
Salud,Carbajal,Salud Carbajal,1964-11-18,60
Raul,Ruiz,Raul Ruiz,1972-08-25,53
Julia,Brownley,Julia Brownley,1952-08-28,73
George,Whitesides,George Whitesides,1974-03-03,51
Judy,Chu,Judy Chu,1953-07-07,72
Luz,Rivas,Luz Rivas,1974-02-06,51
Laura,Friedman,Laura Friedman,1966-12-03,58
Gil,Cisneros,Gil Cisneros,1971-02-12,54
Brad,Sherman,Brad Sherman,1954-10-24,70
Pete,Aguilar,Pete Aguilar,1979-06-19,46
Jimmy,Gomez,Jimmy Gomez,1974-11-25,50
Norma,Torres,Norma Torres,1965-04-04,60
Ted,Lieu,Ted Lieu,1969-03-29,56
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,1972-07-20,53
Linda,Sánchez,Linda Sánchez,1969-01-28,56
Mark,Takano,Mark Takano,1960-12-10,64
Young,Kim,Young Kim,1962-10-18,62
Ken,Calvert,Ken Calvert,1953-06-08,72
Robert,Garcia,Robert Garcia,1977-12-02,47
Maxine,Waters,Maxine Waters,1938-08-15,87
Nanette,Barragán,Nanette Barragán,1976-09-15,49
Derek,Tran,Derek Tran,1980-12-22,44
Lou,Correa,Lou Correa,1958-01-24,67
Dave,Min,Dave Min,1976-03-05,49
Darrell,Issa,Darrell Issa,1953-11-01,71
Mike,Levin,Mike Levin,1978-10-20,46
Scott,Peters,Scott Peters,1958-06-17,67
Sara,Jacobs,Sara Jacobs,1989-02-01,36
Juan,Vargas,Juan Vargas,1961-03-07,64
