first_name,last_name,committee,subcommittee
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Angela,Alsobrooks,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
Angela,Alsobrooks,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Angela,Alsobrooks,Special Committee on Aging,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Department of Defense
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy and Water Development
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Jim,Banks,Committee on Veterans' Affairs,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on Energy
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on National Parks
John,Barrasso,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
John,Barrasso,Committee on Finance,Subcommittee on Health Care
John,Barrasso,Committee on Finance,Subcommittee on Taxation and IRS Oversight
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation
