first_name,middle_name,nick_name,last_name,suffix,title,chamber,residence,state,state_abbr,district,note,raw_name
Barry,,,Moore,,Representative,HOUSE,Enterprise,Alabama,AL,1,,Barry Moore
Shomari,,,Figures,,Representative,HOUSE,Mobile,Alabama,AL,2,,Shomari Figures
Mike,,,Rogers,,Representative,HOUSE,Weaver,Alabama,AL,3,,Mike Rogers
Robert,B.,,Aderholt,,Representative,HOUSE,Haleyville,Alabama,AL,4,,Robert B. Aderholt
Dale,W.,,Strong,,Representative,HOUSE,Huntsville,Alabama,AL,5,,Dale W. Strong
Gary,J.,,Palmer,,Representative,HOUSE,Hoover,Alabama,AL,6,,Gary J. Palmer
Terri,A.,,Sewell,,Representative,HOUSE,Birmingham,Alabama,AL,7,,Terri A. Sewell
Nicholas,J.,,Begich,III,Representative,HOUSE,Chugiak,Alaska,AK,AL,,Nicholas J. Begich III
David,,,Schweikert,,Representative,HOUSE,Fountain Hills,Arizona,AZ,1,,David Schweikert
Elijah,,,Crane,,Representative,HOUSE,Oro Valley,Arizona,AZ,2,,Elijah Crane
Yassamin,,,Ansari,,Representative,HOUSE,Phoenix,Arizona,AZ,3,,Yassamin Ansari
Greg,,,Stanton,,Representative,HOUSE,Phoenix,Arizona,AZ,4,,Greg Stanton
Andy,,,Biggs,,Representative,HOUSE,Gilbert,Arizona,AZ,5,,Andy Biggs
Juan,,,Ciscomani,,Representative,HOUSE,Tucson,Arizona,AZ,6,,Juan Ciscomani
Raúl,M.,,Grijalva,,Representative,HOUSE,,Arizona,AZ,7,"Deceased March 13, 2025",Raúl M. Grijalva
Abraham,J.,,Hamadeh,,Representative,HOUSE,Phoenix,Arizona,AZ,8,,Abraham J. Hamadeh
Paul,A.,,Gosar,,Representative,HOUSE,Bullhead City,Arizona,AZ,9,,Paul A. Gosar
Eric,A.,Rick,Crawford,,Representative,HOUSE,Jonesboro,Arkansas,AR,1,,Eric A. “Rick” Crawford
French,,J. French,Hill,,Representative,HOUSE,Little Rock,Arkansas,AR,2,,J. French Hill
Steve,,,Womack,,Representative,HOUSE,Rogers,Arkansas,AR,3,,Steve Womack
Bruce,,,Westerman,,Representative,HOUSE,Hot Springs,Arkansas,AR,4,,Bruce Westerman
Doug,,,LaMalfa,,Representative,HOUSE,Oroville,California,CA,1,,Doug LaMalfa
Jared,,,Huffman,,Representative,HOUSE,San Rafael,California,CA,2,,Jared Huffman
Kevin,,,Kiley,,Representative,HOUSE,Rocklin,California,CA,3,,Kevin Kiley
Mike,,,Thompson,,Representative,HOUSE,St. Helena,California,CA,4,,Mike Thompson
Tom,,,McClintock,,Representative,HOUSE,Elk Grove,California,CA,5,,Tom McClintock
Ami,,,Bera,,Representative,HOUSE,Elk Grove,California,CA,6,,Ami Bera
Doris,O.,,Matsui,,Representative,HOUSE,Sacramento,California,CA,7,,Doris O. Matsui
John,,,Garamendi,,Representative,HOUSE,Walnut Grove,California,CA,8,,John Garamendi
Josh,,,Harder,,Representative,HOUSE,Tracy,California,CA,9,,Josh Harder
Mark,,,DeSaulnier,,Representative,HOUSE,Concord,California,CA,10,,Mark DeSaulnier
Nancy,,,Pelosi,,Representative,HOUSE,San Francisco,California,CA,11,,Nancy Pelosi
Lateefah,,,Simon,,Representative,HOUSE,Oakland,California,CA,12,,Lateefah Simon
Adam,,,Gray,,Representative,HOUSE,Merced,California,CA,13,,Adam Gray
Eric,,,Swalwell,,Representative,HOUSE,Livermore,California,CA,14,,Eric Swalwell
Kevin,,,Mullin,,Representative,HOUSE,South San Francisco,California,CA,15,,Kevin Mullin
Sam,T.,,Liccardo,,Representative,HOUSE,San José,California,CA,16,,Sam T. Liccardo
Ro,,,Khanna,,Representative,HOUSE,Fremont,California,CA,17,,Ro Khanna
Zoe,,,Lofgren,,Representative,HOUSE,San José,California,CA,18,,Zoe Lofgren
Jimmy,,,Panetta,,Representative,HOUSE,Carmel Valley,California,CA,19,,Jimmy Panetta
Vince,,,Fong,,Representative,HOUSE,Bakersfield,California,CA,20,,Vince Fong
Jim,,,Costa,,Representative,HOUSE,Fresno,California,CA,21,,Jim Costa
David,G.,,Valadao,,Representative,HOUSE,Hanford,California,CA,22,,David G. Valadao
Jay,,,Obernolte,,Representative,HOUSE,Big Bear Lake,California,CA,23,,Jay Obernolte
Salud,O.,,Carbajal,,Representative,HOUSE,Santa Barbara,California,CA,24,,Salud O. Carbajal
Raul,,,Ruiz,,Representative,HOUSE,Indio,California,CA,25,,Raul Ruiz
Julia,,,Brownley,,Representative,HOUSE,Westlake Village,California,CA,26,,Julia Brownley
George,,,Whitesides,,Representative,HOUSE,Agua Dulce,California,CA,27,,George Whitesides
Judy,,,Chu,,Representative,HOUSE,Monterey Park,California,CA,28,,Judy Chu
Luz,M.,,Rivas,,Representative,HOUSE,San Fernando Valley,California,CA,29,,Luz M. Rivas
Laura,,,Friedman,,Representative,HOUSE,Glendale,California,CA,30,,Laura Friedman
Gilbert,Ray,,Cisneros,Jr,Representative,HOUSE,Covina,California,CA,31,,"Gilbert Ray Cisneros, Jr."
Brad,,,Sherman,,Representative,HOUSE,Sherman Oaks,California,CA,32,,Brad Sherman
Pete,,,Aguilar,,Representative,HOUSE,Redlands,California,CA,33,,Pete Aguilar
Jimmy,,,Gomez,,Representative,HOUSE,Los Angeles,California,CA,34,,Jimmy Gomez
Norma,J.,,Torres,,Representative,HOUSE,Pomona,California,CA,35,,Norma J. Torres
Ted,,,Lieu,,Representative,HOUSE,Torrance,California,CA,36,,Ted Lieu
Sydney,,,Kamlager-Dove,,Representative,HOUSE,Los Angeles,California,CA,37,,Sydney Kamlager-Dove
Linda,T.,,Sánchez,,Representative,HOUSE,Whittier,California,CA,38,,Linda T. Sánchez
Mark,,,Takano,,Representative,HOUSE,Riverside,California,CA,39,,Mark Takano
Young,,,Kim,,Representative,HOUSE,La Habra,California,CA,40,,Young Kim
Ken,,,Calvert,,Representative,HOUSE,Corona,California,CA,41,,Ken Calvert
Robert,,,Garcia,,Representative,HOUSE,Long Beach,California,CA,42,,Robert Garcia
Maxine,,,Waters,,Representative,HOUSE,Los Angeles,California,CA,43,,Maxine Waters
Nanette,,,Diaz Barragán,,Representative,HOUSE,Los Angeles,California,CA,44,,Nanette Diaz Barragán
Derek,,,Tran,,Representative,HOUSE,Orange,California,CA,45,,Derek Tran
Lou,,J. Luis,Correa,,Representative,HOUSE,Santa Ana,California,CA,46,,J. Luis Correa
Dave,,,Min,,Representative,HOUSE,Irvine,California,CA,47,,Dave Min
Darrell,,,Issa,,Representative,HOUSE,San Diego,California,CA,48,,Darrell Issa
Mike,,,Levin,,Representative,HOUSE,San Juan Capistrano,California,CA,49,,Mike Levin
