age,assumed_office,bioguide_id,birth_year,chamber,cid,congress_number,date_of_birth,death_year,fecid,filename,first_name,first_name1,last_name,last_name1,middle_name,nick_name,party,state,tenure_months,tenure_pretty,tenure_years,title
79,11/12/14,A000370,1946,House,N00035451,119,5/27/46,,H4NC12100,AAdams1.jpg,Alma,Alma,Adams,Adams,S.,,Democrat,NC,130,"10 years, 10 months",10.83,Representative
79,11/12/14,A000370,1946,House,N00035451,119,5/27/46,,H4NC12100,AAdams2.jpg,Alma,Alma,Adams,Adams,S.,,Democrat,NC,130,"10 years, 10 months",10.83,Representative
79,11/12/14,A000370,1946,House,N00035451,119,5/27/46,,H4NC12100,AAdams3.jpg,Alma,Alma,Adams,Adams,S.,,Democrat,NC,130,"10 years, 10 months",10.83,Representative
79,11/12/14,A000370,1946,House,N00035451,119,5/27/46,,H4NC12100,AAdams4.jpg,Alma,Alma,Adams,Adams,S.,,Democrat,NC,130,"10 years, 10 months",10.83,Representative
60,1/3/97,A000055,1965,House,,119,7/22/65,,,RAderholt1.jpg,Robert,Robert,Aderholt,Aderholt,B.,,Republican,AL,344,"28 years, 8 months",28.67,Representative
60,1/3/97,A000055,1965,House,,119,7/22/65,,,RAderholt2.jpg,Robert,Robert,Aderholt,Aderholt,B.,,Republican,AL,344,"28 years, 8 months",28.67,Representative
60,1/3/97,A000055,1965,House,,119,7/22/65,,,RAderholt3.jpg,Robert,Robert,Aderholt,Aderholt,B.,,Republican,AL,344,"28 years, 8 months",28.67,Representative
60,1/3/97,A000055,1965,House,,119,7/22/65,,,RAderholt4.jpg,Robert,Robert,Aderholt,Aderholt,B.,,Republican,AL,344,"28 years, 8 months",28.67,Representative
46,1/3/15,A000371,1979,House,N00033997,119,6/19/79,,H2CA31125,PAguilar1.jpg,Pete,Peter,Aguilar,Aguilar,,,Democrat,CA,128,"10 years, 8 months",10.67,Representative
46,1/3/15,A000371,1979,House,N00033997,119,6/19/79,,H2CA31125,PAguilar2.jpg,Pete,Peter,Aguilar,Aguilar,,,Democrat,CA,128,"10 years, 8 months",10.67,Representative
46,1/3/15,A000371,1979,House,N00033997,119,6/19/79,,H2CA31125,PAguilar3.jpg,Pete,Peter,Aguilar,Aguilar,,,Democrat,CA,128,"10 years, 8 months",10.67,Representative
46,1/3/15,A000371,1979,House,N00033997,119,6/19/79,,H2CA31125,PAguilar4.jpg,Pete,Peter,Aguilar,Aguilar,,,Democrat,CA,128,"10 years, 8 months",10.67,Representative
61,1/3/23,A000379,1963,House,N00049617,119,10/4/63,,H2MO04207,MAlford1.jpg,Mark,Mark,Alford,Alford,,,Republican,MO,32,"2 years, 8 months",2.67,Representative
61,1/3/23,A000379,1963,House,N00049617,119,10/4/63,,H2MO04207,MAlford2.jpg,Mark,Mark,Alford,Alford,,,Republican,MO,32,"2 years, 8 months",2.67,Representative
61,1/3/23,A000379,1963,House,N00049617,119,10/4/63,,H2MO04207,MAlford3.jpg,Mark,Mark,Alford,Alford,,,Republican,MO,32,"2 years, 8 months",2.67,Representative
61,1/3/23,A000379,1963,House,N00049617,119,10/4/63,,H2MO04207,MAlford4.jpg,Mark,Mark,Alford,Alford,,,Republican,MO,32,"2 years, 8 months",2.67,Representative
