rank,original,first_name,last_name,info,minimum_net_worth,net_worth,maximum_net_worth,chamber
1,Mark Warner (D-Va),Mark,Warner,D-Va,80129151,214092575,348056000,Senate
2,Greg Gianforte (R-Mont),Greg,Gianforte,R-Mont,189334335,189334335,189334335,House
3,Paul Mitchell (R-Mich),Paul,Mitchell,R-Mich,75420142,179610071,283800000,House
4,Vernon Buchanan (R-Fla),Vernon,Buchanan,R-Fla,32310120,157169056,282027993,House
5,Chris Collins (R-NY),Chris,Collins,R-NY,80834052,154497026,228160000,House
6,Don Beyer (D-Va),Don,Beyer,D-Va,10881046,124901516,238921986,House
7,Nancy Pelosi (D-Calif),Nancy,Pelosi,D-Calif,-12825949,114662521,242150991,House
8,Dianne Feinstein (D-Calif),Dianne,Feinstein,D-Calif,55027069,87938540,120850011,Senate
9,Suzan DelBene (D-Wash),Suzan,DelBene,D-Wash,33667084,79361042,125055000,House
10,Fred Upton (R-Mich),Fred,Upton,R-Mich,32541229,78965614,125390000,House
11,Roger Williams (R-Texas),Roger,Williams,R-Texas,44597061,66980026,89362992,House
12,Kevin Hern (R-Okla),Kevin,Hern,R-Okla,34505238,60979615,87453992,House
13,Scott Peters (D-Calif),Scott,Peters,D-Calif,42982085,60456054,77930023,House
14,Richard W Allen (R-Ga),Richard,W Allen,R-Ga,16905053,52127525,87349998,House
15,John Hoeven (R-ND),John,Hoeven,R-ND,19263138,46689569,74116000,Senate
16,Joe Kennedy III (D-Mass),Joe,Kennedy III,D-Mass,21823213,46546606,71270000,House
17,Ralph Norman (R-SC),Ralph,Norman,R-SC,5517147,43398070,81278994,House
18,Johnny Isakson (R-Ga),Johnny,Isakson,R-Ga,16510042,43006021,69502000,Senate
19,James E Risch (R-Idaho),James,Risch,R-Idaho,15174053,41807024,68439996,Senate
20,Ron Johnson (R-Wis),Ron,Johnson,R-Wis,14101014,39233507,64366000,Senate
21,Mitch McConnell (R-Ky),Mitch,McConnell,R-Ky,13445069,34137534,54830000,Senate
22,Kenny Marchant (R-Texas),Kenny,Marchant,R-Texas,12960026,33738015,54516004,House
23,Buddy Carter (R-Ga),Buddy,Carter,R-Ga,13829062,33232031,52635000,House
24,Steven Daines (R-Mont),Steven,Daines,R-Mont,13442084,32863042,52284000,Senate
25,Lloyd Doggett (D-Texas),Lloyd,Doggett,D-Texas,14295056,29723027,45150999,House
26,Brad Schneider (D-Ill),Brad,Schneider,D-Ill,16143165,27159082,38175000,House
27,Lamar Alexander (R-Tenn),Lamar,Alexander,R-Tenn,-9491902,25919044,61329991,Senate
28,David Perdue (R-Ga),David,Perdue,R-Ga,10195194,25822596,41449999,Senate
29,Nita M Lowey (D-NY),Nita,Lowey,D-NY,9480019,24765009,40050000,House
30,Jim Sensenbrenner (R-Wis),Jim,Sensenbrenner,R-Wis,15921438,21750911,27580385,House
31,Phil Roe (R-Tenn),Phil,Roe,R-Tenn,19761620,20218616,20675613,House
32,Richard C Shelby (R-Ala),Richard,Shelby,R-Ala,7590027,19145013,30700000,Senate
33,John A Yarmuth (D-Ky),John,Yarmuth,D-Ky,5439096,17075547,28711999,House
34,Jim Cooper (D-Tenn),Jim,Cooper,D-Tenn,7654050,16269525,24885000,House
35,Michael Bennet (D-Colo),Michael,Bennet,D-Colo,6277029,15706014,25135000,Senate
36,Liz Cheney (R-Wyo),Liz,Cheney,R-Wyo,5671028,14710513,23749999,House
37,Tom Rice (R-SC),Tom,Rice,R-SC,5629020,14569510,23510000,House
38,Bill Foster (D-Ill),Bill,Foster,D-Ill,7246036,14130518,21015000,House
39,Dan Newhouse (R-Wash),Dan,Newhouse,R-Wash,894040,13777019,26659998,House
40,Carolyn B Maloney (D-NY),Carolyn,Maloney,D-NY,5128059,12999029,20869999,House
41,Earl Blumenauer (D-Ore),Earl,Blumenauer,D-Ore,4695086,12561042,20426998,House
42,Mike Kelly (R-Pa),Mike,Kelly,R-Pa,2493113,12419056,22344999,House
43,Mike Conaway (R-Texas),Mike,Conaway,R-Texas,6302179,12417089,18532000,House
44,Ralph Abraham (R-La),Ralph,Abraham,R-La,4890050,12370524,19850999,House
45,Markwayne Mullin (R-Okla),Markwayne,Mullin,R-Okla,4012026,11384012,18755999,House
46,Ann L Wagner (R-Mo),Ann,Wagner,R-Mo,6655131,11055565,15456000,House
47,Jackie Speier (D-Calif),Jackie,Speier,D-Calif,5980059,11028529,16077000,House
48,Thom Tillis (R-NC),Thom,Tillis,R-NC,4002094,10966045,17929996,Senate
49,Rob Portman (R-Ohio),Rob,Portman,R-Ohio,5725090,10827545,15930000,Senate
50,Lisa Blunt Rochester (D-Del),Lisa,Blunt Rochester,D-Del,5549092,10692546,15836000,House
51,Anna Eshoo (D-Calif),Anna,Eshoo,D-Calif,4806022,10298011,15790000,House
52,Chris Coons (D-Del),Chris,Coons,D-Del,6678074,10126038,13574003,Senate
53,Chellie Pingree (D-Maine),Chellie,Pingree,D-Maine,3586013,9938006,16290000,House
54,Neal Dunn (R-Fla),Neal,Dunn,R-Fla,4874067,9529533,14184999,House
55,Angus King (I-Maine),Angus,King,I-Maine,3477125,9494061,15510998,Senate
