first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,top_contributors,top_industries
Alma S.,Adams,alma-s-adams,https://www.opensecrets.org/members-of-congress/adams-alma/summary?cid=N00035451&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Duke Energy ($10,350); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000); American Federation of Teachers ($10,000); Blue Cross & Blue Shield Assn ($10,000)","Commercial Banks ($48,245); Public Sector Unions ($44,000); Building Trade Unions ($40,500); Insurance ($36,980); Health Professionals ($32,720)"
Robert B.,Aderholt,robert-b-aderholt,https://www.opensecrets.org/members-of-congress/aderholt-robert-b/summary?cid=N00003028&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($34,804); Eo Solutions ($26,400); Trideum Corp ($18,200); Drummond Co ($16,492); Protective Life Corp ($13,300)","Misc Defense ($141,034); Defense Aerospace ($70,900); Lawyers/Law Firms ($66,452); Lobbyists ($61,625); Retired ($54,247)"
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($620,898); Wells Fargo ($48,018); General Atomics ($42,600); JStreetPAC ($39,350); DaVita Inc ($36,800)","Pro-Israel ($673,463); Lawyers/Law Firms ($282,268); Lobbyists ($270,227); Securities & Investment ($269,481); Real Estate ($242,608)"
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,,,,,,,,,,,,,,"Plz Aeroscience ($26,400); Ward Enterprises (Kansas) ($26,400); Max Motors ($21,800); Rmjk Enterprises ($21,800); Poet LLC ($16,600)","Retired ($91,292); Crop Production & Basic Processing ($82,825); Leadership PACs ($57,769); Agricultural Services/Products ($54,350); Securities & Investment ($53,000)"
Rick W.,Allen,rick-w-allen,https://www.opensecrets.org/members-of-congress/allen-richard-w/summary?cid=N00033720&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($25,550); Pollard Lumber ($15,200); Yancey Brothers ($13,200); Coca-Cola Co ($12,000); Comcast Corp ($11,000)","Retired ($96,386); Crop Production & Basic Processing ($58,000); Insurance ($52,150); Telecom Services ($49,500); Health Professionals ($49,078)"
Angela D.,Alsobrooks,angela-d-alsobrooks,https://www.opensecrets.org/members-of-congress/angela-alsobrooks/summary?cid=N00053033&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"EMILY's List ($241,619); JStreetPAC ($162,838); Medstar Health ($91,905); US Government ($91,563); Prince George'S County, MD ($82,869)","Retired ($3,493,729); Lawyers/Law Firms ($1,749,731); Democratic/Liberal ($1,311,609); Education ($1,028,434); Civil Servants/Public Officials ($948,959)"
Gabe,Amo,gabe-amo,https://www.opensecrets.org/members-of-congress/amo-gabe/summary?cid=N00052615&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($82,963); Operating Engineers Local 57 ($16,000); Cornish Assoc ($15,900); Capitol City Group ($15,350); CB Utility Co ($15,350)","Lawyers/Law Firms ($169,349); Lobbyists ($157,645); Securities & Investment ($144,134); Democratic/Liberal ($124,451); Leadership PACs ($102,950)"
Mark E.,Amodei,mark-e-amodei,https://www.opensecrets.org/members-of-congress/amodei-mark/summary?cid=N00031177&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Sierra Nevada Corp ($20,900); Meruelo Group ($19,800); American Israel Public Affairs Cmte ($13,750); Kerrigan Advisors ($13,200); South Point Hotel & Casino ($13,200)","Casinos/Gambling ($76,700); Securities & Investment ($66,900); Retired ($61,800); Lobbyists ($53,450); Defense Aerospace ($48,400)"
Yassamin,Ansari,yassamin-ansari,https://www.opensecrets.org/campaign-expenditures/vendor?cycle=2024&vendor=Yassamin+Ansari+for+Congress,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,https://www.opensecrets.org/members-of-congress/arrington-jodey/summary?cid=N00038285&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Grail Inc ($33,200); Charter Brokerage LLC ($28,800); American Israel Public Affairs Cmte ($22,358); Simflo ($19,800); Madera Residential ($15,650)","Oil & Gas ($207,096); Securities & Investment ($205,000); Real Estate ($198,567); Crop Production & Basic Processing ($163,200); Retired ($160,285)"
