first_name,last_name,committee,subcommittee
Alma,Adams,Agriculture,
Alma,Adams,Education and Workforce,
Robert,Aderholt,Appropriations,
Pete,Aguilar,Appropriations,
Mark,Alford,Appropriations,
Mark,Alford,Small Business,
Rick,Allen,Education and Workforce,
Rick,Allen,Energy and Commerce,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Angela,Alsobrooks,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
Angela,Alsobrooks,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Angela,Alsobrooks,Special Committee on Aging,
Gabe,Amo,Budget,
Gabe,Amo,Foreign Affairs,
Gabe,Amo,"Science, Space, and Technology",
Mark,Amodei,Appropriations,
Mark,Amodei,Natural Resources,
Yassamin,Ansari,Education and Workforce,
Yassamin,Ansari,Natural Resources,
Yassamin,Ansari,Oversight and Government Reform,
Jodey,Arrington,Budget,
Jodey,Arrington,Ways and Means,
Jake,Auchincloss,Energy and Commerce,
Brian,Babin,"Science, Space, and Technology",
Brian,Babin,Transportation and Infrastructure,
Don,Bacon,Agriculture,
Don,Bacon,Armed Services,
James,Baird,Agriculture,
James,Baird,Foreign Affairs,
James,Baird,"Science, Space, and Technology",
Troy,Balderson,Energy and Commerce,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Department of Defense
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy and Water Development
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Becca,Balint,Budget,
Becca,Balint,Judiciary,
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security
Jim,Banks,Committee on Veterans' Affairs,
Andy,Barr,Financial Services,
Andy,Barr,Foreign Affairs,
Andy,Barr,Select Comm on the Strategic Competition US and China,
