givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,bioguideid,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,congresses
Alma,Adams,,Alma,Adams,,,A000370,,,,1946,,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""NC"",""parties"":[""Democrat""],""electionDate"":""2014-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":114,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false}]"
Robert,Aderholt,,Robert,Aderholt,,,A000055,,,,1965,,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""AL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""AL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""AL"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Peter,Aguilar,Rey,Peter,Aguilar,Rey,,A000371,,,,1979,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Mark,Alford,,Mark,Alford,,,A000379,,,,1963,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""MO"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""MO"",""parties"":[""Republican""],""electionCirca"":false}]"
Rick,Allen,W.,Rick,Allen,W.,,A000372,,,,1951,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""GA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""GA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""GA"",""parties"":[""Republican""],""electionCirca"":false}]"
Angela,Alsobrooks,Deneece,Angela,Alsobrooks,Deneece,,A000382,,,,1971,,"[{""position"":""Senator"",""congressNumber"":119,""stateName"":""MD"",""parties"":[""Democrat""],""electionCirca"":false}]"
Gabe,Amo,,Gabe,Amo,,,A000380,,,,1987,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""RI"",""parties"":[""Democrat""],""electionDate"":""2023-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""RI"",""parties"":[""Democrat""],""electionCirca"":false}]"
Mark,Amodei,E.,Mark,Amodei,E.,,A000369,,,,1958,,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NV"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Yassamin,Ansari,,Yassamin,Ansari,,,A000381,,,,1992,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""AZ"",""parties"":[""Democrat""],""electionCirca"":false}]"
Jodey,Arrington,Cook,Jodey,Arrington,Cook,,A000375,,,,1972,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Jake,Auchincloss,,Jake,Auchincloss,,,A000148,Mr.,,,1988,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""MA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""MA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""MA"",""parties"":[""Democrat""],""electionCirca"":false}]"
Brian,Babin,,Brian,Babin,,,B001291,,,,1948,,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""TX"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Donald,Bacon,J.,Donald,Bacon,J.,,B001298,,,,1963,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false}]"
James,Baird,,James,Baird,,,B001307,,,,1945,,"[{""position"":""Representative"",""congressNumber"":117,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false}]"
Troy,Balderson,,Troy,Balderson,,,B001306,,,,1962,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""OH"",""parties"":[""Republican""],""electionDate"":""2018-08-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false}]"
Tammy,Baldwin,,Tammy,Baldwin,,,B001230,,,,1962,,"[{""position"":""Representative"",""congressNumber"":106,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""WI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WI"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""WI"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""WI"",""parties"":[""Democrat""],""electionCirca"":false}]"
Becca,Balint,,Becca,Balint,,,B001318,,,,1968,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""VT"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""VT"",""parties"":[""Democrat""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
James,Banks,E.,James,Banks,E.,,B001299,,,,1979,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false}]"
Garland,Barr,H.,Garland,Barr,H.,Andy,B001282,,IV,,1973,,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""KY"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""KY"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""KY"",""parties"":[""Republican""],""electionCirca"":false}]"
Nanette,Barragan,,Nanette,Barragan,,,B001300,,,,1976,,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
John,Barrasso,A.,John,Barrasso,A.,,B001261,,,,1952,,"[{""position"":""Senator"",""congressNumber"":110,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""WY"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WY"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""WY"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":119,""stateName"":""WY"",""parties"":[""Republican""],""electionCirca"":false}]"
Tom,Barrett,,Tom,Barrett,,,B001321,,,,1981,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""MI"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Michael,Baumgartner,,Michael,Baumgartner,,,B001322,,,,1975,,"[{""position"":""Representative"",""congressNumber"":119,""stateName"":""WA"",""parties"":[""Republican""],""electionDate"":""2024-11-05"",""electionCirca"":false}]"
Aaron,Bean,,Aaron,Bean,,,B001314,,,,1967,,"[{""position"":""Representative"",""congressNumber"":118,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":119,""stateName"":""FL"",""parties"":[""Republican""],""electionCirca"":false}]"
