filename,first_name,first_name1,last_name,last_name1,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber
AAdams.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months",House
AAdams1.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months",House
AAdams2.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months",House
AAdams3.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months",House
AAdams4.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months",House
RAderholt.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months",House
RAderholt1.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months",House
RAderholt2.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months",House
RAderholt3.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months",House
RAderholt4.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119,1965-07-22,60,1997-01-03,344,28.67,"28 years, 8 months",House
PAguilar.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months",House
PAguilar1.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months",House
PAguilar2.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months",House
PAguilar3.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months",House
PAguilar4.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months",House
