first_name,last_name,current_net_worth,normalized_net_worth,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
James,Justice,$664.24M,"$664,240,000",https://www.opensecrets.org/members-of-congress/jim-justice/summary?cid=N00053062&cycle=2024,,,,,,,,
Jefferson,Shreve,$599.86M,"$599,860,000",https://www.opensecrets.org/members-of-congress/summary?cid=N00054651&cycle=2024,"Runnebohm Construction ($7,600); Indiana Spine Group ($6,600); US Chamber of Commerce ($6,000); American Academy of Dermatology Assn ($5,000); American Council of Engineering Cos ($5,000)","Leadership PACs ($64,000); Candidate Committees ($17,000); Real Estate ($15,260); Health Professionals ($14,900); Retired ($13,438)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Rick,Scott,$503.23M,"$503,230,000",https://www.opensecrets.org/members-of-congress/scott-rick/summary?cid=N00043290&cycle=2024,"American Israel Public Affairs Cmte ($269,235); Senate Conservatives Fund ($216,561); The Villages ($146,965); Club for Growth ($97,019); GEO Group ($66,900)","Retired ($4,016,948); Republican/Conservative ($1,765,288); Securities & Investment ($1,556,856); Real Estate ($1,262,264); Pro-Israel ($544,013)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Darrell,Issa,$284.40M,"$284,400,000",https://www.opensecrets.org/members-of-congress/darrell-issa/summary?cid=N00007017,"American Israel Public Affairs Cmte ($34,222); Armscor Precision International ($20,700); General Atomics ($15,550); Google Inc ($14,900); 1a Auto Inc ($13,700)","Republican/Conservative ($139,702); Retired ($123,529); Real Estate ($97,535); Lobbyists ($81,388); Electronics Mfg & Equip ($80,350)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Nancy,Pelosi,$271.10M,"$271,100,000",https://www.opensecrets.org/members-of-congress/nancy-pelosi/summary?cid=N00007360,"University of California/San Francisco ($21,504); City & County of San Francisco, CA ($13,598); Kaiser Permanente ($12,828); Perkins Coie ($11,804); State of California ($10,822)","Retired ($3,381,228); Education ($438,002); Health Professionals ($300,335); Lawyers/Law Firms ($221,717); Civil Servants/Public Officials ($209,395)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Vern,Buchanan,$261.54M,"$261,540,000",https://www.opensecrets.org/members-of-congress/buchanan-vernon/summary?cid=N00027626&cycle=2024,"Select Medical Corp ($43,200); American Israel Public Affairs Cmte ($24,000); Indelible Business Solutions ($19,800); Florida Crystals ($16,100); Carnival Cruise Lines ($13,200)","Health Professionals ($209,732); Insurance ($135,880); Pharmaceuticals/Health Products ($125,205); Retired ($114,318); Hospitals/Nursing Homes ($114,016)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Daniel,Goldman,$207.10M,"$207,100,000",https://www.opensecrets.org/members-of-congress/goldman-dan/summary?cid=N00051424&cycle=2024,"American Israel Public Affairs Cmte ($194,350); Blackstone Group ($56,800); Hueston Hennigan Llp ($44,800); Apollo Global Management ($28,000); TA Assoc ($26,400)","Securities & Investment ($628,427); Lawyers/Law Firms ($459,451); Real Estate ($286,367); Retired ($273,388); Pro-Israel ($264,025)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Pete,Ricketts,$206.39M,"$206,390,000",https://www.opensecrets.org/members-of-congress/ricketts-pete/summary?cid=N00027695&cycle=2024,"American Israel Public Affairs Cmte ($218,644); Union Pacific Corp ($50,250); Marquis Energy ($42,900); Cox Enterprises ($34,000); Poet LLC ($29,200)","Securities & Investment ($607,213); Leadership PACs ($364,099); Pro-Israel ($303,472); Oil & Gas ($291,442); Retired ($289,460)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Mark,Warner,$199.24M,"$199,240,000",https://www.opensecrets.org/members-of-congress/warner-mark/summary?cid=N00002097&cycle=2024,"Apollo Global Management ($117,450); Wachtell, Lipton et al ($98,950); C3.AI ($81,200); Goldman Sachs ($73,550); Sullivan & Cromwell ($64,415)","Securities & Investment ($2,645,430); Retired ($1,629,512); Lawyers/Law Firms ($1,556,254); Real Estate ($1,160,829); Electronics Mfg & Equip ($760,633)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
David,McCormick,$176.23M,"$176,230,000",,,,,,,,,
