name_map_first,name_map_last,name_map_middle,name_map_nick,want_state,matched,score,matched_target_key,matched_index_key,bioguide_id_transferred
Alma S.,Adams,,,North Carolina,yes,100,alma s  adams,alma adams,A000370
Alma S.,Adams,,,North Carolina,yes,100,alma s  adams,alma adams,A000370
Alma S.,Adams,,,North Carolina,yes,100,alma s  adams,alma adams,A000370
Alma S.,Adams,,,North Carolina,yes,100,alma s  adams,alma adams,A000370
Alma S.,Adams,,,North Carolina,yes,100,alma s  adams,alma adams,A000370
Robert B.,Aderholt,,,Alabama,yes,100,robert b  aderholt,robert aderholt,A000055
Robert B.,Aderholt,,,Alabama,yes,100,robert b  aderholt,robert aderholt,A000055
Robert B.,Aderholt,,,Alabama,yes,100,robert b  aderholt,robert aderholt,A000055
Robert B.,Aderholt,,,Alabama,yes,100,robert b  aderholt,robert aderholt,A000055
Robert B.,Aderholt,,,Alabama,yes,100,robert b  aderholt,robert aderholt,A000055
Pete,Aguilar,,,California,yes,96,pete aguilar,peter aguilar,A000371
Pete,Aguilar,,,California,yes,96,pete aguilar,peter aguilar,A000371
Pete,Aguilar,,,California,yes,96,pete aguilar,peter aguilar,A000371
Pete,Aguilar,,,California,yes,96,pete aguilar,peter aguilar,A000371
Pete,Aguilar,,,California,yes,96,pete aguilar,peter aguilar,A000371
Mark,Alford,,,Missouri,yes,100,mark alford,mark alford,A000379
Mark,Alford,,,Missouri,yes,100,mark alford,mark alford,A000379
Mark,Alford,,,Missouri,yes,100,mark alford,mark alford,A000379
Mark,Alford,,,Missouri,yes,100,mark alford,mark alford,A000379
Mark,Alford,,,Missouri,yes,100,mark alford,mark alford,A000379
Rick W.,Allen,,,Georgia,yes,100,rick w  allen,rick w  allen,A000372
Rick W.,Allen,,,Georgia,yes,100,rick w  allen,rick w  allen,A000372
Rick W.,Allen,,,Georgia,yes,100,rick w  allen,rick w  allen,A000372
Rick W.,Allen,,,Georgia,yes,100,rick w  allen,rick w  allen,A000372
Rick W.,Allen,,,Georgia,yes,100,rick w  allen,rick w  allen,A000372
Angela D.,Alsobrooks,,,Maryland,yes,100,angela d  alsobrooks,angela alsobrooks,A000382
Angela D.,Alsobrooks,,,Maryland,yes,100,angela d  alsobrooks,angela alsobrooks,A000382
Angela D.,Alsobrooks,,,Maryland,yes,100,angela d  alsobrooks,angela alsobrooks,A000382
Angela D.,Alsobrooks,,,Maryland,yes,100,angela d  alsobrooks,angela alsobrooks,A000382
Angela D.,Alsobrooks,,,Maryland,yes,100,angela d  alsobrooks,angela alsobrooks,A000382
Gabe,Amo,,,Rhode Island,yes,100,gabe amo,gabe amo,A000380
Gabe,Amo,,,Rhode Island,yes,100,gabe amo,gabe amo,A000380
Gabe,Amo,,,Rhode Island,yes,100,gabe amo,gabe amo,A000380
Gabe,Amo,,,Rhode Island,yes,100,gabe amo,gabe amo,A000380
Gabe,Amo,,,Rhode Island,yes,100,gabe amo,gabe amo,A000380
Mark E.,Amodei,,,Nevada,yes,100,mark e  amodei,mark e  amodei,A000369
Mark E.,Amodei,,,Nevada,yes,100,mark e  amodei,mark e  amodei,A000369
Mark E.,Amodei,,,Nevada,yes,100,mark e  amodei,mark e  amodei,A000369
Mark E.,Amodei,,,Nevada,yes,100,mark e  amodei,mark e  amodei,A000369
Mark E.,Amodei,,,Nevada,yes,100,mark e  amodei,mark e  amodei,A000369
Yassamin,Ansari,,,Arizona,yes,100,yassamin ansari,yassamin ansari,A000381
Yassamin,Ansari,,,Arizona,yes,100,yassamin ansari,yassamin ansari,A000381
Yassamin,Ansari,,,Arizona,yes,100,yassamin ansari,yassamin ansari,A000381
Yassamin,Ansari,,,Arizona,yes,100,yassamin ansari,yassamin ansari,A000381
Yassamin,Ansari,,,Arizona,yes,100,yassamin ansari,yassamin ansari,A000381
Jodey C.,Arrington,,,Texas,yes,100,jodey c  arrington,jodey arrington,A000375
Jodey C.,Arrington,,,Texas,yes,100,jodey c  arrington,jodey arrington,A000375
Jodey C.,Arrington,,,Texas,yes,100,jodey c  arrington,jodey arrington,A000375
Jodey C.,Arrington,,,Texas,yes,100,jodey c  arrington,jodey arrington,A000375
Jodey C.,Arrington,,,Texas,yes,100,jodey c  arrington,jodey arrington,A000375
Jake,Auchincloss,,,Massachusetts,yes,100,jake auchincloss,jake auchincloss,A000148
Jake,Auchincloss,,,Massachusetts,yes,100,jake auchincloss,jake auchincloss,A000148
Jake,Auchincloss,,,Massachusetts,yes,100,jake auchincloss,jake auchincloss,A000148
Jake,Auchincloss,,,Massachusetts,yes,100,jake auchincloss,jake auchincloss,A000148
Jake,Auchincloss,,,Massachusetts,yes,100,jake auchincloss,jake auchincloss,A000148
Brian,Babin,,,Texas,yes,100,brian babin,brian babin,B001291
Brian,Babin,,,Texas,yes,100,brian babin,brian babin,B001291
Brian,Babin,,,Texas,yes,100,brian babin,brian babin,B001291
Brian,Babin,,,Texas,yes,100,brian babin,brian babin,B001291
Brian,Babin,,,Texas,yes,100,brian babin,brian babin,B001291
Don,Bacon,,,Nebraska,no,0,,,
Don,Bacon,,,Nebraska,no,0,,,
Don,Bacon,,,Nebraska,no,0,,,
Don,Bacon,,,Nebraska,no,0,,,
Don,Bacon,,,Nebraska,no,0,,,
James R.,Baird,,,Indiana,yes,100,james r  baird,james baird,B001307
James R.,Baird,,,Indiana,yes,100,james r  baird,james baird,B001307
James R.,Baird,,,Indiana,yes,100,james r  baird,james baird,B001307
James R.,Baird,,,Indiana,yes,100,james r  baird,james baird,B001307
James R.,Baird,,,Indiana,yes,100,james r  baird,james baird,B001307
Troy,Balderson,,,Ohio,yes,100,troy balderson,troy balderson,B001306
Troy,Balderson,,,Ohio,yes,100,troy balderson,troy balderson,B001306
Troy,Balderson,,,Ohio,yes,100,troy balderson,troy balderson,B001306
Troy,Balderson,,,Ohio,yes,100,troy balderson,troy balderson,B001306
Troy,Balderson,,,Ohio,yes,100,troy balderson,troy balderson,B001306
Tammy,Baldwin,,,Wisconsin,yes,100,tammy baldwin,tammy baldwin,B001230
Tammy,Baldwin,,,Wisconsin,yes,100,tammy baldwin,tammy baldwin,B001230
Tammy,Baldwin,,,Wisconsin,yes,100,tammy baldwin,tammy baldwin,B001230
Tammy,Baldwin,,,Wisconsin,yes,100,tammy baldwin,tammy baldwin,B001230
Tammy,Baldwin,,,Wisconsin,yes,100,tammy baldwin,tammy baldwin,B001230
Becca,Balint,,,Vermont,yes,100,becca balint,becca balint,B001318
Becca,Balint,,,Vermont,yes,100,becca balint,becca balint,B001318
Becca,Balint,,,Vermont,yes,100,becca balint,becca balint,B001318
Becca,Balint,,,Vermont,yes,100,becca balint,becca balint,B001318
Becca,Balint,,,Vermont,yes,100,becca balint,becca balint,B001318
Jim,Banks,,,Indiana,yes,100,james banks,james banks,B001299
Jim,Banks,,,Indiana,yes,100,james banks,james banks,B001299
Jim,Banks,,,Indiana,yes,100,james banks,james banks,B001299
Jim,Banks,,,Indiana,yes,100,james banks,james banks,B001299
Jim,Banks,,,Indiana,yes,100,james banks,james banks,B001299
Andy,Barr,,,Kentucky,yes,100,andrew barr,andrew barr,B001282
Andy,Barr,,,Kentucky,yes,100,andrew barr,andrew barr,B001282
Andy,Barr,,,Kentucky,yes,100,andrew barr,andrew barr,B001282
Andy,Barr,,,Kentucky,yes,100,andrew barr,andrew barr,B001282
Andy,Barr,,,Kentucky,yes,100,andrew barr,andrew barr,B001282
Nanette Diaz,Barragán,,,California,yes,100,nanette diaz barragan,nanette barragan,B001300
Nanette Diaz,Barragán,,,California,yes,100,nanette diaz barragan,nanette barragan,B001300
Nanette Diaz,Barragán,,,California,yes,100,nanette diaz barragan,nanette barragan,B001300
Nanette Diaz,Barragán,,,California,yes,100,nanette diaz barragan,nanette barragan,B001300
Nanette Diaz,Barragán,,,California,yes,100,nanette diaz barragan,nanette barragan,B001300
John,Barrasso,,,Wyoming,yes,100,john barrasso,john barrasso,B001261
John,Barrasso,,,Wyoming,yes,100,john barrasso,john barrasso,B001261
John,Barrasso,,,Wyoming,yes,100,john barrasso,john barrasso,B001261
John,Barrasso,,,Wyoming,yes,100,john barrasso,john barrasso,B001261
John,Barrasso,,,Wyoming,yes,100,john barrasso,john barrasso,B001261
Tom,Barrett,,,Michigan,yes,100,thomas barrett,thomas barrett,B001321
Tom,Barrett,,,Michigan,yes,100,thomas barrett,thomas barrett,B001321
Tom,Barrett,,,Michigan,yes,100,thomas barrett,thomas barrett,B001321
Tom,Barrett,,,Michigan,yes,100,thomas barrett,thomas barrett,B001321
Tom,Barrett,,,Michigan,yes,100,thomas barrett,thomas barrett,B001321
Michael,Baumgartner,,,Washington,yes,100,michael baumgartner,michael baumgartner,B001322
Michael,Baumgartner,,,Washington,yes,100,michael baumgartner,michael baumgartner,B001322
Michael,Baumgartner,,,Washington,yes,100,michael baumgartner,michael baumgartner,B001322
