filename,first_name,last_name,title,state,party,terms,nananame,,cid,feccandid
AAdams.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,"Adams, Alma S. - Representative",,,
AAdams1.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,"Adams, Alma S. - Representative",,,
AAdams2.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,"Adams, Alma S. - Representative",,,
AAdams3.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,"Adams, Alma S. - Representative",,,
AAdams4.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,"Adams, Alma S. - Representative",,,
RAderholt.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,"Aderholt, Robert B. - Representative",,,
RAderholt1.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,"Aderholt, Robert B. - Representative",,,
RAderholt2.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,"Aderholt, Robert B. - Representative",,,
RAderholt3.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,"Aderholt, Robert B. - Representative",,,
RAderholt4.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,"Aderholt, Robert B. - Representative",,,
PAguilar.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,"Aguilar, Pete - Representative",,N00033997,H2CA31125
PAguilar1.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,"Aguilar, Pete - Representative",,N00033997,H2CA31125
PAguilar2.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,"Aguilar, Pete - Representative",,N00033997,H2CA31125
PAguilar3.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,"Aguilar, Pete - Representative",,N00033997,H2CA31125
PAguilar4.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,"Aguilar, Pete - Representative",,N00033997,H2CA31125
