first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3
Alma S.,Adams,alma-s-adams,,,,,,,,,,,,,
Alma S.,Adams,alma-s-adams,,,,,,,,,,,,,
Alma S.,Adams,alma-s-adams,,,,,,,,,,,,,
Alma S.,Adams,alma-s-adams,,,,,,,,,,,,,
Alma S.,Adams,alma-s-adams,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,,,,,,,,,,,,,
Robert B.,Aderholt,robert-b-aderholt,,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,
Pete,Aguilar,pete-aguilar,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,
Mark,Alford,mark-alford,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,,,,,,,,,,,,,
Rick W.,Allen,rick-w-allen,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,,,,,,,,,,,,,
Angela D.,Alsobrooks,angela-d-alsobrooks,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,,,,,,,,,,,,,
Gabe,Amo,gabe-amo,,,,,,,,,,,,,
