first_name,last_name,current_net_worth,normalized_net_worth
James,Justice,$664.24M,"$664,240,000"
Jefferson,Shreve,$599.86M,"$599,860,000"
Rick,Scott,$503.23M,"$503,230,000"
Darrell,Issa,$284.40M,"$284,400,000"
Nancy,Pelosi,$271.10M,"$271,100,000"
Vern,Buchanan,$261.54M,"$261,540,000"
Daniel,Goldman,$207.10M,"$207,100,000"
Pete,Ricketts,$206.39M,"$206,390,000"
Mark,Warner,$199.24M,"$199,240,000"
David,McCormick,$176.23M,"$176,230,000"
April,Delaney,$152.73M,"$152,730,000"
Tim,Sheehy,$150.98M,"$150,980,000"
Suzan,DelBene,$140.84M,"$140,840,000"
Bernie,Moreno,$139.04M,"$139,040,000"
Kevin,Hern,$108.33M,"$108,330,000"
Donald,Jr.,$106.87M,"$106,870,000"
Jay,Obernolte,$97.76M,"$97,760,000"
Sara,Jacobs,$87.29M,"$87,290,000"
Gilbert,Jr.,$77.96M,"$77,960,000"
Roger,Williams,$74.63M,"$74,630,000"
Daniel,Meuser,$69.06M,"$69,060,000"
Ron,Johnson,$67.32M,"$67,320,000"
Markwayne,Mullin,$65.46M,"$65,460,000"
Mitch,McConnell,$64.29M,"$64,290,000"
Scott,Peters,$59.02M,"$59,020,000"
John,Rose,$57.92M,"$57,920,000"
Ralph,Norman,$57.00M,"$57,000,000"
James,Risch,$56.52M,"$56,520,000"
Marlin,Stutzman,$54.38M,"$54,380,000"
Lloyd,Doggett,$52.91M,"$52,910,000"
Bill,Hagerty,$52.82M,"$52,820,000"
John,Hoeven,$48.48M,"$48,480,000"
Julie,Johnson,$47.22M,"$47,220,000"
Mark,Green,$45.82M,"$45,820,000"
Josh,Gottheimer,$42.07M,"$42,070,000"
Kelly,Morrison,$41.05M,"$41,050,000"
Shri,Thanedar,$40.94M,"$40,940,000"
Cleo,Fields,$39.69M,"$39,690,000"
Robert,Bresnahan,$36.68M,"$36,680,000"
George,Whitesides,$35.04M,"$35,040,000"
Lori,Trahan,$34.11M,"$34,110,000"
James,Baird,$30.93M,"$30,930,000"
John,Hickenlooper,$30.64M,"$30,640,000"
Kim,Schrier,$29.79M,"$29,790,000"
Earl,Carter,$28.12M,"$28,120,000"
Scott,Franklin,$27.95M,"$27,950,000"
Carol,Miller,$27.67M,"$27,670,000"
Michael,Rulli,$26.91M,"$26,910,000"
Ann,Wagner,$26.22M,"$26,220,000"
Victoria,Spartz,$25.51M,"$25,510,000"
Marjorie,Greene,$24.94M,"$24,940,000"
Sheldon,Whitehouse,$24.26M,"$24,260,000"
Gregory,Murphy,$23.90M,"$23,900,000"
Craig,Goldman,$23.88M,"$23,880,000"
Rick,Allen,$22.94M,"$22,940,000"
Ken,Calvert,$22.85M,"$22,850,000"
Ron,Wyden,$22.63M,"$22,630,000"
Angus,Jr.,$21.73M,"$21,730,000"
Steve,Daines,$21.37M,"$21,370,000"
William,IV,$21.35M,"$21,350,000"
Nicholas,Begich,$21.33M,"$21,330,000"
Cory,Mills,$21.25M,"$21,250,000"
Mark,Kelly,$20.45M,"$20,450,000"
John,Kennedy,$20.14M,"$20,140,000"
Dale,Strong,$20.13M,"$20,130,000"
Bill,Foster,$19.67M,"$19,670,000"
J.,Hill,$19.42M,"$19,420,000"
Andrew,Clyde,$19.18M,"$19,180,000"
Mike,Collins,$18.75M,"$18,750,000"
Dan,Newhouse,$18.25M,"$18,250,000"
Ilhan,Omar,$18.06M,"$18,060,000"
John,Curtis,$17.95M,"$17,950,000"
Michael,Bennet,$17.89M,"$17,890,000"
Pat,Fallon,$17.82M,"$17,820,000"
Robert,Onder,$17.77M,"$17,770,000"
John,Joyce,$17.07M,"$17,070,000"
Jacky,Rosen,$16.84M,"$16,840,000"
David,Taylor,$16.67M,"$16,670,000"
Christopher,Coons,$16.34M,"$16,340,000"
Chuck,Edwards,$16.22M,"$16,220,000"
Janelle,Bynum,$16.08M,"$16,080,000"
