first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service,education
Alma,Adams,Alma Adams,5/27/46,79,11/12/14,130,10.83,"10 years, 10 months",House,A000370,,,"North Carolina A&T State University ( BS , MS ) Ohio State University ( PhD )"
Robert,Aderholt,Robert Aderholt,7/22/65,60,1/3/97,344,28.67,"28 years, 8 months",House,A000055,,,University of North Alabama Birmingham–Southern College ( BA ) Samford University ( JD )
Pete,Aguilar,Pete Aguilar,6/19/79,46,1/3/15,128,10.67,"10 years, 8 months",House,A000371,,,University of Redlands ( BS )
Mark,Alford,Mark Alford,10/4/63,61,1/3/23,32,2.67,"2 years, 8 months",House,A000379,,,University of Texas at Austin ( BA )
Rick,Allen,Rick Allen,11/7/51,73,1/3/15,128,10.67,"10 years, 8 months",House,A000372,,,Auburn University ( BS )
Angela,Alsobrooks,Angela Alsobrooks,2/23/71,54,1/3/25,8,0.67,8 months,Senate,A000382,,,
Gabe,Amo,Gabe Amo,12/11/87,37,11/13/23,22,1.83,"1 year, 10 months",House,A000380,,,"Wheaton College ( BA ) Merton College, Oxford ( MSc )"
Mark,Amodei,Mark Amodei,6/12/58,67,9/13/11,168,14,14 years,House,A000369,Army,Yes,"University of Nevada, Reno ( BA ) University of the Pacific ( JD )"
Yassamin,Ansari,Yassamin Ansari,4/7/92,33,1/3/25,8,0.67,8 months,House,A000381,,,"Stanford University ( BA ) St. John's College, Cambridge ( MPhil )"
Jodey,Arrington,Jodey Arrington,3/9/72,53,1/3/17,104,8.67,"8 years, 8 months",House,A000375,,,"Texas Tech University ( BA , MPA )"
Jake,Auchincloss,Jake Auchincloss,1/29/88,37,1/3/21,56,4.67,"4 years, 8 months",House,A000148,Marine Corps Marine Corps Reserve,Yes,Harvard University ( BA ) Massachusetts Institute of Technology ( MBA )
Brian,Babin,Brian Babin,3/23/48,77,1/3/15,128,10.67,"10 years, 8 months",House,B001291,Air Force Texas Army National Guard,Yes,"Lamar University ( BS ) University of Texas, Houston ( DDS )"
Don,Bacon,Don Bacon,8/16/63,62,1/3/17,104,8.67,"8 years, 8 months",House,B001298,Air Force,Yes,Northern Illinois University ( BA ) University of Phoenix ( MBA ) National Defense University ( MA )
Jim,Baird,Jim Baird,6/4/45,80,1/3/19,80,6.67,"6 years, 8 months",House,,Army,Yes,"Purdue University, West Lafayette ( BS , MS ) University of Kentucky ( PhD )"
Troy,Balderson,Troy Balderson,1/16/62,63,9/5/18,84,7,7 years,House,B001306,,,Muskingum University Ohio State University
Tammy,Baldwin,Tammy Baldwin,2/11/62,63,1/3/13,152,12.67,"12 years, 8 months",Senate,B001230,,,
Becca,Balint,Becca Balint,5/4/68,57,1/3/23,32,2.67,"2 years, 8 months",House,B001318,,,Smith College ( BA ) Harvard University ( MEd ) University of Massachusetts Amherst ( MA )
Jim,Banks,Jim Banks,7/16/79,46,1/3/25,8,0.67,8 months,Senate,B001299,,,
Andy,Barr,Andy Barr,7/24/73,52,1/3/13,152,12.67,"12 years, 8 months",House,B001282,,,University of Virginia ( BA ) University of Kentucky ( JD )
Nanette,Barragán,Nanette Barragán,9/15/76,49,1/3/17,104,8.67,"8 years, 8 months",House,B001300,,,"University of California, Los Angeles ( BA ) University of Southern California ( JD )"
John,Barrasso,John Barrasso,7/21/52,73,6/25/07,219,18.25,"18 years, 3 months",Senate,B001261,,,"Rensselaer Polytechnic Institute Georgetown University ( BS , MD )"
Tom,Barrett,Tom Barrett,4/30/81,44,1/3/25,8,0.67,8 months,House,B001321,Army Michigan National Guard,Yes,Western Michigan University ( BA )
Michael,Baumgartner,Michael Baumgartner,12/13/75,49,1/3/25,8,0.67,8 months,House,B001322,,,Washington State University ( BA ) Harvard University ( MPA )
Aaron,Bean,Aaron Bean,1/25/67,58,1/3/23,32,2.67,"2 years, 8 months",House,B001314,,,Jacksonville University ( BS )
Joyce,Beatty,Joyce Beatty,3/12/50,75,1/3/13,152,12.67,"12 years, 8 months",House,B001281,,,Central State University ( BA ) Wright State University ( MS ) University of Cincinnati
Wesley,Bell,Wesley Bell,11/5/74,50,1/3/25,8,0.67,8 months,House,B001324,,,Lindenwood University ( BA ) University of Missouri ( JD )
Michael,Bennet,Michael Bennet,11/28/64,60,1/21/09,200,16.67,"16 years, 8 months",Senate,B001267,,,Wesleyan University ( BA ) Yale University ( JD )
Cliff,Bentz,Cliff Bentz,1/12/52,73,1/3/21,56,4.67,"4 years, 8 months",House,B000668,,,Eastern Oregon University ( BA ) Lewis and Clark College ( JD )
Ami,Bera,Ami Bera,3/2/65,60,1/3/13,152,12.67,"12 years, 8 months",House,B001287,,,"University of California, Irvine ( BS , MD )"
Jack,Bergman,Jack Bergman,2/2/47,78,1/3/17,104,8.67,"8 years, 8 months",House,B001301,Marine Corps,Yes,Gustavus Adolphus College ( BA ) University of West Florida ( MBA )
Don,Beyer,Don Beyer,6/20/50,75,1/3/15,128,10.67,"10 years, 8 months",House,,,,Williams College ( BA ) George Mason University
Stephanie,Bice,Stephanie Bice,11/11/73,51,1/3/21,56,4.67,"4 years, 8 months",House,B000740,,,"Oklahoma State University, Stillwater ( BS )"
Andy,Biggs,Andy Biggs,11/7/58,66,1/3/17,104,8.67,"8 years, 8 months",House,B001302,,,"Brigham Young University ( BA ) University of Arizona ( JD ) Arizona State University, Phoenix ( MA )"
Sheri,Biggs,Sheri Biggs,3/28/70,55,1/3/25,8,0.67,8 months,House,B001325,Mississippi Air National Guard,Yes,Carolina Bible College ( BA ) Samford University ( DNP ) Air War College
Gus,Bilirakis,Gus Bilirakis,2/8/63,62,1/3/07,224,18.67,"18 years, 8 months",House,B001257,,,St. Petersburg College University of Florida ( BA ) Stetson University ( JD )
Sanford,Bishop,Sanford Bishop,2/4/47,78,1/3/93,392,32.67,"32 years, 8 months",House,B000490,Army,Yes,Morehouse College ( BA ) Emory University ( JD )
Marsha,Blackburn,Marsha Blackburn,6/6/52,73,1/3/19,80,6.67,"6 years, 8 months",Senate,B001243,,,Mississippi State University ( BS )
Richard,Blumenthal,Richard Blumenthal,2/13/46,79,1/3/11,176,14.67,"14 years, 8 months",Senate,B001277,,,"Harvard University ( AB ) Trinity College, Cambridge Yale University ( JD )"
