first_name,last_name,committee,subcommittee,bioguide_id,note
Alma,Adams,Agriculture,,A000370,
Alma,Adams,Education and Workforce,,A000370,
Robert,Aderholt,Appropriations,,A000055,
Pete,Aguilar,Appropriations,,A000371,
Mark,Alford,Appropriations,,A000379,
Mark,Alford,Small Business,,A000379,
Rick,Allen,Education and Workforce,,A000372,
Rick,Allen,Energy and Commerce,,A000372,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,A000382,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",A000382,
Angela,Alsobrooks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",A000382,
Angela,Alsobrooks,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",A000382,
Angela,Alsobrooks,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,A000382,
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,A000382,
Angela,Alsobrooks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,A000382,
Angela,Alsobrooks,Special Committee on Aging,,A000382,
Gabe,Amo,Budget,,A000380,
Gabe,Amo,Foreign Affairs,,A000380,
Gabe,Amo,"Science, Space, and Technology",,A000380,
Mark,Amodei,Appropriations,,A000369,
Mark,Amodei,Natural Resources,,A000369,
Yassamin,Ansari,Education and Workforce,,A000381,
Yassamin,Ansari,Natural Resources,,A000381,
Yassamin,Ansari,Oversight and Government Reform,,A000381,
Jodey,Arrington,Budget,,A000375,
Jodey,Arrington,Ways and Means,,A000375,
Jake,Auchincloss,Energy and Commerce,,A000148,
Brian,Babin,"Science, Space, and Technology",,B001291,
Brian,Babin,Transportation and Infrastructure,,B001291,
Don,Bacon,Agriculture,,B001298,
Don,Bacon,Armed Services,,B001298,
James,Baird,Agriculture,,B001307,
James,Baird,Foreign Affairs,,B001307,
James,Baird,"Science, Space, and Technology",,B001307,
Troy,Balderson,Energy and Commerce,,B001306,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",B001230,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Department of Defense,B001230,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",B001230,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",B001230,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy and Water Development,B001230,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",B001230,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",B001230,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",B001230,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",B001230,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,B001230,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,B001230,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,B001230,
Becca,Balint,Budget,,B001318,
Becca,Balint,Judiciary,,B001318,
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel,B001299,
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower,B001299,
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces,B001299,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,B001299,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance,B001299,
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",B001299,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,B001299,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,B001299,
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,B001299,
Jim,Banks,Committee on Veterans' Affairs,,B001299,
Andy,Barr,Financial Services,,B001282,
Andy,Barr,Foreign Affairs,,B001282,
Andy,Barr,Select Comm on the Strategic Competition US and China,,B001282,
Nanette,Barragan,Energy and Commerce,,B001300,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on Energy,B001261,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on National Parks,B001261,
John,Barrasso,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining",B001261,
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",B001261,
John,Barrasso,Committee on Finance,Subcommittee on Health Care,B001261,
John,Barrasso,Committee on Finance,Subcommittee on Taxation and IRS Oversight,B001261,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,B001261,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,B001261,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",B001261,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development",B001261,
Tom,Barrett,Transportation and Infrastructure,,B001321,
Tom,Barrett,Veterans' Affairs,,B001321,
Michael,Baumgartner,Education and Workforce,,B001322,
Michael,Baumgartner,Foreign Affairs,,B001322,
Michael,Baumgartner,Judiciary,,B001322,
Aaron,Bean,Ways and Means,,B001314,
Joyce,Beatty,Financial Services,,B001281,
Nicholas,Begich,Natural Resources,,B001323,
Nicholas,Begich,"Science, Space, and Technology",,B001323,
Nicholas,Begich,Transportation and Infrastructure,,B001323,
Wesley,Bell,Armed Services,,B001324,
Wesley,Bell,Oversight and Government Reform,,B001324,
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",B001267,
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",B001267,
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",B001267,
Michael,Bennet,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",B001267,
Michael,Bennet,Committee on Finance,Subcommittee on Taxation and IRS Oversight,B001267,
Michael,Bennet,Committee on Rules and Administration,,B001267,
Michael,Bennet,Select Committee on Intelligence,,B001267,
Cliff,Bentz,Energy and Commerce,,B000668,
Cliff,Bentz,Natural Resources,,B000668,
Ami,Bera,Foreign Affairs,,B001287,
Ami,Bera,Intelligence,,B001287,
Jack,Bergman,Armed Services,,B001301,
Jack,Bergman,Budget,,B001301,
Jack,Bergman,Veterans' Affairs,,B001301,
Donald,Beyer,Ways and Means,,B001292,
Stephanie,Bice,Appropriations,,B000740,
Stephanie,Bice,House Administration,,B000740,
Andy,Biggs,Judiciary,,B001302,
Andy,Biggs,Oversight and Government Reform,,B001302,
Sheri,Biggs,Foreign Affairs,,B001325,
Sheri,Biggs,Homeland Security,,B001325,
Sheri,Biggs,"Science, Space, and Technology",,B001325,
Gus,Bilirakis,Energy and Commerce,,B001257,
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,,B001257,
Sanford,Bishop,Appropriations,,B000490,
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",B001243,
