first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Andre,Carson,Intelligence,,N00029513,H8IN07184,C001072,,,,,,H8IN07184
Andre,Carson,Select Comm on the Strategic Competition US & China,,N00029513,H8IN07184,C001072,,,,,,H8IN07184
Andre,Carson,Transportation & Infrastructure,,N00029513,H8IN07184,C001072,,,,,,H8IN07184
Aumua,Radewagen,Foreign Affairs,,N00007635,H4AS00036,R000600,,,,,,H4AS00036
Aumua,Radewagen,Natural Resources,,N00007635,H4AS00036,R000600,,,,,,H4AS00036
Aumua,Radewagen,Veterans' Affairs,,N00007635,H4AS00036,R000600,,,,,,H4AS00036
Thom,Tillis,Commission on Security & Cooperation in Europe,,,C00545772,T000476,,,,,,
Thom,Tillis,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Digital Assets,,C00545772,T000476,,,,,,
Thom,Tillis,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Economic Policy,,C00545772,T000476,,,,,,
Thom,Tillis,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Financial Institutions & Consumer Protection,,C00545772,T000476,,,,,,
Thom,Tillis,Committee on Finance,Subcommittee on Health Care,,C00545772,T000476,,,,,,
Thom,Tillis,Committee on Finance,"Subcommittee on Intl Trade, Customs, & Global Competitiveness",,C00545772,T000476,,,,,,
Thom,Tillis,Committee on Finance,Subcommittee on Taxation & IRS Oversight,,C00545772,T000476,,,,,,
Thom,Tillis,Committee on The Judiciary,"Subcommittee on Antitrust, Competition Policy, & Consumer Rights",,C00545772,T000476,,,,,,
Thom,Tillis,Committee on The Judiciary,Subcommittee on Border Security & Immigration,,C00545772,T000476,,,,,,
Thom,Tillis,Committee on The Judiciary,"Subcommittee on Fed Courts, Oversight, Agency Action, & Fed Rights",,C00545772,T000476,,,,,,
Thom,Tillis,Committee on The Judiciary,Subcommittee on Intellectual Property,,C00545772,T000476,,,,,,
Thom,Tillis,Committee on Veterans' Affairs,,,C00545772,T000476,,,,,,
