first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber
Alma,Adams,Alma Adams,5/27/46,79,11/12/14,130,10.83,"10 years, 10 months",House
Robert,Aderholt,Robert Aderholt,7/22/65,60,1/3/97,344,28.67,"28 years, 8 months",House
Pete,Aguilar,Pete Aguilar,6/19/79,46,1/3/15,128,10.67,"10 years, 8 months",House
Mark,Alford,Mark Alford,10/4/63,61,1/3/23,32,2.67,"2 years, 8 months",House
Rick,Allen,Rick Allen,11/7/51,73,1/3/15,128,10.67,"10 years, 8 months",House
Angela,Alsobrooks,Angela Alsobrooks,2/23/71,54,1/3/25,8,0.67,8 months,Senate
Gabe,Amo,Gabe Amo,12/11/87,37,11/13/23,22,1.83,"1 year, 10 months",House
Mark,Amodei,Mark Amodei,6/12/58,67,9/13/11,168,14,14 years,House
Yassamin,Ansari,Yassamin Ansari,4/7/92,33,1/3/25,8,0.67,8 months,House
Jodey,Arrington,Jodey Arrington,3/9/72,53,1/3/17,104,8.67,"8 years, 8 months",House
Jake,Auchincloss,Jake Auchincloss,1/29/88,37,1/3/21,56,4.67,"4 years, 8 months",House
Brian,Babin,Brian Babin,3/23/48,77,1/3/15,128,10.67,"10 years, 8 months",House
Don,Bacon,Don Bacon,8/16/63,62,1/3/17,104,8.67,"8 years, 8 months",House
Jim,Baird,Jim Baird,6/4/45,80,1/3/19,80,6.67,"6 years, 8 months",House
Troy,Balderson,Troy Balderson,1/16/62,63,9/5/18,84,7,7 years,House
Tammy,Baldwin,Tammy Baldwin,2/11/62,63,1/3/13,152,12.67,"12 years, 8 months",Senate
Becca,Balint,Becca Balint,5/4/68,57,1/3/23,32,2.67,"2 years, 8 months",House
Jim,Banks,Jim Banks,7/16/79,46,1/3/25,8,0.67,8 months,Senate
Andy,Barr,Andy Barr,7/24/73,52,1/3/13,152,12.67,"12 years, 8 months",House
Nanette,Barragán,Nanette Barragán,9/15/76,49,1/3/17,104,8.67,"8 years, 8 months",House
John,Barrasso,John Barrasso,7/21/52,73,6/25/07,219,18.25,"18 years, 3 months",Senate
Tom,Barrett,Tom Barrett,4/30/81,44,1/3/25,8,0.67,8 months,House
Michael,Baumgartner,Michael Baumgartner,12/13/75,49,1/3/25,8,0.67,8 months,House
Aaron,Bean,Aaron Bean,1/25/67,58,1/3/23,32,2.67,"2 years, 8 months",House
Joyce,Beatty,Joyce Beatty,3/12/50,75,1/3/13,152,12.67,"12 years, 8 months",House
Wesley,Bell,Wesley Bell,11/5/74,50,1/3/25,8,0.67,8 months,House
Michael,Bennet,Michael Bennet,11/28/64,60,1/21/09,200,16.67,"16 years, 8 months",Senate
Cliff,Bentz,Cliff Bentz,1/12/52,73,1/3/21,56,4.67,"4 years, 8 months",House
Ami,Bera,Ami Bera,3/2/65,60,1/3/13,152,12.67,"12 years, 8 months",House
Jack,Bergman,Jack Bergman,2/2/47,78,1/3/17,104,8.67,"8 years, 8 months",House
Don,Beyer,Don Beyer,6/20/50,75,1/3/15,128,10.67,"10 years, 8 months",House
Stephanie,Bice,Stephanie Bice,11/11/73,51,1/3/21,56,4.67,"4 years, 8 months",House
Andy,Biggs,Andy Biggs,11/7/58,66,1/3/17,104,8.67,"8 years, 8 months",House
Sheri,Biggs,Sheri Biggs,3/28/70,55,1/3/25,8,0.67,8 months,House
Gus,Bilirakis,Gus Bilirakis,2/8/63,62,1/3/07,224,18.67,"18 years, 8 months",House
Sanford,Bishop,Sanford Bishop,2/4/47,78,1/3/93,392,32.67,"32 years, 8 months",House
Marsha,Blackburn,Marsha Blackburn,6/6/52,73,1/3/19,80,6.67,"6 years, 8 months",Senate
Richard,Blumenthal,Richard Blumenthal,2/13/46,79,1/3/11,176,14.67,"14 years, 8 months",Senate
Lisa,Blunt Rochester,Lisa Blunt Rochester,2/10/62,63,1/3/25,8,0.67,8 months,Senate
Lauren,Boebert,Lauren Boebert,12/15/86,38,1/3/21,56,4.67,"4 years, 8 months",House
Suzanne,Bonamici,Suzanne Bonamici,10/14/54,70,1/31/12,163,13.58,"13 years, 7 months",House
Cory,Booker,Cory Booker,4/27/69,56,10/31/13,142,11.83,"11 years, 10 months",Senate
John,Boozman,John Boozman,12/10/50,74,1/3/11,176,14.67,"14 years, 8 months",Senate
