first_name,last_name,BioGuideID,transaction,ticker,range,transaction_date
Marjorie Taylor,Greene,G000596,Purchase,CRWD,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,ASML,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,ADBE,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,IBIT,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,AMGN,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,MS,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,GS,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,GOOG,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,DUK,"$1,001 - $15,000",2025-09-11
Marjorie Taylor,Greene,G000596,Purchase,DLR,"$1,001 - $15,000",2025-09-11
David J.,Taylor,T000490,Sale,GOOGL,"$1,001 - $15,000",2025-09-03
David J.,Taylor,T000490,Purchase,CRM,"$1,001 - $15,000",2025-09-03
David J.,Taylor,T000490,Sale,GOOGL,"$1,001 - $15,000",2025-09-03
Gilbert,Cisneros,C001123,Purchase,SMTC,"$1,001 - $15,000",2025-09-02
Gilbert,Cisneros,C001123,Sale,GTLS,"$1,001 - $15,000",2025-09-02
Gilbert,Cisneros,C001123,Purchase,AVNT,"$1,001 - $15,000",2025-09-02
A. Mitchell Jr.,McConnell,M000355,Purchase,WFC,"$1,001 - $15,000",2025-09-01
Lisa,Mcclain,M001136,Sale,TSM,"$50,001 - $100,000",2025-08-28
Sheldon,Whitehouse,W000802,Sale (Full),KVUE,"$1,001 - $15,000",2025-08-28
Sheldon,Whitehouse,W000802,Sale (Full),UNH,"$15,001 - $50,000",2025-08-28
Sheldon,Whitehouse,W000802,Sale (Full),DHR,"$1,001 - $15,000",2025-08-28
Sheldon,Whitehouse,W000802,Sale (Partial),LRCX,"$15,001 - $50,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,FDX,"$15,001 - $50,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,EXC,"$15,001 - $50,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,NVO,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,MELI,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,SO,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,MS,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,UPS,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,GOOG,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,PEP,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,MRK,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,UNH,"$1,001 - $15,000",2025-08-28
Marjorie Taylor,Greene,G000596,Purchase,RHP,"$15,001 - $50,000",2025-08-28
Gilbert,Cisneros,C001123,Sale,DOX,"$1,001 - $15,000",2025-08-27
Valerie,Hoyle,H001094,Sale,WBA,"$1,001 - $15,000",2025-08-27
Gilbert,Cisneros,C001123,Purchase,INTA,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Sale,FTV,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Purchase,WAT,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Sale,GDDY,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Purchase,SMTC,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Sale,DOX,"$1,001 - $15,000",2025-08-26
Gilbert,Cisneros,C001123,Purchase,APG,"$1,001 - $15,000",2025-08-26
Laura,Friedman,F000483,Sale,DIS,"$1,001 - $15,000",2025-08-26
Jonathan,Jackson,J000309,Purchase,DOCS,"$15,001 - $50,000",2025-08-25
Thomas H.,Kean,K000398,Sale,MSFT,"$1,001 - $15,000",2025-08-25
Thomas H.,Kean,K000398,Sale,SYK,"$1,001 - $15,000",2025-08-25
April Mcclain,Delaney,M001232,Purchase,BJ,"$1,001 - $15,000",2025-08-25
Thomas H.,Kean,K000398,Purchase,CP,"$1,001 - $15,000",2025-08-22
John,Boozman,B001236,Sale (Partial),MU,"$1,001 - $15,000",2025-08-22
John,Boozman,B001236,Sale (Partial),ABBV,"$1,001 - $15,000",2025-08-22
John,Boozman,B001236,Purchase,NVDA,"$1,001 - $15,000",2025-08-22
John,Boozman,B001236,Purchase,LLY,"$1,001 - $15,000",2025-08-22
Josh,Gottheimer,G000583,Purchase,NTRA,"$1,001 - $15,000",2025-08-22
Cleo,Fields,F000110,Purchase,NVDA,"$15,001 - $50,000",2025-08-22
Cleo,Fields,F000110,Purchase,NVDA,"$15,001 - $50,000",2025-08-22
Josh,Gottheimer,G000583,Sale,SSMXY,"$1,001 - $15,000",2025-08-21
April Mcclain,Delaney,M001232,Purchase,MKL,"$15,001 - $50,000",2025-08-21
Andrew,Garbarino,G000597,Sale,GAP,"$1,001 - $15,000",2025-08-21
Cleo,Fields,F000110,Purchase,NVDA,"$15,001 - $50,000",2025-08-20
Valerie,Hoyle,H001094,Sale,JCI,"$1,001 - $15,000",2025-08-19
Valerie,Hoyle,H001094,Sale,NOW,"$1,001 - $15,000",2025-08-19
Lisa,Mcclain,M001136,Purchase,HCA,"$1,001 - $15,000",2025-08-19
Richard W.,Allen,A000372,Purchase,ATO,"$15,001 - $50,000",2025-08-19
Richard W.,Allen,A000372,Sale,ACN,"$1,001 - $15,000",2025-08-19
Valerie,Hoyle,H001094,Purchase,UBER,"$1,001 - $15,000",2025-08-19
Valerie,Hoyle,H001094,Sale,PANW,"$1,001 - $15,000",2025-08-19
Lisa,Mcclain,M001136,Purchase,ACIW,"$1,001 - $15,000",2025-08-19
Valerie,Hoyle,H001094,Sale,CPRT,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,JNJ,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,TMO,"$15,001 - $50,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,ACN,"$15,001 - $50,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,TMO,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,TMO,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,TMO,"$15,001 - $50,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,VZ,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,ACN,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,ACN,"$1,001 - $15,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,ACN,"$15,001 - $50,000",2025-08-19
Kelly Louise,Morrison,M001234,Sale,ACN,"$1,001 - $15,000",2025-08-19
Virginia,Foxx,F000450,Purchase,HTGC,"$1,001 - $15,000",2025-08-19
April Mcclain,Delaney,M001232,Sale,DAY,"$15,001 - $50,000",2025-08-19
Judy,Chu,C001080,Purchase,ASTH,"$100,001 - $250,000",2025-08-19
Judy,Chu,C001080,Sale,ASTH,"$100,001 - $250,000",2025-08-19
Marjorie Taylor,Greene,G000596,Purchase,NVO,"$15,001 - $50,000",2025-08-19
