bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
A000370,Alma,Adams,Alma Adams,5/27/46,79,"79 years, 4 months",11/12/14,130,10.83,"10 years, 10 months",Alma,,Adams,,Alma,,Adams,,,,,,"High Point, Guilford County, N.C","graduated from West Side High School, Newark, N.J., 1964; B.S., North Carolina Agricultural and Technical State University, Greensboro, N.C., 1968; M.S., North Carolina Agricultural and Technical State University, Greensboro, N.C., 1972; Ph.D., Ohio State University, Columbus, Ohio, 1981; faculty, Bennett College, Greensboro, N.C., 1972-2012; member of the Greensboro, N.C., school board, 1984-1986",
A000055,Robert,Aderholt,Robert Aderholt,7/22/65,60,"60 years, 2 months",1/3/97,344,28.67,"28 years, 8 months",Robert,,Aderholt,,Robert,,Aderholt,,,,,,"Haleyville, Winston County, Ala","B.A., Birmingham Southern College, Birmingham, Ala., 1987; J.D., Samford University, Birmingham, Ala., 1990",
A000371,Pete,Aguilar,Pete Aguilar,6/19/79,46,"46 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Peter,Rey,Aguilar,,Peter,Rey,Aguilar,,,,,,"Fontana, San Bernardino County, Calif","graduated from Yucaipa High School, Yucaipa, Calif., 1997; B.S., University of Redlands, Redlands, Calif., 2001",
A000379,Mark,Alford,Mark Alford,10/4/63,61,"62 years",1/3/23,32,2.67,"2 years, 8 months",Mark,,Alford,,Mark,,Alford,,,,,,"Baytown, Harris County, Tex","graduated from Ross S. Sterling High School, Baytown, Tex., 1982; attended Lee College, Baytown, Tex.; attended Southwest Texas State College, San Marcos, Tex.; attended University of Texas, Austin, Tex.",
A000372,Rick,Allen,Rick Allen,11/7/51,73,"73 years, 11 months",1/3/15,128,10.67,"10 years, 8 months",Rick,W.,Allen,,Rick,W.,Allen,,,,,,"Augusta, Richmond County, Ga","graduated from Evans High School, Evans, Ga., 1969; B.S., Auburn University, Auburn, Ala., 1973",
A000382,Angela,Alsobrooks,Angela Alsobrooks,2/23/71,54,"54 years, 7 months",1/3/25,8,0.67,8 months,Angela,Deneece,Alsobrooks,,Angela,Deneece,Alsobrooks,,,,,,"Suitland, Md","graduated Benjamin Banneker Academic High School, Washington, D.C., 1989; B.A., public policy and Afro-American studies, Duke University, Durham, N.C., 1993; J.D., University of Maryland School of Law, Baltimore, Md., 1996; law clerk to Circuit Court Judge William D. Quarles 1996-1997",
A000380,Gabe,Amo,Gabe Amo,12/11/87,37,"37 years, 10 months",11/13/23,22,1.83,"1 year, 10 months",Gabe,,Amo,,Gabe,,Amo,,,,,,"Providence, Providence County, R.I","graduated from the Moses Brown School, Providence, R.I., 2005; B.A., Wheaton College, Norton, Mass., 2010; Marshall Scholar, Oxford University, Oxford, England, 2010",
A000369,Mark,Amodei,Mark Amodei,6/12/58,67,"67 years, 4 months",9/13/11,168,14,14 years,Mark,E.,Amodei,,Mark,E.,Amodei,,,,Army,Yes,"Carson City, Ormsby County (now an independent city), Nev","graduated from Carson High School, Carson City, Nev., 1976; B.A., University of Nevada, Reno, Nev., 1980; J.D., University of the Pacific, McGeorge School of Law, Sacramento, Calif., 1983",
A000381,Yassamin,Ansari,Yassamin Ansari,4/7/92,33,"33 years, 6 months",1/3/25,8,0.67,8 months,Yassamin,,Ansari,,Yassamin,,Ansari,,,,,,"Seattle, King County, Wash","graduated from Chaparral High School, Scottsdale, Ariz., 2010; B.A., Stanford University, Stanford, Calif., 2014; M. Phil., University of Cambridge, Cambridge, England",
A000375,Jodey,Arrington,Jodey Arrington,3/9/72,53,"53 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Jodey,Cook,Arrington,,Jodey,Cook,Arrington,,,,,,"Plainview, Tex","graduated from Plainview High School, Plainview, Hale County, Tex., 1990; B.A., Texas Tech University, Lubbock, Tex., 1994; M.A., Texas Tech University, Lubbock, Tex., 1997; administrator, Texas Tech University, Lubbock, Tex., 2007-2014",
A000148,Jake,Auchincloss,Jake Auchincloss,1/29/88,37,"37 years, 8 months",1/3/21,56,4.67,"4 years, 8 months",Jake,,Auchincloss,,Jake,,Auchincloss,Mr.,,,Marine Corps Marine Corps Reserve,Yes,"Boston, Suffolk County, Mass., on January 29","graduated from Newton North High School, Newton, Mass., 2006; A.B., Harvard University, Cambridge, Mass., 2010; M.B.A., Massachusetts Institute of Technology, Cambridge, Mass., 2016",
B001291,Brian,Babin,Brian Babin,3/23/48,77,"77 years, 6 months",1/3/15,128,10.67,"10 years, 8 months",Brian,,Babin,,Brian,,Babin,,,,Air Force Texas Army National Guard,Yes,"Port Arthur, Jefferson County, Tex","graduated from Forest Park High School, Beaumont, Tex., 1966; B.S., Lamar University, Beaumont, Tex., 1973; D.D.S., University of Texas, Houston, Tex., 1976; member of the Woodville, Tex., school board, 1992-1995",
B001298,Don,Bacon,Don Bacon,8/16/63,62,"62 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",Donald,J.,Bacon,,Donald,J.,Bacon,,,,Air Force,Yes,"Chicago Heights, Cook County, Ill","graduated from Grace Baptist High School, Kankakee, Ill. 1980; B.A., Northern Illinois University, DeKalb, Ill., 1984; M.B.A., University of Phoenix, Phoenix, Ariz., 1996; M.A., National War College, Washington, D.C., 2004; assistant professor, University of Bellevue, Bellevue, Nebr., 2014-2017",
B001307,Jim,Baird,Jim Baird,6/4/45,80,"80 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",James,,Baird,,James,,Baird,,,,Army,Yes,"Fountain County, Ind","graduated from Turkey Run High School, Marshall, Ind., 1963; B.S., Purdue University, West Lafayette, Ind., 1967; M.S., Purdue University, West Lafayette, Ind., 1969; Ph.D., University of Kentucky, Lexington, Ky., 1975",
B001306,Troy,Balderson,Troy Balderson,1/16/62,63,"63 years, 8 months",9/5/18,84,7,7 years,Troy,,Balderson,,Troy,,Balderson,,,,,,"Zanesville, Muskingum County, Ohio","graduated from Zanesville High School, Zanesville, Ohio, 1980; attended Muskingum College, Muskingum, Ohio, 1980-1982; attended Ohio State University, Columbus, Ohio, 1982-1983",
B001230,Tammy,Baldwin,Tammy Baldwin,2/11/62,63,"63 years, 8 months",1/3/13,152,12.67,"12 years, 8 months",Tammy,,Baldwin,,Tammy,,Baldwin,,,,,,"Madison, Dane County, Wis","graduated from Madison West High School, Madison, Wis., 1980; A.B., Smith College, Northampton, Mass., 1984; J.D., University of Wisconsin Law School, Madison, Wis., 1989",
B001318,Becca,Balint,Becca Balint,5/4/68,57,"57 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Becca,,Balint,,Becca,,Balint,,,,,,"Heidelberg, Germany","graduated from Walter Panas High School, Cortlandt Manor, N.Y., 1986; attended Barnard College, New York, N.Y.; A.B., Smith College, Northampton, Mass., 1990; Ed.M., Harvard University, Cambridge, Mass., 1994; M.A., University of Massachusetts, Amherst, Mass., 2000",
B001299,Jim,Banks,Jim Banks,7/16/79,46,"46 years, 2 months",1/3/25,8,0.67,8 months,James,E.,Banks,,James,E.,Banks,,,,,,"Columbia City, Whitley County, Ind","graduated from Columbia City High School, Columbia City, Ind., 1997; B.A., Indiana University, Bloomington, Ind., 2004; M.B.A., Grace College and Seminary, Winona Lake, Ind., 2013",
B001282,Andy,Barr,Andy Barr,7/24/73,52,"52 years, 2 months",1/3/13,152,12.67,"12 years, 8 months",Garland,H.,Barr,Andy,Garland,H.,Barr,,IV,,,,"Lexington, Fayette County, Ky","graduated from Henry Clay High School, Lexington, Ky., 1992; B.A., University of Virginia, Charlottesville, Va., 1996; J.D., University of Kentucky, Lexington, Ky., 2001; instructor, Morehead State University, Morehead, Ky.",
B001300,Nanette,Barragán,Nanette Barragán,9/15/76,49,"49 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",Nanette,,Barragan,,Nanette,,Barragan,,,,,,"Los Angeles, Los Angeles County, Calif","B.A., University of California, Los Angeles, Calif., 2000; J.D., University of Southern California, Los Angeles, Calif., 2005",
B001261,John,Barrasso,John Barrasso,7/21/52,73,"73 years, 2 months",6/25/07,219,18.25,"18 years, 3 months",John,A.,Barrasso,,John,A.,Barrasso,,,,,,"Reading, Penn","graduated Georgetown University, Washington, D.C., B.S. 1974; graduated Georgetown University School of Medicine, M.D. 1978; residency at Yale Medical School, New Haven, Conn.",
B001321,Tom,Barrett,Tom Barrett,4/30/81,44,"44 years, 5 months",1/3/25,8,0.67,8 months,Tom,,Barrett,,Tom,,Barrett,,,,Army Michigan National Guard,Yes,"Southfield, Oakland County, Mich","graduated from Lamphere High School, Madison Heights, Mich., 2000; B.A., Western Michigan University, Kalamazoo, Mich., 2007",
B001322,Michael,Baumgartner,Michael Baumgartner,12/13/75,49,"49 years, 10 months",1/3/25,8,0.67,8 months,Michael,,Baumgartner,,Michael,,Baumgartner,,,,,,"Pullman, Whitman County, Wash., on December 13","graduated from Pullman High School, Pullman, Wash., 1995; B.A., Washington State University, Pullman, Wash., 1999; M.P.A., Harvard University, Cambridge, Mass., 2002",
B001314,Aaron,Bean,Aaron Bean,1/25/67,58,"58 years, 8 months",1/3/23,32,2.67,"2 years, 8 months",Aaron,,Bean,,Aaron,,Bean,,,,,,"Fernandina Beach, Nassau County, Fla","graduated from Fernandina Beach High School, Fernandina Beach, Fla., 1985; B.S., Jacksonville University, Jacksonville, Fla., 1989",
