first_name,middle_name,nick_name,last_name,suffix,chamber,office,role,state,state_abbr,party,fecid,green_id,green_id2,website,campaign_website,date_reelection
Alma,Shealey,,Adams,,H,House CD 12,Member of Congress,North Carolina,NC,Democratic,H4NC12100,G17978,G53396,https://adams.house.gov/,http://www.almaadamsforcongress.com/,11/3/26
Robert,Brown,,Aderholt,,H,House CD 4,Member of Congress,Alabama,AL,Republican,H6AL04098,G12,G53432,https://aderholt.house.gov/,http://www.aderholtforcongress.org/,11/3/26
Pete,,,Aguilar,,H,House CD 33,Member of Congress,California,CA,Democratic,H2CA31125,G17468,G53471,https://aguilar.house.gov/,http://www.peteaguilar.com/,11/3/26
Mark,,,Alford,,H,House CD 4,Member of Congress,Missouri,MO,Republican,H2MO04207,G42857,G53600,https://alford.house.gov/,https://www.alfordforcongress.com/,11/3/26
Richard,Wallen,Rick,Allen,,H,House CD 12,Member of Congress,Georgia,GA,Republican,H2GA12121,G17327,G53527,https://allen.house.gov/,http://www.rickwallen.com/,11/3/26
Angela,D.,,Alsobrooks,,S,Senate Class 1,Senator,Maryland,MD,Democratic,,G48119,,https://alsobrooks.senate.gov/,https://www.angelaalsobrooks.com/,11/5/30
Aumua,,,Amata Coleman Radewagen,,O,Delegate to the House of Representatives,Territorial Delegate,American Samoa,AS,Republican,H4AS00036,G18792,G53368,http://radewagen.house.gov/,http://www.friendsofamata.com/,11/3/26
Gabriel,F.,Gabe,Amo,Jr.,H,House CD 1,Member of Congress,Rhode Island,RI,Democratic,H4RI01265,G8817,G53701,https://amo.house.gov/,https://www.gabeamo.com/,11/3/26
Mark,Eugene,,Amodei,,H,House CD 2,Member of Congress,Nevada,NV,Republican,H2NV02395,G525,G53634,https://amodei.house.gov/,http://www.amodeifornevada.com/,11/3/26
Yassamin,,,Ansari,,H,House CD 3,Member of Congress,Arizona,AZ,Democratic,H4AZ03109,G47543,G53440,https://ansari.house.gov/,https://www.yassaminforcongress.com/,11/3/26
Jodey,Cook,,Arrington,,H,House CD 19,Member of Congress,Texas,TX,Republican,H6TX19099,G23082,G53734,https://arrington.house.gov/,http://www.jodeyarrington.com/,11/3/26
Jacob,D.,Jake,Auchincloss,,H,House CD 4,Member of Congress,Massachusetts,MA,Democratic,H0MA04192,G35808,G53572,https://auchincloss.house.gov/,https://www.jakeforma.com/,11/3/26
Brian,,,Babin,,H,House CD 36,Member of Congress,Texas,TX,Republican,H6TX02079,G18940,G53410,https://babin.house.gov/,http://www.babinforcongress.com/,11/3/26
Donald,John,Don,Bacon,,H,House CD 2,Member of Congress,Nebraska,NE,Republican,,G22412,,https://bacon.house.gov/,http://www.donjbacon.com/,11/3/26
