first_name,first_name2,last_name,last_name2,middle_name1,nick_name1,suffix,bioguide_id,fecid,chamber,assumed_office,date_of_birth,age,match_method,merge_note,full_name,tenure_months,tenure_pretty,tenure_years
Alma,Alma,Adams,Adams,S.,,,A000370,H4NC12100,House,11/12/14,5/27/46,79,bioguide_id,,Alma Adams,130,"10 years, 10 months",10.83
Robert,Robert,Aderholt,Aderholt,B.,,,A000055,H6AL04098,House,1/3/97,7/22/65,60,bioguide_id,,Robert Aderholt,344,"28 years, 8 months",28.67
Pete,Pete,Aguilar,Aguilar,,,,A000371,H2CA31125,House,1/3/15,6/19/79,46,bioguide_id,,Pete Aguilar,128,"10 years, 8 months",10.67
Mark,Mark,Alford,Alford,,,,A000379,H2MO04207,House,1/3/23,10/4/63,61,bioguide_id,,Mark Alford,32,"2 years, 8 months",2.67
Rick,Rick,Allen,Allen,W.,,,A000372,,House,1/3/15,11/7/51,73,bioguide_id,,Rick Allen,128,"10 years, 8 months",10.67
Angela,Angela,Alsobrooks,Alsobrooks,D.,,,A000382,,Senate,1/3/25,2/23/71,54,bioguide_id,,Angela Alsobrooks,8,8 months,0.67
Gabe,Gabe,Amo,Amo,,,,A000380,,House,11/13/23,12/11/87,37,bioguide_id,,Gabe Amo,22,"1 year, 10 months",1.83
Mark,Mark,Amodei,Amodei,E.,,,A000369,H2NV02395,House,9/13/11,6/12/58,67,bioguide_id,,Mark Amodei,168,14 years,14
Yassamin,Yassamin,Ansari,Ansari,,,,A000381,H4AZ03109,House,1/3/25,4/7/92,33,bioguide_id,,Yassamin Ansari,8,8 months,0.67
Jodey,Jodey,Arrington,Arrington,C.,,,A000375,H6TX19099,House,1/3/17,3/9/72,53,bioguide_id,,Jodey Arrington,104,"8 years, 8 months",8.67
Jake,Jake,Auchincloss,Auchincloss,,,,A000148,H0MA04192,House,1/3/21,1/29/88,37,bioguide_id,,Jake Auchincloss,56,"4 years, 8 months",4.67
Brian,Brian,Babin,Babin,,,,B001291,H6TX02079,House,1/3/15,3/23/48,77,bioguide_id,,Brian Babin,128,"10 years, 8 months",10.67
Don,Don,Bacon,Bacon,J.,,,B001298,,House,1/3/17,8/16/63,62,bioguide_id,,Don Bacon,104,"8 years, 8 months",8.67
Jim,,Baird,,,,,,,House,1/3/19,6/4/45,80,,,Jim Baird,80,"6 years, 8 months",6.67
Troy,Troy,Balderson,Balderson,,,,B001306,H8OH12180,House,9/5/18,1/16/62,63,bioguide_id,,Troy Balderson,84,7 years,7
Tammy,Tammy,Baldwin,Baldwin,,,,B001230,,Senate,1/3/13,2/11/62,63,bioguide_id,,Tammy Baldwin,152,"12 years, 8 months",12.67
Becca,Becca,Balint,Balint,,,,B001318,H2VT01076,House,1/3/23,5/4/68,57,bioguide_id,,Becca Balint,32,"2 years, 8 months",2.67
Jim,Jim,Banks,Banks,,,,B001299,H6IN03229,Senate,1/3/25,7/16/79,46,bioguide_id,,Jim Banks,8,8 months,0.67
Andy,Andy,Barr,Barr,,,,B001282,H0KY06104,House,1/3/13,7/24/73,52,bioguide_id,,Andy Barr,152,"12 years, 8 months",12.67
Nanette,Nanette Diaz,Barragán,Barragán,,,,B001300,,House,1/3/17,9/15/76,49,bioguide_id,,Nanette Barragán,104,"8 years, 8 months",8.67
John,John,Barrasso,Barrasso,,,,B001261,,Senate,6/25/07,7/21/52,73,bioguide_id,,John Barrasso,219,"18 years, 3 months",18.25
Tom,Tom,Barrett,Barrett,,,,B001321,H2MI07123,House,1/3/25,4/30/81,44,bioguide_id,,Tom Barrett,8,8 months,0.67
Michael,Michael,Baumgartner,Baumgartner,,,,B001322,H4WA05234,House,1/3/25,12/13/75,49,bioguide_id,,Michael Baumgartner,8,8 months,0.67
Aaron,Aaron,Bean,Bean,,,,B001314,H2FL04211,House,1/3/23,1/25/67,58,bioguide_id,,Aaron Bean,32,"2 years, 8 months",2.67
Joyce,Joyce,Beatty,Beatty,,,,B001281,H2OH03125,House,1/3/13,3/12/50,75,bioguide_id,,Joyce Beatty,152,"12 years, 8 months",12.67
Wesley,Wesley,Bell,Bell,,,,B001324,H4MO01134,House,1/3/25,11/5/74,50,bioguide_id,,Wesley Bell,8,8 months,0.67
Michael,Michael,Bennet,Bennet,F.,,,B001267,S0CO00211,Senate,1/21/09,11/28/64,60,bioguide_id,,Michael Bennet,200,"16 years, 8 months",16.67
Cliff,Cliff,Bentz,Bentz,,,,B000668,H0OR02127,House,1/3/21,1/12/52,73,bioguide_id,,Cliff Bentz,56,"4 years, 8 months",4.67
Ami,Ami,Bera,Bera,,,,B001287,H0CA03078,House,1/3/13,3/2/65,60,bioguide_id,,Ami Bera,152,"12 years, 8 months",12.67
Jack,Jack,Bergman,Bergman,,,,B001301,,House,1/3/17,2/2/47,78,bioguide_id,,Jack Bergman,104,"8 years, 8 months",8.67
Don,,Beyer,,,,,,,House,1/3/15,6/20/50,75,,,Don Beyer,128,"10 years, 8 months",10.67
Stephanie,Stephanie,Bice,Bice,I.,,,B000740,H0OK05205,House,1/3/21,11/11/73,51,bioguide_id,,Stephanie Bice,56,"4 years, 8 months",4.67
Andy,Andy,Biggs,Biggs,,,,B001302,H6AZ05083,House,1/3/17,11/7/58,66,bioguide_id,,Andy Biggs,104,"8 years, 8 months",8.67
Sheri,Sheri,Biggs,Biggs,,,,B001325,,House,1/3/25,3/28/70,55,bioguide_id,,Sheri Biggs,8,8 months,0.67
Gus,Gus,Bilirakis,Bilirakis,M.,,,B001257,H6FL09070,House,1/3/07,2/8/63,62,bioguide_id,,Gus Bilirakis,224,"18 years, 8 months",18.67
Sanford,Sanford,Bishop,Bishop,D.,,Jr.,B000490,H2GA02031,House,1/3/93,2/4/47,78,bioguide_id,,Sanford Bishop,392,"32 years, 8 months",32.67
Marsha,Marsha,Blackburn,Blackburn,,,,B001243,,Senate,1/3/19,6/6/52,73,bioguide_id,,Marsha Blackburn,80,"6 years, 8 months",6.67
Richard,Richard,Blumenthal,Blumenthal,,,,B001277,S0CT00177,Senate,1/3/11,2/13/46,79,bioguide_id,,Richard Blumenthal,176,"14 years, 8 months",14.67
Lisa,Lisa,Blunt Rochester,Blunt Rochester,,,,B001303,H6DE00206,Senate,1/3/25,2/10/62,63,bioguide_id,,Lisa Blunt Rochester,8,8 months,0.67
Lauren,Lauren,Boebert,Boebert,,,,B000825,H0CO03165,House,1/3/21,12/15/86,38,bioguide_id,,Lauren Boebert,56,"4 years, 8 months",4.67
Suzanne,Suzanne,Bonamici,Bonamici,,,,B001278,H2OR01133,House,1/31/12,10/14/54,70,bioguide_id,,Suzanne Bonamici,163,"13 years, 7 months",13.58
Cory,Cory,Booker,Booker,A.,,,B001288,S4NJ00185,Senate,10/31/13,4/27/69,56,bioguide_id,,Cory Booker,142,"11 years, 10 months",11.83
John,John,Boozman,Boozman,,,,B001236,S0AR00150,Senate,1/3/11,12/10/50,74,bioguide_id,,John Boozman,176,"14 years, 8 months",14.67
Mike,Mike,Bost,Bost,,,,B001295,H4IL12060,House,1/3/15,12/30/60,64,bioguide_id,,Mike Bost,128,"10 years, 8 months",10.67
Brendan,Brendan,Boyle,Boyle,F.,,,B001296,H4PA13199,House,1/3/15,2/6/77,48,bioguide_id,,Brendan Boyle,128,"10 years, 8 months",10.67
Josh,Josh,Brecheen,Brecheen,,,,B001317,H2OK02315,House,1/3/23,6/19/79,46,bioguide_id,,Josh Brecheen,32,"2 years, 8 months",2.67
Rob,,Bresnahan,,,,,,,House,1/3/25,4/22/90,35,,,Rob Bresnahan,8,8 months,0.67
Katie,Katie Boyd,Britt,Britt,,,,B001319,S2AL00145,Senate,1/3/23,2/2/82,43,bioguide_id,,Katie Britt,32,"2 years, 8 months",2.67
Shontel,Shontel,Brown,Brown,M.,,,B001313,H2OH11169,House,11/4/21,6/24/75,50,bioguide_id,,Shontel Brown,46,"3 years, 10 months",3.83
Julia,Julia,Brownley,Brownley,,,,B001285,H2CA00120,House,1/3/13,8/28/52,73,bioguide_id,,Julia Brownley,152,"12 years, 8 months",12.67
