first_name,last_name,full_name,date_of_birth,age,bioguide_id
Aaron,Bean,Aaron Bean,1/25/67,58,B001314
Abraham,Hamadeh,Abraham Hamadeh,5/15/91,34,H001098
Adam,Gray,Adam Gray,9/23/77,48,G000605
Adam,Schiff,Adam Schiff,6/22/60,65,S001150
Adam,Smith,Adam Smith,6/15/65,60,S000510
Addison,McDowell,Addison McDowell,1/21/94,31,M001240
Adrian,Smith,Adrian Smith,12/19/70,54,S001172
Adriano,Espaillat,Adriano Espaillat,9/27/54,71,E000297
Al,Green,Al Green,9/1/47,78,G000553
Alex,Padilla,Alex Padilla,3/22/73,52,P000145
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,10/13/89,35,O000172
Alma,Adams,Alma Adams,5/27/46,79,A000370
Ami,Bera,Ami Bera,3/2/65,60,B001287
Amy,Klobuchar,Amy Klobuchar,5/25/60,65,K000367
André,Carson,André Carson,10/16/74,50,C001072
Andrea,Salinas,Andrea Salinas,12/6/69,55,S001226
Andrew,Clyde,Andrew Clyde,11/22/63,61,C001116
Andrew,Garbarino,Andrew Garbarino,9/27/84,41,G000597
Andy,Barr,Andy Barr,7/24/73,52,B001282
Andy,Biggs,Andy Biggs,11/7/58,66,B001302
Andy,Harris,Andy Harris,1/25/57,68,H001052
Andy,Kim,Andy Kim,7/12/82,43,K000394
Andy,Ogles,Andy Ogles,6/18/71,54,
Angela,Alsobrooks,Angela Alsobrooks,2/23/71,54,A000382
Angie,Craig,Angie Craig,2/14/72,53,C001119
Angus,King,Angus King,3/31/44,81,K000383
Ann,Wagner,Ann Wagner,9/13/62,63,W000812
Anna Paulina,Luna,Anna Paulina Luna,5/6/89,36,L000596
April McClain,Delaney,April McClain Delaney,5/28/64,61,M001232
Ashley,Hinson,Ashley Hinson,6/27/83,42,H001091
Ashley,Moody,Ashley Moody,3/28/75,50,M001244
August,Pfluger,August Pfluger,12/28/78,46,P000048
Austin,Scott,Austin Scott,12/10/69,55,S001189
Ayanna,Pressley,Ayanna Pressley,2/3/74,51,P000617
Barry,Loudermilk,Barry Loudermilk,12/22/63,61,L000583
Barry,Moore,Barry Moore,9/26/66,59,M001212
Becca,Balint,Becca Balint,5/4/68,57,B001318
Ben,Cline,Ben Cline,2/29/72,53,C001118
Ben Ray,Luján,Ben Ray Luján,6/7/72,53,
Bennie,Thompson,Bennie Thompson,1/28/48,77,T000193
Bernie,Moreno,Bernie Moreno,2/14/67,58,M001242
Bernie,Sanders,Bernie Sanders,9/8/41,84,S000033
Beth Van,Duyne,Beth Van Duyne,11/16/70,54,V000134
Betty,McCollum,Betty McCollum,7/12/54,71,M001143
Bill,Cassidy,Bill Cassidy,9/28/57,68,C001075
Bill,Foster,Bill Foster,10/7/55,69,F000454
Bill,Hagerty,Bill Hagerty,8/14/59,66,H000601
Bill,Huizenga,Bill Huizenga,1/31/69,56,H001058
Bill,Keating,Bill Keating,9/6/52,73,
Blake,Moore,Blake Moore,6/22/80,45,M001213
Bob,Latta,Bob Latta,4/18/56,69,
Bob,Onder,Bob Onder,1/6/62,63,
Bobby,Scott,Bobby Scott,4/30/47,78,
Bonnie Watson,Coleman,Bonnie Watson Coleman,2/6/45,80,W000822
Brad,Finstad,Brad Finstad,5/30/76,49,F000475
Brad,Knott,Brad Knott,4/17/86,39,K000405
Brad,Schneider,Brad Schneider,8/20/61,64,
Brad,Sherman,Brad Sherman,10/24/54,70,S000344
Brandon,Gill,Brandon Gill,2/26/94,31,G000603
Brendan,Boyle,Brendan Boyle,2/6/77,48,B001296
Brett,Guthrie,Brett Guthrie,2/18/64,61,G000558
Brian,Babin,Brian Babin,3/23/48,77,B001291
Brian,Fitzpatrick,Brian Fitzpatrick,12/17/73,51,F000466
Brian,Jack,Brian Jack,2/17/88,37,J000311
